,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L343,5.9878257e-06,1.3651734e-06,1.6507474e-06,1.3950885e-06,1.4507968e-06,7.1664545e-07,6.1118044e-08,1.2853197e-06,3.0514275e-07,2.614579e-07,4.3331966e-08,7.030758e-08,6.509072e-08,2.4596375e-08,1.4449324e-07,8.229472e-08,3.7282007e-08,1.6552804e-08,2.653578e-07,2.0123116e-07,1.0040822e-09,2.796951e-07,4.0855957e-07
L10,1.2587407e-09,2.910383e-10,1.6989361e-09,3.4996629e-07,2.0214611e-06,9.811993e-07,1.9652362e-08,1.9347208e-06,3.28022e-07,3.7052814e-07,5.4023985e-08,9.864016e-08,1.549015e-07,3.2952812e-08,2.080269e-07,5.515976e-07,1.5988917e-08,3.103196e-08,4.873182e-07,4.4797707e-07,2.3683242e-09,5.7233774e-07,6.9005546e-07
L1009,5.22536e-06,1.1335578e-06,1.16109e-06,5.555994e-07,1.0207514e-06,5.21999e-07,1.8334686e-07,1.5672194e-06,2.3820758e-07,2.724919e-07,4.3924956e-08,1.5123078e-07,6.670598e-08,7.67468e-08,2.0299922e-07,7.810013e-08,7.99846e-08,1.778244e-08,2.5465852e-07,1.3998215e-07,3.245077e-09,3.1202944e-07,4.944741e-07
L1010,5.737638e-07,1.1168595e-09,1.1740849e-07,2.516681e-07,6.002665e-09,3.3469405e-10,1.1641532e-10,9.968062e-10,1.4915713e-10,1.7462298e-10,3.274181e-11,1.0186341e-10,4.3655746e-11,5.0931703e-11,1.2732926e-10,5.311449e-10,4.7293724e-11,1.0913936e-11,1.6370905e-10,9.458745e-11,7.275958e-12,2.0008883e-10,3.1650416e-10
L1022,0.0008127901,7.843482e-09,1.8285573e-07,3.500827e-07,1.5705155e-08,3.3105607e-10,1.2732926e-10,1.3315002e-09,1.4915713e-10,1.70985e-10,2.5465852e-11,8.731149e-11,4.0017767e-11,5.4569682e-11,1.3096724e-10,5.0931703e-11,5.0931703e-11,1.0913936e-11,1.6007107e-10,8.731149e-11,3.637979e-12,2.0372681e-10,3.1286618e-10
L1033,1.1071534e-06,1.7083948e-08,3.001296e-07,6.4852065e-07,6.247501e-08,3.3469405e-10,1.09139364e-10,1.0149961e-09,1.4915713e-10,1.70985e-10,1.8189894e-11,9.094947e-11,3.274181e-11,3.6379788e-11,1.2732926e-10,4.3655746e-11,4.7293724e-11,1.0913936e-11,1.6734703e-10,9.458745e-11,7.275958e-12,1.9281288e-10,3.1650416e-10
L107,3.3230317e-06,1.0550139e-06,4.260346e-06,5.9279773e-07,3.509631e-07,1.4728357e-07,1.137596e-08,2.8151044e-07,6.6120265e-08,4.5747583e-08,1.3162207e-08,7.872586e-09,7.010385e-09,4.0745363e-10,2.8740033e-10,5.515176e-09,2.0372681e-10,1.4188117e-10,3.282912e-08,3.2894604e-08,4.7293724e-11,3.2930984e-08,3.0559022e-10
L1079,1.0571566e-06,2.068191e-08,2.6109774e-07,5.625843e-07,2.7692295e-08,3.3469405e-10,1.05501385e-10,1.022272e-09,1.4915713e-10,1.7826096e-10,2.910383e-11,1.05501385e-10,4.0017767e-11,3.274181e-11,1.2732926e-10,4.7293724e-11,4.0017767e-11,3.637979e-12,1.6370905e-10,8.731149e-11,0.0,1.9281288e-10,3.1650416e-10
L1085,1.3388817e-06,4.7475623e-09,3.6161873e-07,6.940063e-07,1.827757e-07,1.68111e-08,1.3569661e-09,3.0559022e-10,2.8267095e-09,7.352355e-09,4.150934e-09,2.6884663e-09,2.9831426e-09,1.5315891e-09,4.3291948e-10,9.495125e-09,3.0559022e-10,3.5288394e-10,5.1913958e-09,5.340553e-09,8.367351e-11,5.3660187e-09,3.2014214e-10
L1146,1.3860699e-09,2.9467628e-10,1.6007107e-09,4.8603397e-09,7.316339e-08,3.090281e-07,1.3504177e-08,2.6886482e-07,8.236384e-08,9.420546e-08,1.1437805e-08,1.0604708e-08,7.483322e-09,4.267349e-09,4.7293724e-11,1.7016646e-07,1.5643309e-09,1.3169483e-09,1.370754e-07,1.3670797e-07,1.1641532e-09,1.472581e-07,1.1931115e-07
