,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L343,5.006841e-07,3.796231e-08,2.1042433e-07,1.3671524e-07,2.850502e-07,9.4449206e-08,1.4677425e-07,2.4081237e-07,1.3361932e-07,2.3395842e-08,8.655843e-08,1.4042598e-08,4.893809e-08,7.556082e-09,1.8660285e-07,1.610897e-07,2.6298949e-08,7.1035174e-08,7.874041e-08,2.484412e-07,1.5067053e-07,4.418689e-08,3.9570295e-08,8.782081e-09,1.1714292e-09,5.6024874e-10,9.6501026e-08,1.2317832e-07,3.637615e-08,1.3920362e-07,8.535426e-08,1.17652235e-07,9.17571e-08,1.8252831e-07,7.102062e-08,5.777838e-08,4.7959475e-08,1.5926707e-07,8.471761e-08,3.004243e-08,9.55697e-09,2.8061186e-07
L344,1.07826054e-07,4.2346073e-09,6.5942004e-08,6.456685e-08,1.3561294e-07,1.6698323e-09,1.551598e-07,1.5736805e-07,1.32477e-07,2.3283064e-10,1.3969839e-09,5.529728e-10,1.2369128e-09,6.184564e-10,2.6964699e-08,3.243622e-08,6.693881e-10,1.9645086e-09,1.3969839e-09,6.413393e-08,6.144546e-08,6.039045e-09,2.739398e-08,3.0413503e-09,4.656613e-10,1.891749e-10,2.05182e-09,3.252353e-09,4.0745363e-10,5.68034e-08,5.8182195e-08,9.839641e-08,4.2378815e-08,8.153074e-08,2.437082e-08,1.70985e-10,5.553011e-08,5.7410944e-08,6.7670044e-08,5.9299055e-10,9.567884e-10,1.2501914e-07
L345,8.293864e-08,3.3760443e-09,4.8716174e-08,4.8734364e-08,1.1252996e-07,1.0186341e-10,1.2345845e-07,1.2386954e-07,1.122462e-07,1.9645086e-10,2.1464075e-10,2.8012437e-10,3.0195224e-10,4.474714e-10,1.2179953e-08,1.787339e-08,1.5643309e-10,5.966285e-10,8.0035534e-11,4.6300556e-08,4.5489287e-08,5.136826e-09,1.5537807e-08,2.899469e-09,4.1836756e-10,1.70985e-10,2.3646862e-10,9.1677066e-10,2.6557245e-10,4.136382e-08,4.366302e-08,8.0952304e-08,3.828245e-08,5.4038537e-08,1.1823431e-08,8.8766683e-10,4.1807652e-08,4.1607564e-08,5.2641553e-08,2.5465852e-11,1.1023076e-09,9.351788e-08
L588,7.279232e-08,3.1541276e-09,3.945388e-08,3.945388e-08,1.0067015e-07,1.1277734e-10,1.0346048e-07,1.04006176e-07,1.0030635e-07,1.6734703e-10,1.8189894e-10,2.6921043e-10,2.6557245e-10,4.0745363e-10,4.2164174e-09,9.440555e-09,1.3460522e-10,5.456968e-10,7.2759576e-11,3.7140126e-08,3.6368874e-08,1.09139364e-10,2.8921932e-09,1.6480044e-09,7.385097e-10,1.6370905e-10,2.2555469e-10,8.8039087e-10,2.4738256e-10,2.919478e-08,3.178866e-08,6.610935e-08,3.6056008e-08,3.1021045e-08,1.1350494e-09,8.403731e-10,2.9511284e-08,2.9336661e-08,3.972673e-08,1.8189894e-11,1.0440999e-09,6.836126e-08
L10,5.953989e-07,1.9957952e-08,3.806781e-07,2.757224e-07,5.613183e-07,1.2097735e-07,5.118818e-07,5.8581645e-07,4.0105078e-07,3.524474e-08,1.4254692e-07,1.0440999e-09,3.7594873e-08,1.7862476e-09,3.3125616e-07,2.1279993e-07,4.238609e-08,6.64877e-08,9.449286e-08,4.2342435e-07,3.5922494e-07,5.4402335e-08,2.332963e-07,1.981607e-08,1.6661943e-09,1.0950316e-09,1.6684135e-07,1.6576087e-07,4.1731255e-08,2.8021532e-07,1.9448635e-07,3.6331767e-07,1.830922e-07,4.768117e-07,1.9920844e-07,9.5078576e-08,1.793087e-07,3.2087337e-07,2.6184352e-07,1.2914825e-09,2.5393092e-09,5.8069054e-07
L1009,6.7070505e-07,5.4853444e-08,2.712477e-07,1.3561657e-07,2.8259092e-07,1.70563e-07,7.82893e-09,1.6933336e-07,1.573062e-08,4.249887e-08,1.5622936e-07,2.4891051e-08,8.720235e-08,1.2827513e-08,2.953966e-07,2.3967004e-07,4.6755304e-08,1.2623059e-07,1.4207762e-07,3.433306e-07,1.6940612e-07,9.0563844e-08,7.532799e-08,2.9758667e-08,3.7252903e-09,5.6024874e-10,1.723165e-07,2.1868618e-07,6.557093e-08,1.5481783e-07,5.1375537e-08,5.018228e-08,9.406358e-08,1.91867e-07,8.806819e-08,1.0468648e-07,8.760253e-09,1.9064464e-07,3.6976417e-08,5.3463737e-08,1.9135769e-08,2.9471994e-07
L1033,4.0381565e-10,2.910383e-11,1.70985e-10,8.367351e-11,1.7826096e-10,1.1277734e-10,3.637979e-12,1.05501385e-10,1.0913936e-11,2.910383e-11,9.822543e-11,1.8189894e-11,5.0931703e-11,1.0913936e-11,1.8189894e-10,1.4188117e-10,3.274181e-11,8.367351e-11,8.0035534e-11,2.1100277e-10,1.05501385e-10,5.820766e-11,4.7293724e-11,2.1827873e-11,0.0,0.0,1.09139364e-10,1.3096724e-10,4.7293724e-11,9.458745e-11,3.6379788e-11,3.6379788e-11,6.184564e-11,1.1277734e-10,5.0931703e-11,6.184564e-11,0.0,1.1641532e-10,2.910383e-11,2.5465852e-11,1.8189894e-11,1.8189894e-10
L1079,4.0381565e-10,4.0017767e-11,1.6007107e-10,8.367351e-11,1.70985e-10,1.05501385e-10,0.0,1.0186341e-10,1.0913936e-11,2.910383e-11,9.458745e-11,1.8189894e-11,5.4569682e-11,3.637979e-12,1.7462298e-10,1.4188117e-10,2.910383e-11,7.6397555e-11,8.367351e-11,2.1100277e-10,1.0186341e-10,5.4569682e-11,5.4569682e-11,1.0913936e-11,7.275958e-12,0.0,1.05501385e-10,1.3096724e-10,4.3655746e-11,9.458745e-11,3.6379788e-11,3.274181e-11,5.4569682e-11,1.1641532e-10,4.7293724e-11,6.91216e-11,7.275958e-12,1.1641532e-10,2.1827873e-11,3.274181e-11,1.0913936e-11,1.8189894e-10
L1085,1.2296368e-09,4.2200554e-10,2.2191671e-10,2.1100277e-10,5.8753358e-09,1.05501385e-10,5.52609e-09,5.627953e-09,5.7298166e-09,1.3460522e-10,2.2191671e-10,1.0913936e-11,3.237801e-10,3.6379788e-10,2.6557245e-10,2.2773747e-09,4.110916e-10,4.5474735e-10,7.2759576e-11,4.2200554e-10,1.8553692e-10,1.9208528e-09,2.3501343e-09,1.2223609e-09,5.0931703e-11,3.274181e-11,3.274181e-11,1.6734703e-10,2.1827873e-11,5.0931703e-10,3.2014214e-10,7.2759576e-11,2.3283064e-10,4.0017767e-11,1.8189894e-10,3.092282e-10,8.0035534e-11,3.637979e-12,4.3655746e-11,6.184564e-11,1.3096724e-10,6.91216e-11
L174,3.33791e-05,3.6379788e-11,1.382432e-10,6.91216e-11,1.4915713e-10,9.094947e-11,3.6379788e-11,7.6397555e-11,3.637979e-12,2.1827873e-11,8.0035534e-11,1.0913936e-11,5.0931703e-11,3.637979e-12,1.5279511e-10,1.200533e-10,2.910383e-11,6.91216e-11,6.91216e-11,1.7826096e-10,8.731149e-11,2.0008883e-10,4.1836756e-10,2.0008883e-10,2.1827873e-11,0.0,9.822543e-11,1.2732926e-10,3.274181e-11,8.731149e-11,2.910383e-11,1.8189894e-11,5.0931703e-11,1.05501385e-10,5.0931703e-11,6.184564e-11,7.275958e-12,1.09139364e-10,1.8189894e-11,2.910383e-11,1.0913936e-11,1.6007107e-10
