,time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9
0,46899.42130255699,1255,39,17373.90252165402,17373.90252165402,0.9183,0.7415,0.3299,0.74,0.7467,0.3181,112213.7381,16846.3945,0.7555
0,1476.7959265708923,39,22,17133.822988017124,34507.725509671145,0.9176,0.7228,0.3255,0.7413,0.7471,0.3121,119542.3842,16856.584,0.7582
0,1440.7983765602112,38,22,17506.328190405748,52014.053700076896,0.9217,0.7425,0.3238,0.7465,0.7543,0.3209,112176.3749,16832.3086,0.7646
0,1504.6260025501251,40,57,87227.06876591411,139241.122465991,0.9285,0.7531,0.3091,0.7601,0.7751,0.3325,108768.7516,16684.8652,0.7798
0,1426.697546005249,38,12,16838.31885264522,156079.44131863624,0.9269,0.7288,0.3051,0.7545,0.7746,0.3265,117521.342,16682.2949,0.7722
0,1430.5576586723328,38,12,17002.648815568416,173082.09013420466,0.9286,0.7295,0.3048,0.7586,0.7776,0.3269,117392.544,16681.7266,0.7777
0,1473.8601758480072,38,9,16428.605224331386,189510.69535853603,0.9294,0.7295,0.303,0.7594,0.7794,0.3276,117405.395,16681.5293,0.7789
0,1738.016489982605,39,8,16029.769659318981,205540.46501785502,0.9324,0.7295,0.3042,0.7639,0.7849,0.3286,117347.7938,16658.418,0.7845
0,1500.6837837696075,38,11,16401.23246933177,221941.6974871868,0.9324,0.7309,0.303,0.7655,0.7847,0.3286,117010.129,16624.8672,0.7862
0,1629.8013713359833,38,198,424425.393920334,646367.0914075208,0.9425,0.7883,0.2594,0.7892,0.8099,0.5343,93420.0856,16368.4805,0.8151
