,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L345,1.4551915e-11,3.637979e-12,3.6379788e-11,2.5465852e-11,3.637979e-12,7.275958e-12,0.0,1.0913936e-11,1.8189894e-11,1.8189894e-11,0.0,2.910383e-11,4.7293724e-11,1.4551915e-11,2.5465852e-11,7.275958e-12,1.4551915e-11,2.1827873e-11,1.0913936e-11,2.1827873e-11,3.274181e-11,5.4569682e-11,2.1827873e-11,1.70985e-10,3.637979e-12,3.637979e-12,1.4551915e-11,3.637979e-12,8.759889e-08,8.762072e-08,1.4551915e-11,2.1827873e-11,1.0913936e-11,1.0913936e-11,8.7824446e-08,8.780262e-08,0.0,2.5465852e-11,4.3655746e-11,1.8189894e-11,1.4551915e-11,1.4551915e-11,2.910383e-11,8.753341e-08,8.758798e-08,7.275958e-12,7.275958e-12
L10,1.4406396e-09,3.3469405e-10,1.2332748e-09,1.204171e-09,3.7107384e-10,6.184564e-11,1.891749e-10,2.0736479e-10,1.0186341e-10,1.9645086e-10,8.0035534e-11,3.45608e-10,2.1827873e-11,5.820766e-11,6.91216e-11,4.802132e-10,2.6557245e-10,1.8189894e-10,1.0077201e-09,8.367351e-11,6.366463e-10,7.2759576e-10,1.8553692e-10,7.421477e-10,1.9281288e-10,2.1791493e-09,8.1490725e-10,2.6193447e-10,4.5714842e-07,4.583344e-07,6.1118044e-10,8.731149e-11,1.3460522e-10,4.984031e-10,4.5918569e-07,4.5918569e-07,7.2759576e-11,2.1827873e-11,1.0186341e-10,1.0477379e-09,6.9849193e-10,2.764864e-10,6.366463e-10,4.5660636e-07,4.5717388e-07,3.0195224e-10,2.4738256e-10
L1079,1.8189894e-11,1.0913936e-11,4.0017767e-11,2.910383e-11,3.637979e-12,7.275958e-12,0.0,1.0913936e-11,1.8189894e-11,1.8189894e-11,0.0,2.910383e-11,4.0017767e-11,7.275958e-12,2.5465852e-11,1.0913936e-11,1.0913936e-11,1.4551915e-11,1.0913936e-11,2.1827873e-11,3.6379788e-11,5.4569682e-11,1.0913936e-11,1.0913936e-11,0.0,3.637979e-12,1.4551915e-11,1.0913936e-11,7.6397555e-11,8.731149e-11,2.1827873e-11,1.4551915e-11,3.637979e-12,1.0913936e-11,1.3096724e-10,1.09139364e-10,0.0,2.1827873e-11,3.274181e-11,1.0913936e-11,1.0913936e-11,1.8189894e-11,4.0017767e-11,4.0017767e-11,9.458745e-11,3.637979e-12,1.0913936e-11
L1085,7.275958e-12,0.0,3.274181e-11,2.910383e-11,7.275958e-12,1.0913936e-11,0.0,1.8189894e-11,2.1827873e-11,1.4551915e-11,0.0,3.6379788e-11,4.7293724e-11,1.0913936e-11,2.1827873e-11,0.0,1.4551915e-11,2.5465852e-11,1.0913936e-11,2.1827873e-11,3.6379788e-11,5.820766e-11,1.8189894e-11,7.275958e-12,0.0,7.275958e-12,1.8189894e-11,1.0913936e-11,8.367351e-11,9.458745e-11,2.1827873e-11,2.1827873e-11,3.637979e-12,1.0913936e-11,1.2732926e-10,1.1277734e-10,0.0,2.910383e-11,4.0017767e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,3.274181e-11,4.7293724e-11,1.0186341e-10,7.275958e-12,1.0913936e-11
L183,1.8189894e-11,3.637979e-12,3.274181e-11,1.8189894e-11,0.0,7.275958e-12,0.0,1.0913936e-11,1.4551915e-11,1.4551915e-11,0.0,2.910383e-11,4.3655746e-11,1.0913936e-11,2.1827873e-11,7.275958e-12,1.4551915e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,2.5465852e-11,4.7293724e-11,1.8189894e-11,7.275958e-12,1.0913936e-11,3.3833203e-10,2.1827873e-11,1.8189894e-11,6.91216e-11,8.367351e-11,1.8189894e-11,2.1827873e-11,1.0913936e-11,7.275958e-12,1.1277734e-10,9.458745e-11,0.0,2.1827873e-11,3.6379788e-11,1.4551915e-11,1.0913936e-11,1.0913936e-11,2.910383e-11,3.6379788e-11,9.094947e-11,1.0913936e-11,3.637979e-12
L2017,2.619491e-05,1.0913936e-11,4.0017767e-11,2.5465852e-11,3.637979e-12,7.275958e-12,0.0,1.4551915e-11,2.1827873e-11,1.4551915e-11,3.637979e-12,2.5465852e-11,4.0017767e-11,7.275958e-12,2.5465852e-11,1.0913936e-11,1.8189894e-11,1.8189894e-11,1.0913936e-11,2.1827873e-11,2.910383e-11,5.0931703e-11,1.09139364e-10,1.0913936e-11,1.0913936e-11,2.910383e-11,3.6379788e-11,1.8189894e-11,4.5383786e-08,4.5405613e-08,1.0913936e-11,1.4551915e-11,3.637979e-12,1.0913936e-11,4.5565685e-08,4.5547495e-08,0.0,2.5465852e-11,4.0017767e-11,1.4551915e-11,1.0913936e-11,1.4551915e-11,3.274181e-11,4.532194e-08,4.537651e-08,7.275958e-12,1.0913936e-11
L2041,3.7266873e-05,7.869676e-07,1.0990538e-05,8.820556e-06,1.2191013e-06,2.220273e-06,1.0672957e-06,1.561828e-06,4.715286e-06,6.4335763e-06,1.9902363e-06,1.0074116e-05,1.42958015e-05,3.262423e-06,8.761883e-06,1.6661361e-06,3.86592e-06,7.1674585e-06,4.7562644e-06,5.7173893e-06,7.906929e-06,1.611095e-05,5.4817647e-06,0.0003915131,0.00045756344,0.0012004734,0.001259882,0.0011907606,2.2687018e-05,2.4985988e-05,2.8945506e-06,3.6214478e-06,1.388602e-06,1.2307428e-06,3.0821655e-05,2.7873088e-05,4.1583553e-07,3.5921112e-06,7.3546544e-06,2.8549694e-06,1.8319115e-06,2.2412278e-06,5.1599927e-06,1.7719343e-05,2.716342e-05,1.437962e-06,1.0845251e-06
L2043,2.062996e-06,4.3481123e-08,6.083865e-07,4.8830407e-07,6.752089e-08,1.2287637e-07,5.9080776e-08,8.643838e-08,2.6100315e-07,3.5611447e-07,1.10128894e-07,5.576294e-07,7.9133315e-07,1.8056016e-07,4.8504444e-07,9.231735e-08,2.1402957e-07,3.9674342e-07,2.6327325e-07,3.1647505e-07,4.377216e-07,8.918578e-07,3.0343654e-07,0.00040816615,0.000475478,0.0011938364,0.001309741,0.0012282706,2.2586435e-05,2.4874229e-05,2.8819777e-06,3.6051497e-06,1.3820827e-06,1.2256205e-06,3.0684285e-05,2.7748756e-05,4.1350722e-07,3.5767443e-06,7.322058e-06,2.8419308e-06,1.8244609e-06,2.2319146e-06,5.137641e-06,1.764018e-05,2.7042814e-05,1.4314428e-06,1.0803342e-06
L213,3.6379788e-11,7.275958e-12,3.6379788e-11,2.5465852e-11,0.0,7.275958e-12,3.637979e-12,1.0913936e-11,1.8189894e-11,1.8189894e-11,3.637979e-12,2.1827873e-11,4.0017767e-11,1.4551915e-11,2.1827873e-11,1.0913936e-11,1.4551915e-11,1.4551915e-11,3.637979e-12,1.4551915e-11,2.5465852e-11,5.0931703e-11,2.1827873e-11,7.275958e-12,1.4551915e-11,2.5465852e-11,2.910383e-11,2.1827873e-11,7.2759576e-11,8.731149e-11,1.8189894e-11,1.8189894e-11,7.275958e-12,7.275958e-12,1.200533e-10,1.0186341e-10,0.0,2.910383e-11,4.3655746e-11,1.8189894e-11,1.0913936e-11,1.8189894e-11,3.274181e-11,3.6379788e-11,9.094947e-11,1.0913936e-11,1.0913936e-11
L360,3.886089e-08,1.744047e-08,9.7563316e-08,6.773189e-08,1.4086254e-08,1.436274e-08,1.9645086e-09,3.3847755e-08,5.2961695e-08,5.1397365e-08,2.4374458e-09,7.284689e-08,1.17492164e-07,2.996967e-08,6.62767e-08,1.8560968e-08,3.5724952e-08,5.248876e-08,2.8427166e-08,5.3791155e-08,8.009374e-08,1.3794488e-07,4.4390617e-08,3.3687684e-09,8.127245e-09,3.5579433e-09,3.483001e-08,1.6632839e-08,3.8024154e-07,4.295507e-07,4.472531e-08,5.509355e-08,2.0299922e-08,3.054447e-08,5.2087853e-07,4.626927e-07,1.0113581e-09,6.813207e-08,1.0916119e-07,4.390313e-08,3.320747e-08,4.1531166e-08,8.306233e-08,2.944871e-07,4.4082844e-07,2.3275788e-08,2.0852895e-08
