Leak_id,avg_pressure,total_water_loss,Link,Coef,Link_id,ID,Diameter,detect_cost,repair_cost,total_cost,rank,evaluate_flag
Leak_3179,27.431192,77.82976,L653,0.01392,L653_2,L653,200,1625.3265303572214,562.3773370920068,2187.7038674492283,0.035576002240731035,0
Leak_1886,76.14766,68.08736,L2507,0.00436,L2507,L2507,110,2124.1861427173108,225.74251951515708,2349.928662232468,0.028974222776064523,0
Leak_3190,28.156849,60.319958,L661,0.01051,L661,L661,200,1788.1628237707114,556.5513136631882,2344.7141374339,0.025725932543388685,0
Leak_455,49.863026,60.309998,L1367,0.00593,L1367_1,L1367,110,2032.829647242384,228.41655496115254,2261.2462022035365,0.026671132714263017,0
Leak_3270,52.9191,46.167263,L74,0.00427,L74,L74,250,2129.545842181931,798.1395106667727,2927.685352848704,0.015769202447279407,0
Leak_1841,57.32962,45.39707,L2471,0.00388,L2471,L2471,110,2152.9279165527346,224.728411146396,2377.6563276991305,0.019093201700142202,0
Leak_545,58.48847,43.38772,L1452,0.00363,L1452,L1452,350,2168.0512819939563,1495.1499307073225,3663.2012127012786,0.011844208297990022,0
Leak_1782,66.44774,41.256935,L2416,0.00304,L2416,L2416,63,2204.1649668968475,140.40149645286937,2344.5664633497167,0.01759682899357202,0
Leak_2914,24.288181,39.68227,L437,0.00799,L437,L437,140,1918.8935374633593,314.7814761396857,2233.675013603045,0.017765462660586002,0
Leak_1728,30.612915,39.41074,L2365,0.00653,L2365,L2365,140,1998.9633823248237,312.390831585184,2311.3542139100077,0.01705093042922762,0
Leak_504,55.306953,36.22558,L1406,0.00321,L1406,L1406,90,2193.6980726256684,181.4059019275513,2375.10397455322,0.015252207354383235,0
Leak_1833,52.79763,35.22467,L2463,0.00327,L2463_2,L2463,110,2190.015753877487,223.2412460082589,2413.2569998857457,0.014596319584621091,0
Leak_1831,50.292202,35.184822,L2463,0.00343,L2463,L2463,110,2180.22642776358,223.65658828325624,2403.883016046836,0.014636661537873276,0
