,mean_head_loss,length,diameter,current_cost,evaluate_flag
L1507,0.038285587,14.51,0.11,0.0,1
L360,0.03681159,6.08,0.02,0.0,0
L1503,0.03680515,283.97,0.063,0.0,0
L1541,0.031490892,139.74,0.125,17317.9,1
L1569,0.026794406,119.04,0.11,14378.713500000002,1
L2525,0.024111787,17.27,0.11,0.0,1
L1638,0.021248672,103.75,0.075,0.0,0
L1227,0.019697675,76.63,0.09,0.0,0
L1568,0.01785247,22.09,0.11,1475.6120000000003,0
L1592,0.017618736,24.03,0.11,0.0,0
L503,0.016588101,21.36,0.2,0.0,0
L1273,0.015839154,4.56,0.063,290.78249999999997,0
L1637,0.014461855,2.37,0.075,0.0,0
L1526,0.014422489,3.01,0.11,18725.070000000003,1
L1386,0.013718046,125.22,0.063,4429.6575,0
L1168,0.013535616,53.6,0.063,0.0,0
L1517,0.013411505,35.16,0.1,16257.983999999997,1
L765,0.012618255,61.59,0.02,0.0,0
L2446,0.01218352,20.04,0.1,0.0,0
L3164,0.011366846,104.79,0.06,0.0,0
L1752,0.011009896,9.16,0.075,0.0,0
L1388,0.010668479,116.81,0.063,3258.9990000000003,0
L2230,0.010656853,0.51,0.075,0.0,0
L2623,0.010617064,4.76,0.04,0.0,0
L200,0.010575557,93.29,0.08,0.0,0
L2935,0.010506885,135.55,0.11,12911.1375,1
L1471,0.010487653,4.9,0.14,0.0,1
L1543,0.010330869,158.89,0.09,18787.1035,1
L1653,0.010162851,168.01,0.075,0.0,0
L439,0.010102947,46.37,0.032,0.0,0
L406,0.010060175,115.29,0.063,0.0,0
L795,0.0100301,82.13,0.032,1433.1684999999998,0
L2201,0.009996243,64.39,0.04,0.0,0
L33,0.009752874,13.45,0.06,263.48281,0
L1566,0.009411725,12.69,0.063,0.0,0
L372,0.009340655,2.37,0.02,0.0,0
L2458,0.009329433,6.09,0.35000000000000003,0.0,0
L1465,0.009326442,9.6,0.2,0.0,1
L240,0.009292318,70.6,0.06,0.0,0
L1466,0.009243071,35.99,0.2,21942.5,1
L1474,0.00908302,91.09,0.075,13822.121,1
L1548,0.009072902,191.0,0.075,0.0,0
L794,0.008938266,95.48,0.032,1911.96448,0
L10,0.008912689,127.27,0.02,0.0,0
L1152,0.008870877,60.65,0.075,0.0,0
L1523,0.008863902,33.78,0.075,14078.9025,1
L363,0.008800428,61.05,0.02,0.0,0
L1374,0.00854318,638.33,0.35000000000000003,0.0,0
L2515,0.008343297,182.61,0.35000000000000003,0.0,0
L1209,0.008324611,163.55,0.2,0.0,0
L2861,0.008301945,22.31,0.063,0.0,0
L760,0.008205425,16.87,0.02,294.3815,0
L183,0.0081866905,15.7,0.02,1105.283,0
L1211,0.008110277,113.58,0.075,0.0,0
L1392,0.008094427,24.14,0.075,7470.912000000001,0
L1382,0.0080516925,112.73,0.11,0.0,0
L3036,0.008015661,107.61,0.063,0.0,0
L1443,0.00795166,5.02,0.35000000000000003,0.0,0
L1454,0.007948922,132.81,0.35000000000000003,0.0,0
L361,0.007879011,115.89,0.02,0.0,0
L1441,0.00783631,83.52,0.35000000000000003,0.0,0
L2459,0.0077301213,320.14,0.35000000000000003,0.0,0
L2361,0.007700626,175.98,0.063,0.0,0
L1453,0.0076937377,30.43,0.35000000000000003,0.0,0
L1442,0.007693513,85.04,0.35000000000000003,0.0,0
L1510,0.0076760687,9.29,0.063,0.0,0
L2035,0.007655137,61.81,0.032,0.0,0
L1448,0.007617929,158.6,0.063,0.0,0
L1438,0.007611379,19.7,0.35000000000000003,0.0,0
L2095,0.0076088663,95.33,0.35000000000000003,0.0,0
L1449,0.0075959265,42.11,0.35000000000000003,0.0,0
L1447,0.007466299,22.44,0.35000000000000003,0.0,0
L1385,0.007458722,108.51,0.063,0.0,0
L2517,0.0074189985,95.45,0.35000000000000003,0.0,0
L1437,0.0074181776,12.39,0.35000000000000003,0.0,0
L1780,0.007345458,121.72,0.05,0.0,0
L58,0.007337398,138.1,0.06,0.0,0
L1381,0.0073205046,25.45,0.11,0.0,0
L1199,0.0072858143,29.92,0.2,0.0,0
L1198,0.007271341,61.62,0.11,2735.9514999999997,0
L1085,0.007208972,118.51,0.02,0.0,0
L1452,0.0071598045,134.9,0.35000000000000003,0.0,0
L1439,0.0070928847,208.2,0.35000000000000003,0.0,0
L2189,0.007036442,112.86,0.063,0.0,0
L1594,0.0070249,6.58,0.125,0.0,0
L2138,0.0069714687,142.62,0.075,0.0,0
L1766,0.0069599845,21.02,0.05,411.777596,0
L2085,0.006873145,6.67,0.35000000000000003,0.0,0
L2518,0.006819206,444.88,0.35000000000000003,0.0,0
L6,0.006690968,158.89,0.1,0.0,0
L1230,0.006686459,19.79,0.075,0.0,0
L2291,0.0066802176,10.5,0.1,8919.262999999999,0
L2500,0.0066642324,25.83,0.35000000000000003,0.0,0
L2919,0.006587413,45.15,0.11,16340.304000000002,1
L2892,0.0065549784,5.22,0.15,0.0,1
L1079,0.006538201,47.79,0.02,0.0,0
L1863,0.006505702,77.7,0.032,0.0,0
L1440,0.0064110644,198.9,0.35000000000000003,0.0,0
L1387,0.0064021433,89.81,0.11,3177.02875,0
L1228,0.006355635,116.44,0.09,0.0,0
L1156,0.0063463175,30.06,0.25,0.0,0
L3236,0.006319114,4.31,0.075,0.0,0
L2881,0.006304508,111.16,0.16,0.0,0
L410,0.006275727,37.57,0.032,0.0,0
L2745,0.006262557,115.03,0.063,0.0,0
L1150,0.0061421567,71.85,0.063,0.0,0
L1225,0.005975173,58.27,0.075,0.0,0
L3179,0.005956357,13.66,0.025,1189.741,0
L419,0.0058995252,26.21,0.06,0.0,0
L1196,0.0058597643,87.45,0.2,0.0,0
L1229,0.0058490364,90.49,0.075,0.0,0
L2017,0.0058074123,18.25,0.02,616.334,0
L1636,0.0057371133,59.75,0.11,11446.848000000002,0
L1754,0.005736343,32.25,0.16,18878.142499999998,1
L1527,0.005717366,104.42,0.11,9849.6915,1
L1460,0.0055288738,295.67,0.35000000000000003,0.0,0
L2119,0.0055227303,17.05,0.075,475.69500000000005,0
L1777,0.0055121863,1.3,0.05,58.965298000000004,0
L21,0.0054776818,78.83,0.1,0.0,0
L2950,0.0054577547,19.53,0.063,0.0,0
L1226,0.005448833,63.98,0.09,0.0,0
L342,0.0054390742,63.95,0.06,0.0,0
L1334,0.005422861,160.74,0.125,0.0,1
L2450,0.0053408076,0.23,0.075,0.0,0
L2130,0.0052599926,71.18,0.075,0.0,0
L1925,0.0052156583,105.94,0.075,0.0,0
L2882,0.005189185,64.5,0.16,10974.675,0
L1865,0.005169305,182.69,0.032,0.0,0
L2888,0.00515306,62.46,0.075,10227.553500000002,0
L1224,0.0051283874,78.76,0.075,0.0,0
L1783,0.0050606676,29.45,0.06,0.0,0
L1195,0.0050215386,7.86,0.2,0.0,0
L1446,0.0049937614,155.76,0.075,0.0,0
L890,0.0049755424,17.42,0.063,381.93350000000004,0
L2087,0.004962831,93.67,0.075,0.0,0
L1770,0.004917486,0.92,0.063,0.0,0
L43,0.0049015204,29.09,0.06,0.0,0
L391,0.004867837,45.53,0.063,0.0,0
L1940,0.0048019835,110.73,0.04,0.0,0
L1929,0.004770333,100.5,0.025,0.0,0
L2619,0.004732763,98.47,0.15,16754.670499999997,1
L1574,0.004706373,35.39,0.11,0.0,0
L1522,0.0046703774,153.48,0.125,13122.7215,1
L171,0.004669911,1.12,0.063,178.68875000000003,0
L1197,0.0046187546,6.97,0.2,1036.3029999999999,0
L882,0.0045902273,5.8,0.08,512.9375,0
L2147,0.004562394,78.62,0.075,0.0,0
L1593,0.0045191906,93.17,0.125,0.0,0
L1736,0.004510684,174.03,0.15,0.0,1
L2729,0.0045022992,147.25,0.063,4108.275000000001,0
L2851,0.004495873,3.52,0.11,5992.572000000001,0
L802,0.004470422,82.4,0.06,0.0,0
L3006,0.004470398,27.33,0.11,3959.7409999999995,0
L2930,0.0044537717,4.11,0.16,0.0,1
L2934,0.0044433377,13.27,0.125,10671.734000000002,1
L187,0.0044232877,75.28,0.1,0.0,0
L3171,0.0044203675,171.22,0.315,0.0,1
L1688,0.004418998,72.6,0.075,0.0,0
L1708,0.004355225,214.35,0.075,0.0,0
L1644,0.0043120617,136.02,0.075,6032.487000000001,0
L2727,0.0043094615,55.95,0.075,0.0,0
L213,0.0042977775,148.93,0.02,0.0,0
L2363,0.004263629,33.12,0.063,0.0,0
L2421,0.004245551,14.03,0.16,3515.0160000000005,0
L219,0.004199039,50.42,0.04,0.0,0
L264,0.004187589,66.99,0.063,0.0,0
L1333,0.0041834307,37.32,0.063,0.0,0
L1784,0.0041749035,18.15,0.063,0.0,0
L1547,0.004167671,43.49,0.075,0.0,0
L1773,0.004144558,122.66,0.4,0.0,1
L333,0.004129021,73.45,0.032,0.0,0
L186,0.004128512,12.86,0.1,0.0,0
L2830,0.0040833093,5.89,0.063,1174.0349999999999,0
L2452,0.004057001,12.07,0.4,0.0,0
L3128,0.0040548835,92.38,0.06,0.0,0
L1472,0.0040474306,71.44,0.2,6804.66,1
L2453,0.004044442,6.33,0.4,0.0,0
L1769,0.003960039,89.42,0.063,0.0,0
L3078,0.0038963293,14.61,0.063,0.0,0
L345,0.0038652527,47.39,0.02,826.9555,0
L2754,0.0038623945,44.16,0.15,0.0,0
L2041,0.0038577013,37.02,0.15,0.0,0
L1720,0.0038456307,139.67,0.15,0.0,1
L1771,0.0038398206,31.21,0.4,0.0,0
L2043,0.0038259614,5.1,0.05,1723.8845000000001,0
L2015,0.0038111238,42.27,0.032,937.7629999999999,0
L1436,0.003809643,296.31,0.063,0.0,0
L709,0.0037725624,112.84,0.063,0.0,0
L2931,0.0037703323,99.96,0.16,12964.811999999998,1
L1595,0.0036953134,246.5,0.125,0.0,0
L1515,0.003692175,12.43,0.125,18811.783999999996,1
L1876,0.0036919883,86.88,0.032,0.0,0
L770,0.0036828625,99.77,0.08,0.0,0
L2828,0.0036519852,41.3,0.063,5356.609999999999,0
L485,0.0036453593,19.98,0.075,0.0,0
L2098,0.0035801898,46.41,0.075,2336.904,0
L1076,0.003529598,36.31,0.16,0.0,0
L2817,0.003517707,3.95,0.11,1138.3035,0
L2834,0.0034751452,55.12,0.075,9378.667999999998,0
L195,0.0034735438,14.24,0.1,0.0,0
L1014,0.0034735333,66.38,0.08,0.0,0
L18,0.003424846,5.16,0.032,142.9155,0
L1546,0.0034155766,123.92,0.075,0.0,0
L2736,0.003392408,5.09,0.063,1128.2604999999999,0
L2013,0.0033844623,33.87,0.06,0.0,0
L1343,0.003383601,6.96,0.032,0.0,0
L2022,0.0033559224,17.55,0.063,0.0,0
L346,0.0033495668,58.28,0.063,0.0,0
L2613,0.0033447566,14.56,0.125,3111.1525,0
L2846,0.0033333206,13.05,0.11,11426.808,0
L1488,0.0032477642,94.02,0.35000000000000003,0.0,1
L1123,0.0032178704,15.72,0.075,0.0,0
L386,0.0032066468,28.73,0.25,0.0,0
L373,0.0032047217,8.65,0.032,0.0,0
L1875,0.0031993694,37.0,0.16,0.0,0
L2744,0.0031913605,200.58,0.063,4397.7165,0
L2487,0.0031908262,65.52,0.063,0.0,0
L2738,0.0031886133,164.24,0.063,0.0,0
L2196,0.0031878487,5.18,0.16,7136.093999999999,1
L1955,0.0031832112,173.93,0.075,11618.524000000003,0
L170,0.0031820075,12.4,0.063,311.33500000000004,0
L2328,0.0031806666,39.97,0.032,0.0,0
L932,0.0031737196,9.27,0.032,0.0,0
L1919,0.0031626474,0.67,0.063,0.0,0
L587,0.003144122,17.46,0.032,304.677,0
L2936,0.0031360658,90.79,0.063,0.0,0
L2932,0.0031324294,28.01,0.063,614.1192500000001,0
L392,0.0031056723,35.22,0.032,1005.9925,0
L454,0.0030989803,3.0,0.025,86.3775,0
L3115,0.0030941074,43.94,0.063,0.0,0
L809,0.003091758,42.68,0.032,0.0,0
L1467,0.0030833774,3.61,0.25,0.0,1
L2254,0.0030783692,19.46,0.11,5044.947499999999,0
L1843,0.0030751873,30.26,0.063,0.0,0
L1288,0.0030554775,7.07,0.09,767.99125,0
L1068,0.0030511185,99.67,0.16,0.0,1
L1808,0.0030413526,36.08,0.2,0.0,0
L2113,0.0030391258,137.05,0.075,0.0,0
L1539,0.003015697,13.08,0.125,12370.1175,1
L2971,0.003012065,7.4,0.063,0.0,0
L1838,0.0030034021,403.31,0.35000000000000003,0.0,1
