element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter
L1777,pipe,0.063,58.965298,8.992126668,0.938109076,0.787953505,0.267411086,0.780383369,0.800562321,0.529411765,93828.71384,16417.20898,0.802660506,,0.007873332,0.000133525,1
L454,pipe,0.05,86.3775,8.990003586,0.937532498,0.787249031,0.267014316,0.775552765,0.799300244,0.529411765,93841.9525,16405.88477,0.796130423,,0.009996414,0.000115729,1
L171,pipe,0.075,178.68875,8.987416533,0.938410993,0.788305741,0.267744635,0.780534346,0.800693885,0.530468475,93686.62363,16405.89648,0.803094894,,0.012583467,7.04E-05,1
L2119,pipe,0.1,475.695,8.980819659,0.940050571,0.787953505,0.269718199,0.783438423,0.803897457,0.529411765,93835.70471,16426.55078,0.806932926,,0.019180341,4.03E-05,1
L1273,pipe,0.075,180.2235,8.992733362,0.938021017,0.787249031,0.267574738,0.775850414,0.800108606,0.529411765,93858.47276,16416.56445,0.796688296,,0.007266638,4.03E-05,1
Leak_1099,leak,,2467.340439,8.907268636,0.937492662,0.793941529,0.266906627,0.776645841,0.799501103,0.542444523,91280.38063,16416.34766,0.797563805,160,0.092731364,3.76E-05,1
L1766,pipe,0.063,411.777596,8.985596002,0.936788188,0.783022191,0.265650855,0.777793269,0.79783647,0.527650581,96524.76224,16418.94531,0.799177741,,0.014403998,3.50E-05,1
Leak_2295,leak,,3072.413997,8.897209552,0.937140425,0.794293765,0.266641894,0.777898394,0.798905865,0.544557943,91069.56614,16405.22266,0.799153269,250,0.102790448,3.35E-05,1
L760,pipe,0.05,294.3815,8.991391932,0.937574431,0.786192321,0.267936917,0.775372152,0.800007338,0.528707291,94500.88844,16372.4834,0.796583617,,0.008608068,2.92E-05,1
L170,pipe,0.075,311.335,8.991384476,0.937591204,0.786896795,0.267934859,0.775365777,0.799992557,0.529411765,94395.53947,16372.48633,0.796555275,,0.008615524,2.77E-05,1
L2817,pipe,0.125,236.65875,8.993974215,0.938622754,0.787953505,0.267925465,0.780993093,0.801333992,0.529411765,93811.38491,16416.99414,0.803571502,,0.006025785,2.55E-05,1
Leak_122,leak,,2414.680177,8.943333896,0.941761435,0.787249031,0.271682685,0.783420026,0.806632533,0.529411765,93958.78279,16403.74414,0.806441943,75,0.056666104,2.35E-05,1
Leak_1531,leak,,2320.279938,8.946057254,0.940247656,0.787601268,0.269562104,0.786193871,0.804412446,0.529411765,93931.92453,16384.12305,0.810353254,40,0.053942746,2.32E-05,1
L2017,pipe,0.05,616.334,8.986095992,0.935978883,0.786192321,0.266324506,0.774020233,0.797489318,0.529059528,94429.53217,16383.75,0.794980902,,0.013904008,2.26E-05,1
Leak_1365,leak,,2363.119388,8.947276189,0.94049506,0.786896795,0.270316677,0.785537847,0.804970521,0.529411765,94047.11162,16393.48828,0.809449123,60,0.052723811,2.23E-05,1
L587,pipe,0.05,304.677,8.993730506,0.938490666,0.77456851,0.268025258,0.775043133,0.800948523,0.5191969,96935.32725,16405.49414,0.79544179,,0.006269494,2.06E-05,1
Leak_1100,leak,,2013.225151,8.897893449,0.935305859,0.793589292,0.264268504,0.774855138,0.796697781,0.543148996,91071.36865,16361.51074,0.795616704,160,0.102106551,5.07E-05,2
Leak_1098,leak,,2491.208886,8.943682968,0.939752847,0.787249031,0.268362461,0.779347217,0.803307461,0.529764001,93779.90633,16405.12695,0.801280822,160,0.056317032,2.26E-05,2
L2932,pipe,0.075,614.11925,8.98747774,0.938467603,0.788305741,0.267835264,0.778358651,0.800735818,0.530468475,93661.93648,16405.70117,0.799848111,,0.01252226,2.04E-05,2
Leak_385,leak,,2339.370883,8.952505038,0.941145021,0.787953505,0.270307432,0.78323041,0.805388593,0.532229658,93294.88795,16425.78516,0.805969742,63,0.047494962,2.03E-05,2
