link_id,mean_head_loss,length,diameter,current_cost,evaluate_flag
L360,0.03839509,6.08,0.02,0.0,1
L2525,0.03379782,17.27,0.11,0.0,1
L1507,0.030340984,89.54,0.11,0.0,1
L1592,0.025987854,24.03,0.11,0.0,1
L1503,0.025159296,283.97,0.063,0.0,1
L1465,0.020656163,14.68,0.2,0.0,1
L1227,0.018687502,76.63,0.09,0.0,1
L1471,0.017773814,4.9,0.14,0.0,1
L1504,0.016685862,17.67,0.125,1412.991,1
L503,0.016580852,21.36,0.2,0.0,1
L1548,0.014704254,191.0,0.075,0.0,1
L1168,0.014229109,53.6,0.063,1175.18,1
L1474,0.0133489985,95.39,0.15,0.0,1
L1638,0.013177766,103.75,0.075,0.0,1
L2446,0.013012892,37.25,0.1,0.0,1
L1036,0.012809391,9.82,0.075,0.0,1
L1653,0.012799703,168.01,0.075,0.0,1
L765,0.012618241,61.59,0.02,0.0,1
L1662,0.01242242,40.07,0.075,0.0,1
L1566,0.012207155,12.69,0.063,0.0,1
L1752,0.011860787,9.16,0.075,0.0,1
L3164,0.011727838,104.79,0.06,0.0,1
L2623,0.011413637,4.76,0.04,0.0,1
L2230,0.010965501,0.51,0.075,0.0,1
L200,0.010921754,93.29,0.08,0.0,1
L439,0.010758359,46.37,0.032,0.0,1
L1658,0.010346887,56.3,0.1,0.0,1
L1594,0.010193643,6.58,0.125,0.0,1
L406,0.010142453,115.29,0.063,0.0,1
L2458,0.009577905,6.09,0.35000000000000003,0.0,1
L372,0.009572229,2.37,0.02,649.838,1
L240,0.009388487,70.6,0.06,0.0,1
L1475,0.009383237,46.68,0.2,0.0,1
L1541,0.009344806,4.0,0.2,0.0,1
L2890,0.009301798,161.71,0.15,0.0,1
L2201,0.00923825,64.39,0.04,0.0,1
L10,0.009070461,127.27,0.02,0.0,1
L2087,0.008916584,93.67,0.075,0.0,1
L1152,0.008851223,10.01,0.075,0.0,1
L1513,0.008836537,29.52,0.15,0.0,1
L363,0.008800419,61.05,0.02,0.0,1
L1374,0.008752443,638.33,0.35000000000000003,0.0,1
L1637,0.008733071,2.37,0.075,0.0,1
L2881,0.008668801,26.94,0.16,0.0,1
L1382,0.008661572,112.73,0.11,0.0,1
L1385,0.008634276,108.51,0.063,0.0,1
L2515,0.0085726,297.71,0.35000000000000003,0.0,1
L3036,0.008433901,107.61,0.063,0.0,1
L1209,0.008408782,163.55,0.2,0.0,1
L1454,0.008174813,132.81,0.35000000000000003,0.0,1
L1443,0.008171166,5.02,0.35000000000000003,0.0,1
L2035,0.008151608,61.81,0.032,0.0,1
L1574,0.008093787,19.92,0.11,0.0,1
L1655,0.008057214,75.77,0.1,0.0,1
L1441,0.008053927,83.52,0.35000000000000003,0.0,1
L1334,0.007942773,160.74,0.125,0.0,1
L2459,0.007919377,320.14,0.35000000000000003,0.0,1
L1453,0.007912498,33.34,0.35000000000000003,0.0,1
L1442,0.007906543,132.71,0.35000000000000003,0.0,1
L1381,0.007883573,25.45,0.11,0.0,1
L361,0.007879009,115.89,0.02,0.0,1
L1448,0.0078295,158.6,0.063,0.0,1
L2095,0.007825295,67.82,0.35000000000000003,0.0,1
L1438,0.0078236675,19.7,0.35000000000000003,0.0,1
L1449,0.007806976,42.11,0.35000000000000003,0.0,1
L1211,0.007723107,113.58,0.075,0.0,1
L1447,0.007674286,22.44,0.35000000000000003,0.0,1
L2889,0.007670564,189.49,0.075,0.0,1
L2517,0.007629762,95.45,0.35000000000000003,0.0,1
L1437,0.007624995,12.39,0.35000000000000003,0.0,1
L1525,0.007590919,33.17,0.15,0.0,1
L2189,0.0075313533,112.86,0.063,0.0,1
L1199,0.0074727116,29.92,0.2,0.0,1
L58,0.007443993,138.1,0.06,0.0,1
L1452,0.0073573887,134.9,0.35000000000000003,0.0,1
L1439,0.007290465,208.2,0.35000000000000003,0.0,1
L1085,0.007208974,118.51,0.02,0.0,1
L2267,0.0071398183,9.73,0.063,381.495,1
L2138,0.007100815,142.62,0.075,0.0,1
L1547,0.0070588924,43.49,0.075,0.0,1
L2085,0.0070462297,6.67,0.35000000000000003,0.0,1
L2518,0.007013191,444.88,0.35000000000000003,0.0,1
L1659,0.0070007388,105.09,0.1,0.0,1
L1780,0.0069128047,121.72,0.05,0.0,1
L1467,0.0068775616,3.61,0.25,0.0,1
L2500,0.006849099,25.83,0.35000000000000003,0.0,1
L2361,0.0068191914,175.98,0.063,0.0,1
L6,0.0067689554,158.89,0.1,0.0,1
L410,0.006640518,79.56,0.032,0.0,1
L1863,0.006599908,77.7,0.032,0.0,1
L1440,0.0065890336,198.9,0.35000000000000003,0.0,1
L2861,0.006552699,22.31,0.063,0.0,1
L1079,0.0065381983,47.79,0.02,833.9354999999999,1
L2902,0.006519796,65.61,0.15,0.0,1
L1593,0.0065046507,93.17,0.125,0.0,1
L1660,0.006495612,10.19,0.1,0.0,1
L1230,0.0064166826,37.66,0.075,0.0,1
L3236,0.0063591623,4.31,0.075,0.0,1
L1156,0.006341081,30.06,0.25,0.0,1
L1519,0.006123673,92.97,0.15,0.0,1
L1510,0.0061185234,9.29,0.063,0.0,1
L1532,0.0061068116,21.55,0.11,0.0,1
L2950,0.006088529,19.53,0.063,0.0,1
L1228,0.0060468344,116.44,0.09,0.0,1
L1150,0.0060290387,1.01,0.063,0.0,1
L419,0.0060148067,26.21,0.06,0.0,1
L1196,0.005934323,87.45,0.2,0.0,1
L1546,0.0058794105,123.92,0.075,0.0,1
L1595,0.0058042505,246.5,0.125,0.0,1
L1225,0.005771709,58.27,0.075,0.0,1
L2745,0.0057095475,115.03,0.063,0.0,1
L1229,0.0056729848,90.49,0.075,0.0,1
L2727,0.005655683,55.95,0.075,0.0,1
L1460,0.005555821,295.67,0.35000000000000003,0.0,1
L21,0.005521144,78.83,0.1,0.0,1
L1770,0.0055029383,0.92,0.063,0.0,1
L2899,0.005435171,16.51,0.125,0.0,1
L2130,0.0053951535,71.18,0.075,0.0,1
L2929,0.00538053,95.16,0.16,0.0,1
L342,0.005359299,63.95,0.06,0.0,1
L43,0.005232281,29.09,0.06,0.0,1
L2892,0.0051954435,5.22,0.15,0.0,1
L1226,0.0051710866,63.98,0.09,0.0,1
L1865,0.005169303,182.69,0.032,0.0,1
L1925,0.0051468713,105.94,0.075,0.0,1
L1446,0.0051438576,155.76,0.075,0.0,1
L1940,0.005123718,110.73,0.04,0.0,1
L2754,0.0050832727,93.1,0.15,0.0,1
L1195,0.0050674938,0.53,0.2,799.1475,1
L391,0.0049259895,45.53,0.063,0.0,1
L1224,0.0049028937,78.76,0.075,0.0,1
L1929,0.0048448136,100.5,0.025,0.0,1
L2147,0.004779504,78.62,0.075,0.0,1
L1035,0.0047740475,7.9,0.11,0.0,1
L1569,0.004764028,73.26,0.15,0.0,1
L1950,0.0047531766,14.88,0.1,687.6899999999999,1
L2264,0.0046087056,21.85,0.063,606.22625,1
L1534,0.0044727623,3.65,0.11,0.0,1
L1769,0.0044143815,89.42,0.063,0.0,1
L187,0.0044070277,75.28,0.1,0.0,1
L2812,0.0043623648,6.43,0.063,146.89749999999998,1
L264,0.0043225517,66.99,0.063,0.0,1
L213,0.004297795,148.93,0.02,0.0,1
L3128,0.004262023,92.38,0.06,0.0,1
L333,0.0042522876,73.45,0.032,0.0,1
L1783,0.004243458,134.56,0.06,0.0,1
L33,0.0042008907,13.45,0.063,294.89125,1
L2893,0.00418521,105.44,0.063,0.0,1
L2452,0.0041679926,12.07,0.4,0.0,1
L2453,0.0041551073,6.33,0.4,0.0,1
L186,0.004125879,12.86,0.1,454.92249999999996,1
L219,0.0041238107,50.42,0.04,879.829,1
L802,0.0040298686,82.4,0.06,0.0,1
L1736,0.0039514382,174.03,0.15,0.0,1
L1436,0.0039234175,296.31,0.063,0.0,1
L2936,0.003852227,90.79,0.063,0.0,1
L2912,0.0038288455,25.38,0.063,556.4565,1
L2728,0.0038227243,4.47,0.075,0.0,1
L709,0.0038132886,112.84,0.063,0.0,1
L1051,0.0038048958,5.24,0.125,363.2265,1
L1876,0.0037968876,86.88,0.032,0.0,1
L1536,0.0037851129,6.99,0.11,0.0,1
L3171,0.003765069,171.22,0.315,0.0,1
L485,0.003737711,19.98,0.075,0.0,1
L770,0.0037242274,99.77,0.08,0.0,1
L2269,0.003702986,13.51,0.063,535.8470000000001,1
L2894,0.0036977543,111.28,0.2,0.0,1
L2363,0.0036881552,33.12,0.063,0.0,1
L1540,0.0036822443,71.48,0.2,0.0,1
L2257,0.0036546325,28.33,0.063,621.1352499999999,1
L1343,0.0036084806,6.96,0.032,0.0,1
L1076,0.0035763462,13.8,0.16,0.0,1
L1612,0.0035320113,250.89,0.063,0.0,1
L1472,0.0035247249,71.44,0.25,0.0,1
L1756,0.003510524,61.31,0.16,0.0,1
L1759,0.003506615,1.41,0.063,0.0,1
L1014,0.0034985456,66.38,0.08,0.0,1
L1784,0.0034975072,40.89,0.063,0.0,1
L1664,0.0034686206,118.01,0.11,0.0,1
L195,0.00341164,14.24,0.1,0.0,1
L1720,0.0033807943,139.67,0.15,0.0,1
L3078,0.0033772457,14.61,0.063,0.0,1
L373,0.0033495894,8.65,0.032,0.0,1
L2738,0.0033401886,164.24,0.063,0.0,1
L3265,0.0033393963,2.58,0.16,190.38000000000002,1
L2328,0.0033236863,39.97,0.032,697.4765,1
L346,0.0033131752,19.71,0.063,0.0,1
L1843,0.0033057963,30.26,0.063,0.0,1
L2013,0.0032951604,33.87,0.06,0.0,1
L1123,0.003283232,15.72,0.075,0.0,1
L2022,0.0032830483,17.55,0.063,0.0,1
L386,0.0032763842,28.73,0.25,0.0,1
L1761,0.0032558956,145.89,0.063,0.0,1
L932,0.0032476445,9.27,0.032,0.0,1
L2920,0.0032459728,26.87,0.11,950.52625,1
L809,0.0032362924,42.68,0.032,0.0,1
L1708,0.0032061439,214.35,0.075,0.0,1
L2675,0.0031885363,4.21,0.11,322.62,1
L1773,0.0031530438,122.66,0.4,0.0,1
L3115,0.0031418253,32.71,0.063,0.0,1
L3039,0.0031398493,95.34,0.075,0.0,1
L1588,0.0031008634,119.37,0.125,0.0,1
L1919,0.0030726541,0.67,0.063,0.0,1
L1875,0.0030667023,37.0,0.16,0.0,1
L2887,0.0030631213,23.49,0.2,0.0,1
L892,0.0030588054,4.89,0.063,392.23825000000005,1
L279,0.0030333442,89.05,0.075,0.0,1
L649,0.0030244968,188.75,0.06,0.0,1
