element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter
L3265,pipe,0.2,190.38000000000002,8.861589725958952,0.9415874134084772,0.8027474462839028,0.2691966289776603,0.7948111538559345,0.8167557217497777,0.5346953152518492,89360.46462230364,16397.98828125,0.8147700653259732,,0.138410274041048,0.0007270210843631053,1
L2812,pipe,0.075,146.89749999999998,8.895207233520985,0.9411156678240158,0.8027474462839028,0.26946885987401786,0.7929242727294812,0.8161280904577399,0.5346953152518492,89356.17202872978,16386.0078125,0.8121612436223965,,0.10479276647901514,0.0007133733826580789,1
L1051,pipe,0.15,363.2265,8.795436874181318,0.942411395696003,0.8030996829869672,0.2708578878652673,0.7983759522998808,0.8186040733658733,0.5364564987671715,89319.52496751626,16374.685546875,0.8196980671362304,,0.20456312581868197,0.0005631833740618649,1
L33,pipe,0.075,294.89125,8.859917236362332,0.9408493936496755,0.8030996829869672,0.26864730221932714,0.7963176280269806,0.8157554638621916,0.5364564987671715,89332.3326566983,16365.12890625,0.8168347437547362,,0.14008276363766825,0.00047503194359842227,1
L2675,pipe,0.125,322.62,8.87757190916214,0.940415387711971,0.8030996829869672,0.2683965014229442,0.7956328619567297,0.8151920948019926,0.5364564987671715,89332.73864312397,16354.2978515625,0.8158666711966923,,0.12242809083785922,0.00037948078494160067,1
L2269,pipe,0.075,535.8470000000001,8.865128487859565,0.9408074607088345,0.8030996829869672,0.2681390292237954,0.7961394188594246,0.8154337333735889,0.5364564987671715,89330.12054441453,16377.064453125,0.8165956997659397,,0.13487151214043536,0.0002516978020599823,1
L186,pipe,0.125,454.92249999999996,8.897861228965906,0.9408263305322129,0.8027474462839028,0.2681688512982077,0.7934006341660701,0.8156467002968852,0.5346953152518492,89323.45751969048,16398.369140625,0.8125942288165071,,0.10213877103409352,0.00022451905771662983,1
L2267,pipe,0.075,381.495,8.917475927190413,0.940203626360724,0.8030996829869672,0.26655335688528087,0.7932317632259951,0.8143652820409601,0.5364564987671715,89339.0242300748,16400.927734375,0.8122113229832257,,0.08252407280958707,0.0002163175737810117,1
L1168,pipe,0.075,1175.18,8.748549633960177,0.9433485969237995,0.8016907361747094,0.27131040016272795,0.8001937193594689,0.8196710046293967,0.5343430785487848,89811.16113768637,16396.982421875,0.8230705944311262,,0.2514503660398226,0.0002139675335181186,1
L1950,pipe,0.125,687.6899999999999,8.85862038867538,0.9409605159429041,0.8038041563930962,0.2685181766247593,0.796199418368928,0.8159166436035492,0.5378654455794294,89270.03908210612,16408.75,0.8168398126580086,,0.14137961132461996,0.0002055862544527621,1
L2264,pipe,0.075,606.22625,8.875810265996941,0.9408787467082641,0.8030996829869672,0.2680543038541594,0.7950491388628745,0.8156885808215502,0.5364564987671715,89345.49591549287,16345.3193359375,0.814708236525318,,0.12418973400305866,0.00020485707110679989,1
L2912,pipe,0.075,556.4565,8.900664547199518,0.9398220365990708,0.8027474462839028,0.26691355154698143,0.7950267159334142,0.8138974152535265,0.5346953152518492,89335.22991369356,16356.7666015625,0.8151711951988231,,0.0993354528004815,0.00017851431837076484,1
L219,pipe,0.05,879.829,8.844353034881133,0.9418264311712709,0.8030996829869672,0.2691173177074858,0.7959125614409199,0.8171407709790504,0.5364564987671715,89318.60795000114,16387.67578125,0.8159308241423675,,0.15564696511886744,0.00017690592730958794,1
L892,pipe,0.075,392.23825000000005,8.933377321566404,0.9393775474261561,0.8027474462839028,0.26682964283831573,0.79327521114667,0.8132960968818665,0.5346953152518492,89350.6401513214,16377.662109375,0.8127445259223995,,0.06662267843359615,0.00016985257922600905,1
L1195,pipe,0.25,799.1475,8.872284175158086,0.9408452003555914,0.8016907361747094,0.2691268495587538,0.7949421686283171,0.8162654208389942,0.5371609721733005,89822.13368095818,16386.669921875,0.8153828497246879,,0.12771582484191413,0.00015981508400128152,1
L2328,pipe,0.05,697.4765,8.891418199182711,0.9408661668260119,0.8030996829869672,0.2681538167250808,0.7939304527611728,0.815631132692598,0.5364564987671715,89325.7219127125,16388.068359375,0.8132331318287569,,0.10858180081728896,0.00015567807778081263,1
L372,pipe,0.05,649.838,8.89957740225623,0.9399813817742666,0.8030996829869672,0.26753997228881216,0.7947084892711737,0.8145702817054966,0.5364564987671715,89321.95560839685,16398.1875,0.8147521367774947,,0.10042259774376916,0.00015453481905300886,1
L2257,pipe,0.075,621.1352499999999,8.91264995575688,0.9396165651889499,0.8030996829869672,0.26711193365072516,0.7944594885108579,0.8138434265921938,0.5364564987671715,89330.78107043866,16388.34765625,0.8143390887548352,,0.0873500442431201,0.00014062966840655092,1
L1079,pipe,0.05,833.9354999999999,8.888503993229056,0.940916486355021,0.8027474462839028,0.2687383369967199,0.7938844326341259,0.8159670679649105,0.5346953152518492,89348.76033766243,16376.009765625,0.8133104771574843,,0.11149600677094362,0.00013369859751856543,1
L2920,pipe,0.125,950.52625,8.879537188329282,0.9412603364699174,0.8027474462839028,0.2682226455642351,0.7942154644106966,0.8160224718629967,0.5364564987671715,89348.40517136744,16399.08984375,0.8136345192509689,,0.12046281167071804,0.0001267327563764999,1
Leak_359,leak,,1592.5460661582579,8.814333959151277,0.9425183246951475,0.8030996829869672,0.26993729202338734,0.796881276727628,0.8182554533789563,0.5364564987671715,89318.40434782459,16397.623046875,0.8175239441332048,40.0,0.18566604084872296,0.00011658440832208401,1
L1504,pipe,0.15,1412.991,8.836081367455552,0.9420570623458965,0.774568510038746,0.2702185529491695,0.796036698357134,0.8168152141095959,0.3663261711870377,103380.9252533587,16353.91015625,0.816730751064835,,0.16391863254444772,0.00011600826370758747,1
L2675,pipe,0.15,81.85200000000003,8.945052052670201,0.9424407487545916,0.8034519196900317,0.26882198327030676,0.799367426021228,0.8176351079353897,0.5350475519549137,89267.52226351557,16356.21875,0.8204632293933001,,0.05494794732979891,0.0006713085487196267,2
L3265,pipe,0.25,81.08249999999995,8.96376452103049,0.9425183246951475,0.8016907361747094,0.26935008378309805,0.7983626439277821,0.8184542679347188,0.5339908418457203,89717.99580702395,16409.28125,0.8200134452371903,,0.03623547896951074,0.0004468964199366171,2
L2269,pipe,0.1,146.029,8.971816149883193,0.9397947801875242,0.8034519196900317,0.26567495325975954,0.7946590022572776,0.8136762714067663,0.5350475519549137,89265.09543196933,16390.7890625,0.813986282821525,,0.028183850116807463,0.00019300173333247137,2
L1150,pipe,0.075,1597.4555,8.827091376149507,0.9420486757577282,0.8030996829869672,0.2701870680216238,0.79662014186334,0.8179267515389389,0.536808735470236,89315.5866600227,16364.373046875,0.8169398286938103,,0.17290862385049266,0.00010824002537190716,2
L264,pipe,0.075,1468.75575,8.841626340966242,0.9418830406414063,0.8027474462839028,0.2692545131847701,0.7960395501511551,0.8172376360723931,0.5364564987671715,89486.03679059946,16387.955078125,0.8160635776293647,,0.15837365903375833,0.0001078284520988315,2
L765,pipe,0.05,1074.7455,8.887805971034798,0.9401386303024204,0.8038041563930962,0.26832312975548556,0.7952967976024745,0.814994118905047,0.5378654455794294,89308.62033953646,16375.83984375,0.8155212893385386,,0.11219402896520236,0.00010439125259440711,2
Leak_1235,leak,,2341.121655621899,8.763979939791792,0.9434618158640702,0.8030996829869672,0.2709673165328235,0.799234621887891,0.8195274367231923,0.5364564987671715,89255.64440912164,16343.591796875,0.8203972483022037,75.0,0.2360200602082081,0.0001008149489546759,2
L1863,pipe,0.05,1455.1555,8.857427053762928,0.9410087388248712,0.8013384994716449,0.2683431581788987,0.7958799056035015,0.8164430068434559,0.5357520253610426,89717.55376252832,16399.224609375,0.8166796696515148,,0.14257294623707217,9.79778080329368e-05,2
L1036,pipe,0.1,1415.6460000000002,8.863409312992165,0.9412854962344219,0.7805565339908418,0.26861104343477454,0.7949928858278694,0.815502293731864,0.36984853821768227,100025.52080581686,16422.1953125,0.8164467024501332,,0.1365906870078355,9.648647119960461e-05,2
L1784,pipe,0.075,1525.76075,8.85545908227502,0.94153919052651,0.8013384994716449,0.26901617445494735,0.7950462311513236,0.8171317553967695,0.5357520253610426,89759.45817326705,16409.6171875,0.8154930179075153,,0.14454091772497968,9.473367153072963e-05,2
Leak_2018,leak,,2315.287860890891,8.789886019266419,0.9428202418692028,0.8034519196900317,0.27095719775811106,0.7981148733531225,0.8193125304013821,0.5357520253610426,89305.11646751131,16374.1640625,0.8190198023328732,63.0,0.21011398073358123,9.075069423666925e-05,2
L342,pipe,0.063,1252.76771,8.886653193115338,0.9409668058840303,0.8030996829869672,0.26849088017792644,0.7941157075374867,0.8158788515406162,0.5364564987671715,89313.08861123698,16376.921875,0.8133978574062177,,0.11334680688466214,9.047711397722898e-05,2
L1036,pipe,0.125,379.2814999999998,8.875449051694176,0.9438559855079757,0.8013384994716449,0.27004226316627905,0.7990785001446163,0.8203103247286939,0.536808735470236,89668.76035511194,16387.07421875,0.8207635226198791,,0.12455094830582425,0.00032838656329355455,3
L3265,pipe,0.3,98.1825,8.972163234396069,0.941623056408192,0.8023952095808383,0.26755431535893215,0.7954478867680648,0.8170511393180027,0.5382176822824938,89591.69065870193,16400.1171875,0.8155494036128106,,0.027836765603931113,0.0002835206437392724,3
L1504,pipe,0.2,715.2570000000005,8.80754639805356,0.9451160703802479,0.7805565339908418,0.27027442949361113,0.802203842721659,0.8210322527214479,0.3705530116238112,99830.41014850297,16421.78515625,0.8259863663945538,,0.1924536019464398,0.0002690691624778781,3
Leak_225,leak,,2467.1911364388097,8.779748956078738,0.943285697512538,0.8013384994716449,0.27031591060900345,0.7979249215043032,0.8197341137053624,0.5357520253610426,89739.97916828719,16399.181640625,0.8193205729342711,90.0,0.22025104392126238,8.927198248579025e-05,3
Leak_1799,leak,,2339.766230515969,8.797102078269603,0.9428873345745484,0.8027474462839028,0.27006880281577733,0.7975723055612195,0.8186633036448112,0.5346953152518492,89332.83617337982,16376.31640625,0.8186123781663472,63.0,0.202897921730397,8.671717673506795e-05,3
Leak_3118,leak,,2424.7430862313267,8.790012470360075,0.9429921669266509,0.8034519196900317,0.2696321003105403,0.7981233169001263,0.8186939146916251,0.536808735470236,89297.41559444259,16431.744140625,0.819132764094609,32.0,0.20998752963992473,8.660197067158123e-05,3
Leak_1845,leak,,2431.123782307589,8.791341341351094,0.9428370150455392,0.8038041563930962,0.27070508305870533,0.7978440647561745,0.8192820766030964,0.5378654455794294,89284.81097213796,16362.626953125,0.8188340535415373,110.0,0.20865865864890587,8.582806855307465e-05,3
