,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
all_closed,0.9273,0.745,0.3317,0.7507,0.7707,0.5019,111126.2449,16744.2773,0.7664,8.999036438881191,25.60690689086914,42.2656135559082
"(('V_TR', 'night'),)",0.9239,0.6474,0.3273,0.7556,0.7616,0.2628,149577.3583,16357.1182,0.7821,8.876737325828708,25.774688720703125,42.33153533935547
"(('V_TR', 'morning'),)",0.9295,0.7471,0.338,0.7497,0.7777,0.5019,109746.8058,16782.5977,0.7647,8.917718702601924,25.57293701171875,42.29745101928711
"(('CV8', 'night'),)",0.9264,0.7446,0.3304,0.7505,0.7693,0.5019,111060.5164,16744.5605,0.7665,8.9949847187314,25.598892211914062,42.26744842529297
"(('CV8', 'morning'),)",0.9247,0.745,0.3292,0.7497,0.7671,0.5019,110941.0135,16727.4902,0.7658,8.989736282642152,25.571887969970703,42.263587951660156
"(('CV3', 'night'),)",0.9184,0.7605,0.3254,0.7377,0.7605,0.5171,103208.5229,16729.3047,0.7515,8.817582312063779,25.164409637451172,42.23023223876953
"(('CV3', 'morning'),)",0.9223,0.6911,0.3283,0.7435,0.765,0.4797,128894.5161,16733.1055,0.7573,8.989101115486745,25.36132049560547,42.259490966796875
"(('CV12', 'night'),)",0.9283,0.7439,0.3316,0.7516,0.7673,0.3219,111440.7691,16771.5117,0.7694,8.968804451138704,25.635848999023438,42.242530822753906
"(('CV12', 'morning'),)",0.9239,0.7397,0.3369,0.7471,0.772,0.5019,112974.5186,16679.3945,0.7612,8.990343769516272,25.48326301574707,42.16033172607422
"(('V_TR', 'night'), ('V_TR', 'morning'))",0.9307,0.7467,0.3356,0.7551,0.7758,0.5019,109742.3487,16743.7441,0.772,8.869349077385612,25.756986618041992,42.255828857421875
"(('V_TR', 'night'), ('CV8', 'night'))",0.9241,0.6474,0.3268,0.7522,0.7612,0.2621,149582.1462,16362.3604,0.7775,8.908871891633869,25.65672492980957,42.350120544433594
"(('V_TR', 'night'), ('CV8', 'morning'))",0.9248,0.6474,0.3293,0.7575,0.7632,0.2628,149585.1977,16338.96,0.7846,8.863359711376672,25.836984634399414,42.32060241699219
"(('V_TR', 'night'), ('CV3', 'night'))",0.9141,0.5882,0.3167,0.7412,0.7009,0.1578,163673.2828,15361.9043,0.7714,8.850741069198362,25.283248901367188,42.308692932128906
"(('V_TR', 'night'), ('CV3', 'morning'))",0.9201,0.6319,0.3269,0.7526,0.7594,0.261,154090.1651,16378.2305,0.7813,8.892251004435463,25.67156982421875,42.34249496459961
"(('V_TR', 'night'), ('CV12', 'night'))",0.9298,0.7024,0.3264,0.7697,0.7487,0.236,122901.1407,16974.6855,0.7974,8.74004941121284,26.253976821899414,42.40464782714844
"(('V_TR', 'night'), ('CV12', 'morning'))",0.9299,0.6228,0.3412,0.7659,0.7748,0.1965,155249.7872,16523.4668,0.7963,8.743408498890563,26.125165939331055,42.35200119018555
"(('V_TR', 'morning'), ('CV8', 'night'))",0.9298,0.7397,0.3385,0.752,0.7782,0.5016,111699.0218,16772.6367,0.7685,8.91789919567286,25.649578094482422,42.290748596191406
"(('V_TR', 'morning'), ('CV8', 'morning'))",0.9264,0.7432,0.3351,0.7444,0.7735,0.5009,112069.8067,16771.9492,0.7582,8.987677783527493,25.39274024963379,42.28919219970703
"(('V_TR', 'morning'), ('CV3', 'night'))",0.9249,0.758,0.3367,0.7399,0.7737,0.5157,104324.1074,16774.1445,0.7545,8.846909814205011,25.239299774169922,42.251041412353516
"(('V_TR', 'morning'), ('CV3', 'morning'))",0.9292,0.627,0.3389,0.7552,0.7788,0.2434,154030.9171,16926.8125,0.7769,8.874738128442363,25.759244918823242,42.60599899291992
"(('V_TR', 'morning'), ('CV12', 'night'))",0.9287,0.7408,0.3353,0.7535,0.7701,0.3216,112699.846,16864.9785,0.773,8.940557588235317,25.701335906982422,42.33272171020508
"(('V_TR', 'morning'), ('CV12', 'morning'))",0.9291,0.7467,0.3417,0.7554,0.7807,0.5055,110299.2226,16722.5898,0.774,8.85680581343943,25.767711639404297,42.210289001464844
"(('CV8', 'night'), ('CV8', 'morning'))",0.9273,0.745,0.3317,0.7507,0.7707,0.5019,111126.2449,16744.2773,0.7664,8.999036438881191,25.60690689086914,42.2656135559082
"(('CV8', 'night'), ('CV3', 'night'))",0.9197,0.7598,0.3261,0.7392,0.7618,0.5164,103207.2097,16718.1348,0.7533,8.823164122519401,25.212520599365234,42.21728515625
"(('CV8', 'night'), ('CV3', 'morning'))",0.9227,0.6559,0.3303,0.7447,0.7678,0.4699,140967.9692,16732.7832,0.7618,8.995111524866559,25.401409149169922,42.25059127807617
