,"('V_CO', 'day')","('V_CO', 'night')","('V_MO1', 'day')","('V_MO1', 'night')","('V_MO2', 'day')","('V_MO2', 'night')","('V_MO3', 'day')","('V_MO3', 'night')","('V_MO4', 'day')","('V_MO4', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.7581,0.4561,0.3997,0.4849,0.5513,0.1508,207138.0943,14782.7012,0.413
1,0,0,0,0,0,0,0,0,0,1,0.7595,0.5608,0.4037,0.4946,0.5591,0.1916,178953.751,14853.541,0.4193
2,0,0,0,0,0,0,0,0,1,0,0.7653,0.4847,0.4088,0.4983,0.5694,0.1758,201686.8064,14801.2285,0.4292
3,0,0,0,0,0,0,0,0,1,1,0.7593,0.4544,0.4052,0.4929,0.5643,0.1603,209168.9415,14847.209,0.4237
4,0,0,0,0,0,0,0,1,0,0,0.7583,0.5491,0.3989,0.4874,0.5491,0.1793,180336.0971,14826.9707,0.4155
5,0,0,0,0,0,0,0,1,0,1,0.7557,0.5372,0.3996,0.4877,0.5502,0.1818,184459.8785,14860.2021,0.4161
6,0,0,0,0,0,0,0,1,1,0,0.7573,0.4977,0.3992,0.4889,0.5538,0.1768,201092.1714,14856.002,0.4158
7,0,0,0,0,0,0,0,1,1,1,0.7569,0.5291,0.403,0.4898,0.5586,0.1881,185235.9406,14865.1172,0.4151
8,0,0,0,0,0,0,1,0,0,0,0.7552,0.4635,0.4006,0.4838,0.5563,0.1761,214306.9525,14790.2812,0.4108
9,0,0,0,0,0,0,1,0,0,1,0.752,0.5217,0.3979,0.4802,0.5495,0.1793,189862.6802,14831.3223,0.4056
10,0,0,0,0,0,0,1,0,1,0,0.7636,0.4614,0.4054,0.498,0.5674,0.1553,205783.6194,14822.6367,0.4298
11,0,0,0,0,0,0,1,0,1,1,0.7568,0.5026,0.402,0.4886,0.5578,0.1874,194935.6605,14820.2695,0.4154
12,0,0,0,0,0,0,1,1,0,0,0.7572,0.5393,0.4006,0.4893,0.5582,0.1902,182664.9236,14846.8594,0.4123
13,0,0,0,0,0,0,1,1,0,1,0.757,0.5414,0.3997,0.4873,0.5549,0.1955,182935.7779,14864.1045,0.4146
14,0,0,0,0,0,0,1,1,1,0,0.7569,0.3399,0.4006,0.4869,0.5585,0.142,240082.9369,14847.8555,0.4199
15,0,0,0,0,0,0,1,1,1,1,0.7546,0.4995,0.3996,0.4851,0.5554,0.1684,193899.548,14864.1152,0.4131
16,0,0,0,0,0,1,0,0,0,0,0.7733,0.4375,0.412,0.4955,0.5865,0.1708,213249.5829,14770.9766,0.4333
17,0,0,0,0,0,1,0,0,0,1,0.7762,0.5305,0.399,0.5056,0.5887,0.1923,185096.7138,15016.5459,0.4388
18,0,0,0,0,0,1,0,0,1,0,0.772,0.5417,0.4109,0.4922,0.5872,0.1976,185323.9992,14756.8359,0.4249
19,0,0,0,0,0,1,0,0,1,1,0.774,0.4695,0.3991,0.5022,0.5901,0.1652,202687.6658,15004.0166,0.4364
20,0,0,0,0,0,1,0,1,0,0,0.7783,0.5407,0.3973,0.511,0.5908,0.1796,182859.252,15038.7002,0.4534
21,0,0,0,0,0,1,0,1,0,1,0.7796,0.5608,0.3944,0.5132,0.5903,0.2103,179164.2258,15071.2207,0.4474
22,0,0,0,0,0,1,0,1,1,0,0.7736,0.5541,0.3932,0.5018,0.586,0.212,179394.7023,15017.9834,0.4392
23,0,0,0,0,0,1,0,1,1,1,0.7742,0.3762,0.3937,0.5059,0.59,0.131,231069.546,15072.9873,0.4404
24,0,0,0,0,0,1,1,0,0,0,0.7692,0.4706,0.4091,0.4886,0.5836,0.1663,210505.702,14762.5596,0.4246
25,0,0,0,0,0,1,1,0,0,1,0.7766,0.4498,0.3971,0.5068,0.5911,0.1638,215147.1914,15020.2158,0.4506
26,0,0,0,0,0,1,1,0,1,0,0.7727,0.49,0.4111,0.4966,0.5893,0.1712,197543.6499,14769.7822,0.437
27,0,0,0,0,0,1,1,0,1,1,0.7742,0.4819,0.3976,0.5044,0.5921,0.168,204140.4995,15014.8281,0.4394
28,0,0,0,0,0,1,1,1,0,0,0.7816,0.49,0.3986,0.5135,0.5989,0.1751,202457.4878,15027.5635,0.4636
29,0,0,0,0,0,1,1,1,0,1,0.7787,0.535,0.3928,0.51,0.5919,0.1892,185124.2629,15075.1934,0.4489
30,0,0,0,0,0,1,1,1,1,0,0.7757,0.5403,0.3931,0.5074,0.5904,0.1761,184487.4632,15038.6152,0.4468
31,0,0,0,0,0,1,1,1,1,1,0.778,0.5555,0.3946,0.5118,0.5937,0.2395,178659.5872,15084.8008,0.4472
32,0,0,0,0,1,0,0,0,0,0,0.8323,0.5727,0.3716,0.6,0.627,0.1899,172873.7937,14785.9355,0.6014
33,0,0,0,0,1,0,0,0,0,1,0.8299,0.5925,0.3669,0.5967,0.6198,0.2092,167008.4631,14839.0791,0.5957
34,0,0,0,0,1,0,0,0,1,0,0.8371,0.5879,0.3683,0.6074,0.6347,0.2247,166625.9416,14787.8379,0.5909
35,0,0,0,0,1,0,0,0,1,1,0.8333,0.577,0.3653,0.6021,0.629,0.2001,171729.2568,14829.0439,0.5837
36,0,0,0,0,1,0,0,1,0,0,0.8295,0.572,0.3674,0.5989,0.6211,0.1892,171850.7293,14885.4873,0.5983
37,0,0,0,0,1,0,0,1,0,1,0.8271,0.5717,0.3656,0.5951,0.6172,0.2071,174231.7449,14857.6162,0.5913
38,0,0,0,0,1,0,0,1,1,0,0.8347,0.4674,0.3658,0.6086,0.6324,0.1574,194171.5102,14851.2852,0.5959
39,0,0,0,0,1,0,0,1,1,1,0.8352,0.6213,0.3661,0.6082,0.6319,0.2533,157491.2418,14870.7393,0.5912
40,0,0,0,0,1,0,1,0,0,0,0.8378,0.5724,0.3678,0.6034,0.6318,0.1941,169921.7546,14788.041,0.5959
41,0,0,0,0,1,0,1,0,0,1,0.832,0.3501,0.3659,0.5979,0.6261,0.1374,230213.4027,14820.3086,0.5968
42,0,0,0,0,1,0,1,0,1,0,0.8379,0.5678,0.3676,0.6065,0.634,0.1828,171649.1877,14791.6348,0.59
43,0,0,0,0,1,0,1,0,1,1,0.8361,0.522,0.3668,0.6068,0.6333,0.1828,190879.6799,14830.2246,0.5891
44,0,0,0,0,1,0,1,1,0,0,0.8352,0.5146,0.3667,0.6033,0.6291,0.1613,187550.2636,14855.2549,0.5945
45,0,0,0,0,1,0,1,1,0,1,0.8347,0.3385,0.3647,0.6043,0.6303,0.1331,243024.5451,14870.167,0.6014
46,0,0,0,0,1,0,1,1,1,0,0.8329,0.4248,0.3653,0.6034,0.6299,0.1423,218510.7595,14856.3906,0.5854
47,0,0,0,0,1,0,1,1,1,1,0.8324,0.5872,0.3644,0.6012,0.6281,0.2564,169118.012,14846.8711,0.5769
48,0,0,0,0,1,1,0,0,0,0,0.8446,0.6717,0.3832,0.6066,0.651,0.2272,140295.3406,14761.5264,0.6039
49,0,0,0,0,1,1,0,0,0,1,0.8476,0.6643,0.3734,0.6169,0.6551,0.2385,143210.6203,15026.291,0.6143
50,0,0,0,0,1,1,0,0,1,0,0.8509,0.5481,0.3782,0.6182,0.6652,0.1828,175440.3615,14793.0527,0.6077
51,0,0,0,0,1,1,0,0,1,1,0.8526,0.3825,0.3708,0.6236,0.6674,0.1603,216101.6552,15023.3818,0.616
52,0,0,0,0,1,1,0,1,0,0,0.8468,0.6552,0.3697,0.6159,0.6547,0.2244,148456.9435,15021.3008,0.6136
53,0,0,0,0,1,1,0,1,0,1,0.8454,0.2843,0.3654,0.6196,0.6511,0.1543,233450.7854,15084.9258,0.616
54,0,0,0,0,1,1,0,1,1,0,0.8568,0.6502,0.3702,0.6284,0.6695,0.2561,149025.0868,15032.875,0.615
55,0,0,0,0,1,1,0,1,1,1,0.8531,0.6545,0.3632,0.6268,0.6596,0.2515,146587.809,15100.7295,0.6135
56,0,0,0,0,1,1,1,0,0,0,0.8496,0.311,0.3804,0.6141,0.6631,0.1631,236523.1421,14757.1025,0.6141
57,0,0,0,0,1,1,1,0,0,1,0.8552,0.5675,0.3712,0.6262,0.6676,0.1807,170028.6612,15026.1914,0.6201
58,0,0,0,0,1,1,1,0,1,0,0.8522,0.6009,0.3781,0.6153,0.6669,0.2198,160537.9952,14769.3477,0.602
59,0,0,0,0,1,1,1,0,1,1,0.8521,0.6083,0.369,0.6191,0.6634,0.2339,161717.7835,15013.9473,0.6027
60,0,0,0,0,1,1,1,1,0,0,0.8547,0.5893,0.3682,0.6265,0.6651,0.1976,168419.0823,15039.5117,0.6197
61,0,0,0,0,1,1,1,1,0,1,0.8502,0.1166,0.3617,0.6196,0.6569,0.1106,290037.8098,15103.3408,0.6187
62,0,0,0,0,1,1,1,1,1,0,0.8551,0.6023,0.3668,0.626,0.6656,0.2152,162080.5767,15042.5078,0.6098
63,0,0,0,0,1,1,1,1,1,1,0.8536,0.118,0.3632,0.6314,0.6629,0.1127,288839.5746,15131.6367,0.6151
64,0,0,0,1,0,0,0,0,0,0,0.76,0.546,0.4027,0.4921,0.5564,0.181,183862.5057,14867.8496,0.4184
65,0,0,0,1,0,0,0,0,0,1,0.7566,0.1648,0.4025,0.4879,0.5565,0.1233,270893.7426,14867.9336,0.4181
66,0,0,0,1,0,0,0,0,1,0,0.7547,0.5347,0.4021,0.4878,0.5559,0.1877,185831.4246,14870.2314,0.4055
67,0,0,0,1,0,0,0,0,1,1,0.7533,0.4945,0.402,0.484,0.5566,0.187,198202.4286,14837.5234,0.4058
68,0,0,0,1,0,0,0,1,0,0,0.7561,0.5467,0.3989,0.4871,0.5499,0.187,183789.98,14870.876,0.413
