,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8592,0.5646,0.3468,0.6884,0.6118,0.2184,145429.9609,14503.8496,0.626
1,0,0,0,0,0,0,0,1,0.8661,0.5992,0.3459,0.6895,0.633,0.2152,141211.7874,14368.7334,0.6784
2,0,0,0,0,0,0,1,0,0.9131,0.6407,0.3686,0.7215,0.7589,0.2216,131679.9496,15017.1357,0.7516
3,0,0,0,0,0,0,1,1,0.9155,0.6576,0.3737,0.7287,0.7685,0.2275,129385.8375,14648.877,0.7457
4,0,0,0,0,0,1,0,0,0.8682,0.5277,0.3554,0.6961,0.6381,0.1948,157438.5477,14492.0469,0.6517
5,0,0,0,0,0,1,0,1,0.8657,0.6009,0.3314,0.6829,0.6351,0.2128,142290.0526,14665.0,0.6809
6,0,0,0,0,0,1,1,0,0.9153,0.6358,0.37,0.7245,0.7639,0.2046,134599.9678,15017.1475,0.7499
7,0,0,0,0,0,1,1,1,0.9149,0.6523,0.3581,0.7254,0.7639,0.2233,130642.6832,14963.9736,0.7399
8,0,0,0,0,1,0,0,0,0.9118,0.6108,0.3683,0.7449,0.7089,0.1916,147512.7885,14498.7568,0.7729
9,0,0,0,0,1,0,0,1,0.9102,0.6386,0.3629,0.732,0.7202,0.2068,140896.0819,14450.6846,0.7629
10,0,0,0,0,1,0,1,0,0.9197,0.6418,0.3728,0.7329,0.7739,0.2184,139619.9797,14992.6885,0.7491
11,0,0,0,0,1,0,1,1,0.9212,0.7732,0.3764,0.7387,0.7785,0.5389,97339.6797,14710.5459,0.7537
12,0,0,0,0,1,1,0,0,0.9182,0.6703,0.3742,0.746,0.7281,0.2166,133647.3973,14480.6904,0.7704
13,0,0,0,0,1,1,0,1,0.9114,0.6742,0.3552,0.7288,0.7254,0.2187,132750.4563,14707.54,0.7573
14,0,0,0,0,1,1,1,0,0.9232,0.7531,0.3769,0.737,0.7819,0.4921,108594.3422,15021.1533,0.7521
15,0,0,0,0,1,1,1,1,0.9087,0.7732,0.3478,0.7121,0.7527,0.5379,97538.77,15056.1875,0.7155
16,0,0,0,1,0,0,0,0,0.8622,0.5974,0.3469,0.6907,0.6147,0.2194,139387.9592,14647.4766,0.632
17,0,0,0,1,0,0,0,1,0.871,0.5992,0.3481,0.7029,0.6405,0.2156,141006.4872,14773.6191,0.6911
18,0,0,0,1,0,0,1,0,0.9208,0.6407,0.3757,0.7315,0.773,0.2212,131716.5684,15366.3232,0.7601
19,0,0,0,1,0,0,1,1,0.915,0.6587,0.3711,0.7257,0.7668,0.2279,129132.0108,15075.2402,0.7417
20,0,0,0,1,0,1,0,0,0.8722,0.5928,0.3554,0.6975,0.6407,0.2029,144963.61,14624.1074,0.6553
21,0,0,0,1,0,1,0,1,0.8703,0.6023,0.3325,0.6944,0.6384,0.2135,141947.6009,15053.0293,0.6882
22,0,0,0,1,0,1,1,0,0.9213,0.6277,0.3763,0.7311,0.7741,0.2025,138651.5484,15348.8232,0.759
23,0,0,0,1,0,1,1,1,0.9144,0.6601,0.3535,0.7218,0.7611,0.2275,129004.0446,15411.3984,0.7339
24,0,0,0,1,1,0,0,0,0.9138,0.6122,0.3681,0.7442,0.7121,0.1916,147076.6415,14631.1943,0.7733
25,0,0,0,1,1,0,0,1,0.9121,0.6383,0.362,0.7358,0.7227,0.2064,140957.7987,14811.4033,0.7673
26,0,0,0,1,1,0,1,0,0.9199,0.6379,0.3698,0.731,0.7726,0.2187,141112.8296,15367.5312,0.7469
27,0,0,0,1,1,0,1,1,0.9218,0.7732,0.3738,0.7387,0.7781,0.5389,97293.7582,15140.0791,0.7541
28,0,0,0,1,1,1,0,0,0.9209,0.6703,0.3739,0.7462,0.7296,0.2166,133665.0402,14584.1143,0.7721
29,0,0,0,1,1,1,0,1,0.9116,0.6742,0.3495,0.7311,0.7212,0.2187,132759.7591,15093.2812,0.76
30,0,0,0,1,1,1,1,0,0.9227,0.7319,0.3722,0.7351,0.7782,0.3565,113845.2538,15349.6582,0.7503
31,0,0,0,1,1,1,1,1,0.916,0.7732,0.3533,0.7267,0.763,0.5382,97428.587,15488.9189,0.737
32,0,0,1,0,0,0,0,0,0.8599,0.6058,0.3463,0.6889,0.6123,0.2198,138007.2724,14590.168,0.6224
33,0,0,1,0,0,0,0,1,0.867,0.5992,0.3445,0.6917,0.6336,0.2152,141183.6479,14622.0947,0.681
34,0,0,1,0,0,0,1,0,0.9144,0.639,0.3635,0.7164,0.7582,0.2216,132242.7272,15854.5342,0.7455
35,0,0,1,0,0,0,1,1,0.9164,0.6534,0.3647,0.7271,0.7646,0.2237,130361.072,15593.2881,0.7456
36,0,0,1,0,0,1,0,0,0.8687,0.5977,0.3543,0.6966,0.6377,0.2043,142739.7461,14586.8281,0.6527
37,0,0,1,0,0,1,0,1,0.8639,0.5921,0.3269,0.6772,0.6298,0.2099,144303.8192,14940.9326,0.671
38,0,0,1,0,0,1,1,0,0.9164,0.6407,0.3643,0.7232,0.7612,0.2216,131618.8924,15776.498,0.7522
39,0,0,1,0,0,1,1,1,0.9136,0.653,0.3472,0.7196,0.7564,0.2233,130457.0399,15849.3691,0.7344
40,0,0,1,0,1,0,0,0,0.9161,0.6115,0.3635,0.744,0.7026,0.1916,147159.3877,14585.5283,0.7757
41,0,0,1,0,1,0,0,1,0.917,0.6383,0.3612,0.7401,0.7201,0.2061,140982.3213,14686.9844,0.7767
42,0,0,1,0,1,0,1,0,0.92,0.6594,0.3622,0.7283,0.771,0.2226,131541.9016,15832.8584,0.7429
43,0,0,1,0,1,0,1,1,0.9216,0.7143,0.3626,0.7369,0.7714,0.286,116244.9848,15711.4473,0.7521
