,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8842,0.6449,0.3468,0.6599,0.6995,0.2578,146122.2454,14910.6758,0.6757
1,0,0,0,0,0,0,0,1,0.8836,0.565,0.3411,0.6611,0.7025,0.2265,174938.6539,15021.1924,0.6735
2,0,0,0,0,0,0,1,0,0.8896,0.7041,0.3397,0.6778,0.7122,0.4431,127039.0817,15154.5742,0.6784
3,0,0,0,0,0,0,1,1,0.8894,0.6685,0.332,0.6814,0.7107,0.4276,140402.301,15295.9766,0.6818
4,0,0,0,0,0,1,0,0,0.8876,0.6752,0.3435,0.6664,0.709,0.3237,136854.6077,15049.084,0.6764
5,0,0,0,0,0,1,0,1,0.883,0.5428,0.3395,0.6602,0.7006,0.2353,180048.9456,15021.29,0.6742
6,0,0,0,0,0,1,1,0,0.8884,0.6879,0.3332,0.6772,0.7086,0.3061,133682.7559,15294.0723,0.6766
7,0,0,0,0,0,1,1,1,0.8898,0.7115,0.3336,0.681,0.7101,0.3149,126521.4397,15295.0566,0.6805
8,0,0,0,0,1,0,0,0,0.8872,0.6302,0.337,0.6748,0.7079,0.4125,155557.0154,15095.1328,0.6741
9,0,0,0,0,1,0,0,1,0.8904,0.6985,0.3335,0.683,0.7094,0.4262,126356.2506,15242.7314,0.684
10,0,0,0,0,1,0,1,0,0.8873,0.7309,0.338,0.6745,0.7068,0.4614,116159.8928,15110.7988,0.6742
11,0,0,0,0,1,0,1,1,0.8866,0.7365,0.3313,0.6744,0.7042,0.4593,114944.9112,15228.6025,0.6734
12,0,0,0,0,1,1,0,0,0.8894,0.6879,0.3326,0.6799,0.7089,0.4442,134624.2643,15240.8555,0.68
13,0,0,0,0,1,1,0,1,0.8894,0.6608,0.3321,0.6804,0.7075,0.2684,140937.1295,15223.9082,0.6815
14,0,0,0,0,1,1,1,0,0.8879,0.7573,0.3322,0.6767,0.7061,0.4826,108186.4174,15231.4941,0.6756
15,0,0,0,0,1,1,1,1,0.8863,0.7168,0.3313,0.6741,0.7038,0.4378,122629.8813,15223.0059,0.6733
16,0,0,0,1,0,0,0,0,0.8832,0.5833,0.341,0.6609,0.7033,0.2135,169535.724,15046.2734,0.6751
17,0,0,0,1,0,0,0,1,0.8826,0.6094,0.3415,0.6625,0.7018,0.2367,158092.3538,15016.6504,0.6782
18,0,0,0,1,0,0,1,0,0.8836,0.5868,0.3312,0.6726,0.7043,0.3008,167305.232,15296.8848,0.6742
19,0,0,0,1,0,0,1,1,0.8859,0.6823,0.332,0.6768,0.7054,0.3057,135090.6335,15296.0303,0.6773
20,0,0,0,1,0,1,0,0,0.8801,0.2311,0.3402,0.6623,0.7004,0.1434,247661.8774,15040.6768,0.6784
21,0,0,0,1,0,1,0,1,0.8817,0.5851,0.3396,0.6603,0.6995,0.2029,158605.0486,15034.8086,0.6771
22,0,0,0,1,0,1,1,0,0.889,0.6647,0.3353,0.6844,0.7129,0.3825,142318.8916,15315.9883,0.6837
23,0,0,0,1,0,1,1,1,0.8887,0.7126,0.3338,0.6826,0.7108,0.3255,126313.4157,15295.79,0.6813
24,0,0,0,1,1,0,0,0,0.8888,0.7112,0.3342,0.6831,0.7101,0.4593,123864.1603,15240.0293,0.6829
25,0,0,0,1,1,0,0,1,0.8887,0.6611,0.3333,0.6826,0.7087,0.279,142588.4111,15241.8477,0.6823
26,0,0,0,1,1,0,1,0,0.8851,0.6809,0.3322,0.6751,0.7049,0.4089,135141.4219,15240.0293,0.6741
27,0,0,0,1,1,0,1,1,0.8849,0.7034,0.3318,0.6751,0.7043,0.4311,125768.3354,15240.1318,0.6738
28,0,0,0,1,1,1,0,0,0.8876,0.6622,0.3329,0.6798,0.707,0.2187,138983.4971,15242.7266,0.6811
29,0,0,0,1,1,1,0,1,0.8882,0.7246,0.3327,0.6828,0.7097,0.4787,121864.246,15241.4629,0.6816
