,"('V_TR', 'day')","('V_TR', 'night')","('CV8', 'day')","('CV8', 'night')","('CV3', 'day')","('CV3', 'night')","('CV12', 'day')","('CV12', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.93,0.7094,0.2903,0.8258,0.7746,0.3695,93945.0543,14943.3584,0.7728
1,0,0,0,0,0,0,0,1,0.9328,0.7013,0.2921,0.8256,0.7823,0.3674,94814.8731,14956.2871,0.7727
2,0,0,0,0,0,0,1,0,0.9532,0.7439,0.284,0.8431,0.7819,0.3579,93223.7314,14887.6865,0.8431
3,0,0,0,0,0,0,1,1,0.9607,0.7725,0.2893,0.8424,0.803,0.3607,86023.6893,14716.1953,0.8427
4,0,0,0,0,0,1,0,0,0.9263,0.6661,0.2817,0.8115,0.7696,0.2966,112961.4767,15144.2773,0.7874
5,0,0,0,0,0,1,0,1,0.9291,0.6791,0.2743,0.8108,0.7741,0.2966,109428.0896,15400.9434,0.792
6,0,0,0,0,0,1,1,0,0.9544,0.72,0.2802,0.8342,0.7969,0.2892,108516.6855,15138.4443,0.8532
7,0,0,0,0,0,1,1,1,0.9571,0.7644,0.2724,0.835,0.8034,0.3191,95410.0329,15367.9492,0.851
8,0,0,0,0,1,0,0,0,0.9612,0.7105,0.2814,0.8422,0.8524,0.2948,104371.6537,16684.4023,0.8782
9,0,0,0,0,1,0,0,1,0.9624,0.7066,0.283,0.8419,0.8565,0.2927,104940.2761,16765.957,0.8795
10,0,0,0,0,1,0,1,0,0.9648,0.733,0.2815,0.8449,0.8591,0.3064,99072.4373,16816.1211,0.8729
11,0,0,0,0,1,0,1,1,0.9667,0.8235,0.2831,0.8475,0.8635,0.5336,83746.0565,16730.2422,0.8749
12,0,0,0,0,1,1,0,0,0.9564,0.7038,0.2807,0.8288,0.848,0.2941,106406.5538,16665.5,0.8566
13,0,0,0,0,1,1,0,1,0.9561,0.7059,0.2709,0.825,0.8442,0.2927,106103.0139,16974.8379,0.8526
14,0,0,0,0,1,1,1,0,0.9573,0.7654,0.2763,0.8293,0.8474,0.3315,91592.6288,16738.4004,0.8512
15,0,0,0,0,1,1,1,1,0.9579,0.8647,0.2699,0.8259,0.8473,0.6238,62302.1038,17022.1758,0.8461
16,0,0,0,1,0,0,0,0,0.9269,0.7119,0.2889,0.821,0.7683,0.3709,92717.6297,14943.3623,0.7594
17,0,0,0,1,0,0,0,1,0.9276,0.6992,0.2901,0.8188,0.7729,0.366,95585.0919,14939.1445,0.7544
