,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8577,0.8246,0.2038,0.6745,0.7823,0.6488,83478.0919,17229.459,0.6843
1,0,0,0,0,0,0,0,1,0.8804,0.8242,0.2067,0.6861,0.7915,0.6481,83552.7366,17290.4473,0.6956
2,0,0,0,0,0,0,1,0,0.8901,0.6756,0.2015,0.738,0.7813,0.5403,136951.0659,16940.5293,0.7444
3,0,0,0,0,0,0,1,1,0.9134,0.8686,0.2054,0.7539,0.7906,0.6383,62307.5338,16948.0469,0.7553
4,0,0,0,0,0,1,0,0,0.8824,0.8242,0.207,0.6878,0.7937,0.6485,83549.4359,17291.0938,0.697
5,0,0,0,0,0,1,0,1,0.8806,0.8242,0.2064,0.6856,0.7917,0.6481,83553.5022,17291.5039,0.6948
6,0,0,0,0,0,1,1,0,0.9158,0.8686,0.2059,0.7555,0.7935,0.6383,62298.1654,16948.6953,0.7566
7,0,0,0,0,0,1,1,1,0.9144,0.8665,0.205,0.755,0.7914,0.6375,63208.088,16931.9395,0.756
8,0,0,0,0,1,0,0,0,0.8923,0.8221,0.2007,0.7425,0.7804,0.6323,85424.0449,16928.1465,0.7465
9,0,0,0,0,1,0,0,1,0.9143,0.8679,0.2046,0.757,0.7888,0.6351,62353.9198,17020.8477,0.7564
10,0,0,0,0,1,0,1,0,0.8943,0.8211,0.2007,0.7484,0.7806,0.627,85622.5423,16838.4277,0.7516
11,0,0,0,0,1,0,1,1,0.9158,0.8707,0.2042,0.7623,0.7886,0.633,60537.8342,16896.8535,0.7607
12,0,0,0,0,1,1,0,0,0.9166,0.8679,0.205,0.7587,0.7916,0.6351,62385.5212,17000.3359,0.7578
13,0,0,0,0,1,1,0,1,0.9155,0.8679,0.2044,0.7583,0.7897,0.6351,62386.4357,17017.8711,0.7574
14,0,0,0,0,1,1,1,0,0.9178,0.87,0.2043,0.7639,0.7907,0.633,60600.7304,16897.709,0.7617
15,0,0,0,0,1,1,1,1,0.9165,0.8707,0.2035,0.7634,0.7887,0.633,60536.9154,16898.0996,0.7613
16,0,0,0,1,0,0,0,0,0.8808,0.8242,0.2065,0.6853,0.7925,0.6485,83537.5264,17291.3555,0.6944
17,0,0,0,1,0,0,0,1,0.8804,0.8242,0.206,0.6856,0.7913,0.6481,83552.2607,17291.6387,0.6947
18,0,0,0,1,0,0,1,0,0.9145,0.8683,0.2053,0.7536,0.7928,0.6383,62388.1532,16948.9434,0.7547
19,0,0,0,1,0,0,1,1,0.9141,0.8686,0.2047,0.7547,0.791,0.6383,62306.6294,16949.2031,0.7557
20,0,0,0,1,0,1,0,0,0.8841,0.8242,0.2072,0.6897,0.7953,0.6485,83549.4151,17291.4785,0.6988
21,0,0,0,1,0,1,0,1,0.8799,0.8242,0.206,0.6857,0.7913,0.6481,83552.4259,17291.9551,0.6946
22,0,0,0,1,0,1,1,0,0.9159,0.8686,0.2058,0.7559,0.7939,0.6383,62297.3462,16949.0625,0.7568
23,0,0,0,1,0,1,1,1,0.9148,0.8686,0.2049,0.7552,0.792,0.6379,62309.0332,16932.3398,0.7562
24,0,0,0,1,1,0,0,0,0.9156,0.8676,0.2045,0.7569,0.791,0.6361,62371.654,17024.5234,0.756
25,0,0,0,1,1,0,0,1,0.9152,0.8669,0.2039,0.7581,0.7893,0.6344,62765.5924,16988.3105,0.7571
26,0,0,0,1,1,0,1,0,0.9168,0.8679,0.2039,0.7621,0.7903,0.6326,62215.3304,16897.9609,0.7601
27,0,0,0,1,1,0,1,1,0.9163,0.8707,0.2032,0.7633,0.7884,0.633,60536.3066,16898.2148,0.7611
28,0,0,0,1,1,1,0,0,0.9165,0.8669,0.2046,0.7589,0.7913,0.6347,63012.9682,17000.9297,0.7577
29,0,0,0,1,1,1,0,1,0.9154,0.8676,0.2037,0.7584,0.7894,0.6344,62391.8324,17018.5,0.7572
30,0,0,0,1,1,1,1,0,0.9182,0.8704,0.2042,0.7645,0.7914,0.633,60518.2462,16902.1113,0.7622
31,0,0,0,1,1,1,1,1,0.9167,0.8707,0.2033,0.7637,0.789,0.633,60547.3508,16898.5,0.7614
32,0,0,1,0,0,0,0,0,0.8853,0.7872,0.2012,0.7225,0.7792,0.5932,100481.2068,17231.0703,0.7289
33,0,0,1,0,0,0,0,1,0.9079,0.8482,0.2048,0.7376,0.7881,0.6386,70940.2072,17293.7949,0.7406
34,0,0,1,0,0,0,1,0,0.8931,0.8221,0.2006,0.7453,0.7802,0.6302,85461.8285,16832.1133,0.749
35,0,0,1,0,0,0,1,1,0.915,0.8697,0.2043,0.7596,0.7884,0.6337,61229.691,16896.7793,0.7585
36,0,0,1,0,0,1,0,0,0.9099,0.788,0.205,0.7383,0.7911,0.5847,96943.1676,17240.1699,0.7417
37,0,0,1,0,0,1,0,1,0.9086,0.7992,0.2046,0.7377,0.7888,0.5921,94024.0849,17291.9961,0.7409
38,0,0,1,0,0,1,1,0,0.9169,0.8697,0.2044,0.7611,0.7903,0.634,61227.857,16897.6719,0.7595
39,0,0,1,0,0,1,1,1,0.9157,0.8697,0.2036,0.7607,0.7885,0.6337,61234.3142,16898.041,0.7591
