,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
all_closed,0.9291,0.7904,0.3324,0.7543,0.7706,0.3385,93633.8193,16775.0781,0.7722,8.999809658038327,25.729814529418945,42.49555969238281
"(('V_CO', 'night'),)",0.9025,0.751,0.3284,0.7038,0.6972,0.2416,103074.8333,16947.875,0.7107,8.987840488546585,24.00605010986328,38.99573516845703
"(('V_CO', 'morning'),)",0.9105,0.7725,0.3167,0.7324,0.736,0.3353,100799.5357,16890.6543,0.7417,8.952646415111763,24.98212432861328,40.87810516357422
"(('V_MO1', 'night'),)",0.9275,0.789,0.3314,0.7495,0.7691,0.3381,93619.2444,16772.9883,0.7645,8.996584371865413,25.56620979309082,42.49637985229492
"(('V_MO1', 'morning'),)",0.9273,0.7904,0.3312,0.7496,0.7683,0.3385,93566.9161,16770.9453,0.7651,8.99530131613434,25.570507049560547,42.48411560058594
"(('V_MO2', 'night'),)",0.9125,0.7027,0.3378,0.7188,0.7606,0.3012,124752.487,16751.9258,0.7348,8.998619838022364,24.51892852783203,41.69647216796875
"(('V_MO2', 'morning'),)",0.9235,0.7429,0.3272,0.7484,0.7601,0.3223,111823.6453,16770.6836,0.7656,8.98396887250578,25.529075622558594,42.22970199584961
"(('V_MO3', 'night'),)",0.9293,0.7894,0.3329,0.7536,0.7729,0.3389,93686.0453,16772.1797,0.7692,8.986470047849682,25.70516586303711,42.51348114013672
"(('V_MO3', 'morning'),)",0.9283,0.7894,0.3322,0.7496,0.77,0.3389,93602.7271,16775.334,0.7649,8.998333495687778,25.567703247070312,42.508182525634766
"(('V_MO4', 'night'),)",0.9285,0.7224,0.3305,0.7504,0.7697,0.3149,123716.6937,16792.0293,0.7667,8.994157373522064,25.595890045166016,42.556968688964844
"(('V_MO4', 'morning'),)",0.9286,0.7894,0.3319,0.7513,0.7706,0.3392,93540.524,16764.5,0.7674,8.995682660432076,25.626869201660156,42.50118637084961
"(('V_CO', 'night'), ('V_CO', 'morning'))",0.929,0.7753,0.3294,0.7517,0.7734,0.3378,99527.5381,16692.3145,0.767,8.973866063228009,25.63943099975586,43.04951095581055
"(('V_CO', 'night'), ('V_MO1', 'night'))",0.9022,0.7464,0.3285,0.7044,0.6979,0.2392,103872.1245,16948.0273,0.7113,8.988141292593035,24.025583267211914,38.98711395263672
"(('V_CO', 'night'), ('V_MO1', 'morning'))",0.9023,0.7474,0.3288,0.7034,0.6972,0.2413,103477.8392,16944.7188,0.7094,8.98904370473239,23.99224090576172,38.98017883300781
"(('V_CO', 'night'), ('V_MO2', 'night'))",0.8401,0.5195,0.3605,0.5912,0.6024,0.1539,165193.6647,16927.9844,0.5617,9.0,20.165990829467773,31.947500228881836
"(('V_CO', 'night'), ('V_MO2', 'morning'))",0.8939,0.6738,0.3217,0.6926,0.6824,0.2106,131839.8636,16956.0215,0.6983,8.967686617434337,23.625823974609375,38.70935821533203
"(('V_CO', 'night'), ('V_MO3', 'night'))",0.9016,0.746,0.3273,0.7025,0.6948,0.2399,103927.001,16939.0527,0.7087,8.984531644035618,23.963584899902344,38.991859436035156
"(('V_CO', 'night'), ('V_MO3', 'morning'))",0.9028,0.7453,0.3288,0.703,0.6979,0.2395,103997.1787,16949.1758,0.7097,8.98904370473239,23.977981567382812,39.011714935302734
"(('V_CO', 'night'), ('V_MO4', 'night'))",0.9023,0.7422,0.3295,0.7057,0.6974,0.2395,105062.4736,16950.6016,0.7131,8.99114933305755,24.072614669799805,38.92314147949219
"(('V_CO', 'night'), ('V_MO4', 'morning'))",0.9045,0.7619,0.3282,0.7084,0.7021,0.2769,99726.6664,16947.0957,0.7127,8.987238880453681,24.16322135925293,39.02010726928711
"(('V_CO', 'morning'), ('V_MO1', 'night'))",0.9091,0.7725,0.315,0.7287,0.7334,0.3346,100872.2052,16900.9844,0.7364,8.94753274632209,24.854904174804688,40.88523483276367
"(('V_CO', 'morning'), ('V_MO1', 'morning'))",0.9076,0.7728,0.3143,0.7227,0.7327,0.3353,100738.1726,16889.3652,0.7269,8.945427117996928,24.65258026123047,40.86628723144531
"(('V_CO', 'morning'), ('V_MO2', 'night'))",0.8938,0.6805,0.3248,0.6944,0.7298,0.2899,133465.7741,16897.291,0.7013,8.977011542874331,23.685422897338867,40.09775161743164
"(('V_CO', 'morning'), ('V_MO2', 'morning'))",0.8832,0.4498,0.309,0.7057,0.6854,0.1141,208231.7818,17134.5039,0.7236,8.929484503535,24.07243537902832,38.31551742553711
"(('V_CO', 'morning'), ('V_MO3', 'night'))",0.9085,0.7732,0.3137,0.7287,0.7329,0.3353,100814.0185,16903.6758,0.7364,8.94362229371822,24.85523223876953,40.92299270629883
"(('V_CO', 'morning'), ('V_MO3', 'morning'))",0.9083,0.7721,0.3136,0.7264,0.7321,0.335,100813.4104,16902.4004,0.7327,8.943321489671769,24.778324127197266,40.90342712402344
"(('V_CO', 'morning'), ('V_MO4', 'night'))",0.9094,0.7742,0.3121,0.7307,0.732,0.336,100111.3201,16905.4766,0.7399,8.938809428974997,24.92535400390625,40.92188262939453
"(('V_CO', 'morning'), ('V_MO4', 'morning'))",0.909,0.7728,0.3165,0.7249,0.7345,0.3353,100708.9662,16890.0938,0.7311,8.952044807018861,24.72646713256836,40.818336486816406
