,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.4252,0.1476,0.6155,0.2507,0.2184,0.1064,276444.7779,2588.552,-0.1294
1,0,0,0,0,0,0,0,1,0.3969,0.0754,0.5821,0.2342,0.191,0.0715,304222.8237,54.1994,-0.161
2,0,0,0,0,0,0,1,0,0.4069,0.1275,0.5915,0.2416,0.198,0.0782,287540.5126,331.7204,-0.143
3,0,0,0,0,0,0,1,1,0.4084,0.1233,0.6007,0.2459,0.1968,0.0803,290341.7966,54.1994,-0.1446
4,0,0,0,0,0,1,0,0,0.4138,0.0807,0.595,0.2431,0.1961,0.074,302188.8131,73.1907,-0.1346
5,0,0,0,0,0,1,0,1,0.4026,0.1243,0.5989,0.2388,0.1931,0.0814,285671.354,92.0995,-0.1602
6,0,0,0,0,0,1,1,0,0.4115,0.1159,0.6011,0.2424,0.1957,0.0789,290814.5984,86.52,-0.1313
7,0,0,0,0,0,1,1,1,0.4129,0.0831,0.6,0.2442,0.1977,0.0733,299155.2575,86.4143,-0.1353
8,0,0,0,0,1,0,0,0,0.4039,0.1303,0.5903,0.2362,0.1947,0.0803,286630.8449,201.5887,-0.1442
9,0,0,0,0,1,0,0,1,0.4072,0.1286,0.5945,0.2436,0.1954,0.0803,285045.2396,54.1994,-0.1424
10,0,0,0,0,1,0,1,0,0.41,0.0789,0.5967,0.2384,0.1955,0.0726,301494.7039,165.1791,-0.1485
11,0,0,0,0,1,0,1,1,0.4177,0.1286,0.5991,0.2419,0.1961,0.0796,284412.7551,111.1406,-0.1272
12,0,0,0,0,1,1,0,0,0.3972,0.0768,0.5975,0.2367,0.1948,0.0733,303965.5426,73.19,-0.1579
13,0,0,0,0,1,1,0,1,0.4079,0.0852,0.5978,0.2336,0.1937,0.0761,299361.6514,54.2131,-0.1386
14,0,0,0,0,1,1,1,0,0.4084,0.0814,0.5983,0.2387,0.1944,0.0761,302119.5461,54.2075,-0.1501
