,"('V_TR', 'day')","('V_TR', 'night')","('CV8', 'day')","('CV8', 'night')","('CV3', 'day')","('CV3', 'night')","('CV12', 'day')","('CV12', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8854,0.6171,0.3554,0.745,0.6831,0.2367,132425.2821,14829.877,0.6746
1,0,0,0,0,0,0,0,1,0.893,0.5946,0.3612,0.7532,0.7019,0.2159,141053.5838,14778.4238,0.7014
2,0,0,0,0,0,0,1,0,0.9236,0.6562,0.3494,0.7756,0.7058,0.2201,131597.328,14726.9717,0.7809
3,0,0,0,0,0,0,1,1,0.9316,0.6957,0.3558,0.775,0.7268,0.2272,121727.0067,14521.1699,0.7791
4,0,0,0,0,0,1,0,0,0.8972,0.6277,0.3574,0.7548,0.7048,0.2388,129792.7155,15189.1055,0.735
5,0,0,0,0,0,1,0,1,0.8923,0.6196,0.3441,0.7316,0.6973,0.2342,132585.5445,15277.21,0.723
6,0,0,0,0,0,1,1,0,0.9233,0.6685,0.3427,0.7597,0.7192,0.2261,129400.6409,15152.7734,0.785
7,0,0,0,0,0,1,1,1,0.9289,0.7038,0.3447,0.7659,0.7335,0.2332,121109.8471,15138.2139,0.7908
8,0,0,0,0,1,0,0,0,0.9203,0.653,0.3541,0.7577,0.7576,0.2487,121123.2113,15485.752,0.807
9,0,0,0,0,1,0,0,1,0.9195,0.6375,0.3529,0.7553,0.7553,0.2279,128851.5144,15485.751,0.8035
10,0,0,0,0,1,0,1,0,0.9282,0.6002,0.3463,0.7621,0.7665,0.2029,153456.9507,15127.3672,0.7986
11,0,0,0,0,1,0,1,1,0.9334,0.6869,0.3504,0.7596,0.7831,0.2955,133774.0934,14767.6816,0.7876
12,0,0,0,0,1,1,0,0,0.9161,0.6573,0.3474,0.7487,0.7512,0.2501,120275.3348,15769.666,0.7966
13,0,0,0,0,1,1,0,1,0.9198,0.6657,0.3453,0.7569,0.7557,0.2508,118906.6281,15716.7598,0.8057
14,0,0,0,0,1,1,1,0,0.9319,0.633,0.3475,0.7677,0.7789,0.2233,141747.0825,15517.9141,0.7975
15,0,0,0,0,1,1,1,1,0.9312,0.7031,0.3441,0.7564,0.784,0.33,128748.8714,15465.5586,0.7785
16,0,0,0,1,0,0,0,0,0.8893,0.6171,0.3578,0.7507,0.6908,0.2364,132506.5705,14829.8789,0.6917
17,0,0,0,1,0,0,0,1,0.897,0.5963,0.3634,0.7594,0.7092,0.2149,141117.9528,14778.4199,0.7182
18,0,0,0,1,0,0,1,0,0.9236,0.659,0.3494,0.7757,0.7058,0.2201,130908.5415,14726.9717,0.7809
19,0,0,0,1,0,0,1,1,0.9316,0.6957,0.3558,0.775,0.7267,0.2272,121726.8796,14521.1689,0.7792
20,0,0,0,1,0,1,0,0,0.897,0.6245,0.3583,0.7549,0.7057,0.2385,130666.583,15176.5303,0.7357
21,0,0,0,1,0,1,0,1,0.8928,0.6027,0.3471,0.7323,0.7029,0.2307,136269.8741,15276.4893,0.7288
22,0,0,0,1,0,1,1,0,0.9232,0.6675,0.3427,0.7597,0.7192,0.2251,129656.9205,15152.7012,0.7851
23,0,0,0,1,0,1,1,1,0.9289,0.7038,0.3447,0.766,0.7335,0.2332,121113.904,15138.2158,0.7908
24,0,0,0,1,1,0,0,0,0.9206,0.6576,0.3545,0.7581,0.7584,0.2497,120438.3899,15554.3037,0.8075
25,0,0,0,1,1,0,0,1,0.9204,0.6291,0.3536,0.7562,0.7571,0.2279,130606.3084,15502.8496,0.8044
26,0,0,0,1,1,0,1,0,0.928,0.5974,0.3455,0.7619,0.766,0.2022,154173.0741,15128.0508,0.7984
27,0,0,0,1,1,0,1,1,0.9332,0.6865,0.3496,0.7595,0.7826,0.2962,133775.4621,14768.3652,0.7874
28,0,0,0,1,1,1,0,0,0.9149,0.6594,0.3467,0.7475,0.7489,0.2501,120164.1224,15760.8955,0.7953
29,0,0,0,1,1,1,0,1,0.9187,0.6707,0.3423,0.753,0.7532,0.2508,117740.2354,15737.9941,0.8016
30,0,0,0,1,1,1,1,0,0.9319,0.6333,0.3475,0.7677,0.779,0.2233,141685.4584,15517.8359,0.7975
31,0,0,0,1,1,1,1,1,0.9319,0.7031,0.345,0.7579,0.7851,0.33,128749.1245,15465.2559,0.7805
32,0,0,1,0,0,0,0,0,0.8874,0.6175,0.3568,0.7493,0.6871,0.2378,132280.3978,14829.8789,0.6866
33,0,0,1,0,0,0,0,1,0.8911,0.5918,0.3611,0.752,0.7005,0.2138,141769.3563,14778.4219,0.6976
34,0,0,1,0,0,0,1,0,0.9236,0.659,0.3495,0.7757,0.7061,0.2201,130989.4518,14726.9727,0.7812
35,0,0,1,0,0,0,1,1,0.9316,0.696,0.3559,0.775,0.727,0.2275,121753.7226,14521.1689,0.7794
36,0,0,1,0,0,1,0,0,0.8989,0.5569,0.3594,0.7578,0.7095,0.2247,145371.9249,15176.958,0.7423
37,0,0,1,0,0,1,0,1,0.8938,0.6199,0.3454,0.7335,0.7007,0.236,132398.7198,15277.5742,0.727
38,0,0,1,0,0,1,1,0,0.923,0.6523,0.3423,0.7592,0.7182,0.2219,132675.3172,15152.7812,0.7841
39,0,0,1,0,0,1,1,1,0.9289,0.7038,0.3448,0.766,0.7338,0.2335,121135.2571,15121.0615,0.791
40,0,0,1,0,1,0,0,0,0.9172,0.6573,0.3517,0.7536,0.7502,0.2518,120427.4337,15451.4131,0.7988
41,0,0,1,0,1,0,0,1,0.9198,0.6368,0.3534,0.7559,0.7558,0.2282,128955.4366,15502.959,0.8037
42,0,0,1,0,1,0,1,0,0.9283,0.6006,0.3465,0.7623,0.7668,0.2043,153249.1355,15127.3613,0.7988
43,0,0,1,0,1,0,1,1,0.9334,0.6865,0.3507,0.7599,0.7833,0.2955,133792.232,14767.6816,0.7878
44,0,0,1,0,1,1,0,0,0.9157,0.6569,0.3477,0.7486,0.7513,0.2515,120489.9244,15769.7432,0.7969
45,0,0,1,0,1,1,0,1,0.9211,0.6735,0.3452,0.7594,0.7573,0.2526,117258.0744,15717.3896,0.8069
46,0,0,1,0,1,1,1,0,0.932,0.633,0.3477,0.7679,0.7792,0.224,141726.8751,15500.7734,0.7977
