,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.8187,0.6608,0.3269,0.6145,0.6439,0.3839,148670.6139,15240.208,0.559
1,0,0,0,0,0,0,0,0,0,1,0.8187,0.6608,0.3269,0.6145,0.6439,0.3839,148673.454,15240.208,0.5591
2,0,0,0,0,0,0,0,0,1,0,0.819,0.6608,0.3273,0.6155,0.6445,0.3839,148671.0439,15240.208,0.5601
3,0,0,0,0,0,0,0,0,1,1,0.8194,0.6978,0.3272,0.6167,0.6451,0.4287,134929.0514,15250.1035,0.5605
4,0,0,0,0,0,0,0,1,0,0,0.8337,0.6763,0.3272,0.6157,0.6495,0.4121,143482.9951,15206.3008,0.5634
5,0,0,0,0,0,0,0,1,0,1,0.8338,0.6615,0.327,0.6156,0.6494,0.4061,147560.7532,15206.3047,0.5638
6,0,0,0,0,0,0,0,1,1,0,0.8335,0.6633,0.3271,0.6155,0.6493,0.3885,147632.1415,15206.3027,0.5635
7,0,0,0,0,0,0,0,1,1,1,0.8339,0.6809,0.3274,0.6159,0.6495,0.4128,141300.0651,15206.3066,0.5639
8,0,0,0,0,0,0,1,0,0,0,0.8355,0.6428,0.3239,0.618,0.6418,0.3815,152938.617,15205.9102,0.5804
9,0,0,0,0,0,0,1,0,0,1,0.8349,0.4984,0.3237,0.6169,0.6411,0.1476,201844.7638,15205.9092,0.5813
10,0,0,0,0,0,0,1,0,1,0,0.8358,0.6601,0.3239,0.6186,0.6419,0.3885,149157.4685,15205.915,0.5806
11,0,0,0,0,0,0,1,0,1,1,0.8357,0.6573,0.324,0.6186,0.6419,0.3871,149519.3311,15205.915,0.5805
12,0,0,0,0,0,0,1,1,0,0,0.8506,0.6425,0.3248,0.621,0.6474,0.3244,150001.1272,15206.3018,0.5866
13,0,0,0,0,0,0,1,1,0,1,0.8506,0.6545,0.3249,0.6213,0.6475,0.3656,149608.4764,15206.3057,0.5865
14,0,0,0,0,0,0,1,1,1,0,0.851,0.6735,0.3249,0.6218,0.6479,0.3917,141374.8356,15206.2988,0.5866
15,0,0,0,0,0,0,1,1,1,1,0.8504,0.6023,0.3248,0.6207,0.6473,0.3371,165297.4859,15206.3076,0.5868
16,0,0,0,0,0,1,0,0,0,0,0.8186,0.6608,0.3271,0.6144,0.6438,0.3839,148672.0629,15240.2246,0.559
17,0,0,0,0,0,1,0,0,0,1,0.8351,0.6809,0.328,0.6166,0.6519,0.4121,141058.013,15223.4922,0.5652
18,0,0,0,0,0,1,0,0,1,0,0.8187,0.6608,0.3271,0.6146,0.644,0.3839,148669.9014,15240.2266,0.5591
19,0,0,0,0,0,1,0,0,1,1,0.8345,0.6154,0.3278,0.6154,0.6516,0.3663,161384.9448,15223.4873,0.5652
20,0,0,0,0,0,1,0,1,0,0,0.8339,0.6851,0.3275,0.6159,0.6497,0.4146,138869.5363,15206.3223,0.5636
21,0,0,0,0,0,1,0,1,0,1,0.8351,0.6608,0.3283,0.6169,0.6521,0.3839,148659.567,15223.5371,0.5661
22,0,0,0,0,0,1,0,1,1,0,0.8332,0.6076,0.3272,0.6147,0.6489,0.3022,167053.5249,15206.3184,0.5637
23,0,0,0,0,0,1,0,1,1,1,0.8349,0.6316,0.3282,0.6171,0.652,0.3381,162135.4244,15223.5391,0.5665
24,0,0,0,0,0,1,1,0,0,0,0.8365,0.6629,0.3247,0.6206,0.6429,0.3906,148019.5736,15211.043,0.5819
25,0,0,0,0,0,1,1,0,0,1,0.852,0.6766,0.3257,0.6221,0.6501,0.3871,140616.188,15189.1963,0.5881
