,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8473,0.8144,0.26,0.6543,0.7446,0.6062,87261.3712,16917.9297,0.658
1,0,0,0,0,0,0,0,1,0.8692,0.8144,0.2619,0.6645,0.7501,0.6062,87286.2266,16918.6641,0.6678
2,0,0,0,0,0,0,1,0,0.8741,0.7594,0.2527,0.6967,0.7327,0.5097,110773.112,15683.5918,0.6963
3,0,0,0,0,0,0,1,1,0.8934,0.7718,0.2554,0.7071,0.7381,0.5097,103547.7599,15722.3652,0.7034
4,0,0,0,0,0,1,0,0,0.8698,0.8144,0.2621,0.6645,0.7516,0.6062,87282.5045,16970.3633,0.6676
5,0,0,0,0,0,1,0,1,0.8677,0.8144,0.2615,0.6636,0.749,0.6062,87286.9064,16918.9395,0.6665
6,0,0,0,0,0,1,1,0,0.895,0.7718,0.2556,0.7078,0.7395,0.5097,103550.2995,15718.6621,0.7038
7,0,0,0,0,0,1,1,1,0.8941,0.7718,0.2552,0.7076,0.7382,0.5097,103551.0542,15718.6826,0.7035
8,0,0,0,0,1,0,0,0,0.8747,0.7577,0.252,0.6976,0.7317,0.5065,111677.4104,15803.7656,0.6961
9,0,0,0,0,1,0,0,1,0.8939,0.7721,0.2547,0.7079,0.7368,0.5072,102943.4098,15729.5898,0.7028
10,0,0,0,0,1,0,1,0,0.8756,0.7573,0.252,0.7012,0.7314,0.5097,111199.3209,15615.1211,0.6993
11,0,0,0,0,1,0,1,1,0.8947,0.7415,0.2543,0.7109,0.7365,0.4903,113947.5442,15580.8838,0.7052
12,0,0,0,0,1,1,0,0,0.8953,0.7721,0.255,0.7081,0.7379,0.5072,102865.5305,15701.6426,0.7026
13,0,0,0,0,1,1,0,1,0.8944,0.7721,0.2542,0.708,0.7366,0.5072,102874.8836,15701.6689,0.7025
14,0,0,0,0,1,1,1,0,0.8965,0.7714,0.2551,0.712,0.738,0.5104,103118.6458,15564.6367,0.7057
15,0,0,0,0,1,1,1,1,0.8961,0.8077,0.2548,0.7133,0.7376,0.5646,86712.2036,15518.0371,0.7066
16,0,0,0,1,0,0,0,0,0.869,0.8144,0.262,0.663,0.7518,0.6062,87279.7358,16970.2266,0.6662
17,0,0,0,1,0,0,0,1,0.8679,0.8144,0.2613,0.6633,0.7492,0.6062,87286.0788,16900.207,0.6663
