,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.9521,0.6928,0.2923,0.8191,0.8363,0.267,111105.1302,14884.3516,0.8661
1,0,0,0,0,0,0,0,1,0.9474,0.6943,0.2879,0.8133,0.8271,0.267,111041.9616,14771.9922,0.8606
2,0,0,0,0,0,0,1,0,0.9521,0.7217,0.294,0.8073,0.8424,0.2762,104717.5814,14835.1719,0.8364
3,0,0,0,0,0,0,1,1,0.9483,0.7175,0.289,0.804,0.8352,0.2754,105722.1111,14795.6914,0.8313
4,0,0,0,0,0,1,0,0,0.9479,0.6928,0.2791,0.8064,0.8269,0.267,111151.6871,15134.1133,0.8463
5,0,0,0,0,0,1,0,1,0.9427,0.6879,0.2669,0.8002,0.8116,0.2621,113313.7262,15097.5986,0.8422
6,0,0,0,0,0,1,1,0,0.9483,0.7122,0.285,0.7969,0.8344,0.273,107862.3462,15125.2881,0.8224
7,0,0,0,0,0,1,1,1,0.9464,0.7101,0.2742,0.7979,0.8252,0.2726,108682.2926,15140.2793,0.8236
8,0,0,0,0,1,0,0,0,0.95,0.7316,0.2824,0.813,0.8309,0.2888,106369.5473,14957.1143,0.843
9,0,0,0,0,1,0,0,1,0.949,0.7386,0.281,0.8141,0.8288,0.292,104275.5209,14887.9248,0.844
10,0,0,0,0,1,0,1,0,0.9461,0.8006,0.2791,0.7905,0.8275,0.3653,85518.7164,15009.8086,0.8126
11,0,0,0,0,1,0,1,1,0.9484,0.8006,0.2816,0.8015,0.8316,0.3653,85599.3205,14923.4834,0.8275
12,0,0,0,0,1,1,0,0,0.9504,0.8218,0.2787,0.8072,0.834,0.5734,79535.9676,15160.2676,0.8327
13,0,0,0,0,1,1,0,1,0.9492,0.8218,0.2695,0.809,0.8257,0.5734,79486.1198,15238.6445,0.8358
14,0,0,0,0,1,1,1,0,0.944,0.8373,0.2701,0.7851,0.8223,0.5939,72349.9903,15334.0566,0.8058
15,0,0,0,0,1,1,1,1,0.9395,0.8387,0.2583,0.7807,0.8085,0.5932,71778.515,15350.457,0.7996
16,0,0,0,1,0,0,0,0,0.9527,0.6957,0.2905,0.8192,0.8366,0.2673,110575.2503,15382.1797,0.866
17,0,0,0,1,0,0,0,1,0.9505,0.6953,0.2882,0.8165,0.8337,0.267,110616.1675,15315.6777,0.8585
18,0,0,0,1,0,0,1,0,0.953,0.714,0.2947,0.8051,0.8436,0.274,106758.7183,15324.2402,0.8343
19,0,0,0,1,0,0,1,1,0.9511,0.7196,0.2926,0.8077,0.8404,0.2754,105418.7081,15250.1631,0.8372
20,0,0,0,1,0,1,0,0,0.9508,0.6921,0.2804,0.8136,0.831,0.267,111338.2189,15606.3818,0.8567
21,0,0,0,1,0,1,0,1,0.9424,0.6872,0.2636,0.8004,0.8104,0.2628,112955.1386,15592.4141,0.8427
22,0,0,0,1,0,1,1,0,0.9493,0.7179,0.2814,0.7996,0.8347,0.2751,106021.1086,15678.9209,0.8264
23,0,0,0,1,0,1,1,1,0.944,0.7091,0.2655,0.7923,0.8198,0.2712,108790.8698,15699.9434,0.8167
24,0,0,0,1,1,0,0,0,0.9501,0.733,0.2806,0.8139,0.8306,0.2892,106115.8747,15400.5332,0.8438
25,0,0,0,1,1,0,0,1,0.9507,0.7386,0.2821,0.8156,0.8316,0.292,104302.3461,15341.4688,0.8461
26,0,0,0,1,1,0,1,0,0.9472,0.7978,0.2771,0.7962,0.8292,0.3607,87704.822,15577.543,0.8202
27,0,0,0,1,1,0,1,1,0.9476,0.801,0.2782,0.7998,0.8296,0.3639,85665.9087,15477.1035,0.825
28,0,0,0,1,1,1,0,0,0.9525,0.8221,0.2786,0.8116,0.8371,0.5734,79533.4855,15592.1602,0.8379
29,0,0,0,1,1,1,0,1,0.9498,0.8228,0.267,0.8109,0.8262,0.577,79111.0163,15626.4922,0.8375
30,0,0,0,1,1,1,1,0,0.9447,0.8376,0.2674,0.7883,0.823,0.5942,71981.1446,15881.8369,0.81
31,0,0,0,1,1,1,1,1,0.9434,0.8376,0.2596,0.7877,0.8147,0.5942,72217.5245,15868.4395,0.8096
32,0,0,1,0,0,0,0,0,0.9572,0.689,0.2912,0.8263,0.8452,0.2645,113099.5079,16095.4053,0.8675
33,0,0,1,0,0,0,0,1,0.9518,0.6911,0.2863,0.8191,0.8358,0.2642,112731.5025,15970.8467,0.8581
34,0,0,1,0,0,0,1,0,0.9521,0.7253,0.2898,0.8061,0.8415,0.2747,103149.208,16080.4961,0.8341
35,0,0,1,0,0,0,1,1,0.9509,0.7186,0.2896,0.8074,0.8398,0.2751,105997.3986,16030.417,0.8354
36,0,0,1,0,0,1,0,0,0.9494,0.5921,0.2759,0.8065,0.8285,0.2293,141916.0146,16378.7998,0.8471
37,0,0,1,0,0,1,0,1,0.947,0.6974,0.2646,0.8085,0.817,0.2677,110205.8886,16306.3066,0.8499
38,0,0,1,0,0,1,1,0,0.952,0.7175,0.2819,0.8072,0.839,0.2751,105884.2458,16452.8301,0.835
