time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9,year,iter
74477.15937,1581,49,15901.70299,15901.70299,0.8683,0.5798,0.4451,0.6454,0.6254,0.1747,161630.2276,16688.5859,0.6505,1,1
2657.666739,60,24,14059.29035,29960.99333,0.8754,0.5872,0.4364,0.6526,0.6481,0.1786,159518.7044,16656.9727,0.66,1,2
2263.049535,52,28,16034.30645,45995.29978,0.885,0.6101,0.4309,0.6686,0.669,0.1842,151517.9266,16618.1387,0.6793,1,3
11334.60122,51,21,14922.30201,60917.60179,0.8842,0.6428,0.4153,0.6711,0.6716,0.2219,144464.5251,16768.0176,0.6745,1,4
2652.254644,55,23,15350.59322,76268.19501,0.886,0.6375,0.4069,0.6803,0.6765,0.2445,148624.6602,16869.4004,0.6813,1,5
2825.12081,55,21,16466.75723,92734.95224,0.89,0.6548,0.4067,0.6864,0.6843,0.2592,142320.2224,16897.3945,0.6879,1,6
2739.012753,51,9,15502.17094,108237.1232,0.8937,0.6552,0.4102,0.6926,0.6893,0.2621,142139.5951,16895.7852,0.6965,1,7
2753.051648,53,89,157535.3709,265772.4941,0.9008,0.6608,0.3858,0.7033,0.7126,0.2684,139106.6399,16830.2344,0.7108,1,8
3054.678775,58,13,14988.63954,280761.1337,0.9035,0.6721,0.3862,0.7118,0.7186,0.3427,136471.1816,16827.5801,0.722,1,9
2758.497572,50,9,15971.34547,296732.4791,0.8964,0.664,0.3756,0.7039,0.7096,0.2705,138856.5003,16832.0996,0.7134,1,10
3877.112839,49,13,16164.63874,312897.1179,0.9019,0.6661,0.38,0.7052,0.7229,0.2705,138174.4531,16829.916,0.7162,1,11
3539.104128,50,9,15072.73521,327969.8531,0.9008,0.665,0.3759,0.7078,0.7195,0.2705,138235.1697,16832.1973,0.7204,1,12
3174.419917,50,13,16135.74923,344105.6023,0.9024,0.665,0.373,0.7083,0.726,0.2726,138420.7927,16831.8242,0.7227,1,13
2749.70168,50,11,16065.95888,360171.5612,0.8993,0.6657,0.3653,0.7048,0.7202,0.2751,138209.3956,16832.8145,0.7173,1,14
10897.04332,49,7,15695.21723,375866.7784,0.9017,0.6657,0.3676,0.7027,0.7253,0.2751,138125.5117,16830.1094,0.714,1,15
