,time,evaluations,actions,cost,used budget,1,2,3,4,5,6,7,8,9
0,56984.48429989815,1352,35,18321.96885287517,18321.96885287517,0.9075,0.6502,0.3493,0.7169,0.7355,0.2836,145598.1763,16819.3223,0.7333
0,1934.140884399414,46,13,22333.622017428672,40655.590870303844,0.9106,0.6506,0.351,0.7188,0.7402,0.2843,145502.2856,16807.3535,0.7352
0,1740.4657094478607,41,12,17318.151746959786,57973.74261726363,0.9118,0.6513,0.3501,0.7209,0.7436,0.2853,145184.1396,16793.3203,0.7375
0,1806.1487588882446,43,8,16269.539394040698,74243.28201130433,0.9116,0.6516,0.3489,0.7202,0.7446,0.2843,145089.0846,16791.9336,0.7362
0,1810.1301333904266,43,10,15920.909045853045,90164.19105715737,0.9155,0.6594,0.3522,0.7258,0.7515,0.3998,140863.0669,16788.7578,0.7425
0,1783.243409872055,42,13,18319.617025065105,108483.80808222247,0.9177,0.6601,0.3517,0.7313,0.7547,0.3998,140840.3408,16779.5566,0.75
0,1766.3212542533875,42,17,17251.365685614208,125735.17376783668,0.909,0.6509,0.3362,0.7202,0.7412,0.2853,144963.5164,16781.0195,0.7359
0,1927.3667633533478,46,6,17901.40124358433,143636.575011421,0.9127,0.6601,0.3388,0.7261,0.7484,0.4001,140762.3884,16757.2598,0.743
0,1953.2219378948212,44,5,15852.18399011953,159488.75900154051,0.913,0.6513,0.3364,0.7271,0.7477,0.285,144928.6009,16768.5527,0.7451
0,2076.862943649292,49,6,15963.816014112446,175452.57501565295,0.9136,0.6513,0.3359,0.723,0.7486,0.285,144951.4736,16757.4609,0.7393
0,1800.5860209465027,43,6,14315.101457393113,189767.67647304607,0.9149,0.6509,0.3338,0.7314,0.7497,0.2846,144998.0671,16756.5918,0.7503
0,1723.4972896575928,41,9,18827.53788339998,208595.21435644606,0.9163,0.6513,0.3347,0.7305,0.7521,0.2846,145004.0841,16756.002,0.7492
