,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L343,3.238747e-07,9.892028e-08,1.4730176e-07,1.9038467e-05,2.5615009e-08,5.0931703e-10,3.274181e-10,8.8766683e-10,8.367351e-11,1.11929694e-07
L344,1.1906741e-07,4.969479e-09,1.9535946e-09,3.0441151e-07,3.794412e-08,5.2023097e-10,3.3105607e-10,9.313226e-10,8.731149e-11,1.2206146e-07
L345,1.8732317e-07,4.642061e-09,1.7935236e-09,2.4400288e-07,1.8742867e-08,4.802132e-10,2.9831426e-10,8.440111e-10,7.2759576e-11,1.05555955e-07
L588,1.7623461e-07,5.642505e-09,9.094947e-10,1.6373451e-07,5.529728e-10,4.838512e-10,1.4551915e-10,1.036824e-09,2.910383e-11,9.1535185e-08
L10,7.173512e-07,7.370909e-08,1.18459866e-07,1.970886e-06,4.17931e-07,7.494236e-09,1.2187229e-09,1.0135409e-08,6.3562766e-08,6.1452374e-07
L1009,2.3406028e-07,4.9236354e-05,1.3460522e-10,9.713403e-10,1.4915713e-10,2.5465852e-11,2.910383e-11,5.4569682e-11,6.91216e-11,9.531504e-10
L1033,4.353933e-08,8.731149e-11,1.3460522e-10,1.3351382e-09,1.5643309e-10,1.4551915e-11,4.0017767e-11,5.0931703e-11,5.820766e-11,9.313226e-10
L1079,2.982415e-08,8.731149e-11,1.3460522e-10,9.640644e-10,1.5643309e-10,2.1827873e-11,3.274181e-11,4.3655746e-11,6.548362e-11,9.313226e-10
L1085,7.679773e-08,1.6370905e-10,6.2937033e-10,6.330083e-09,4.1472958e-10,4.7293724e-10,2.0008883e-10,7.930794e-10,2.5465852e-11,5.9553713e-09
L183,1.2369128e-10,1.05501385e-10,1.6007107e-10,1.1677912e-09,1.5279511e-10,2.910383e-11,3.274181e-11,7.2759576e-11,6.184564e-11,1.0841177e-09
L192,2.184097e-07,5.2698917e-05,1.6007107e-10,1.1641532e-09,1.5643309e-10,3.274181e-11,2.910383e-11,6.548362e-11,6.184564e-11,1.0841177e-09
L2017,2.6990165e-07,9.9687895e-08,1.8172432e-07,1.3340905e-06,1.628141e-07,2.4811015e-08,2.9838702e-08,6.3584594e-08,6.3890184e-08,1.2203454e-06
L2033,1.0615899e-05,1.5861588e-09,1.1896191e-09,8.032657e-09,4.1836756e-10,4.1836756e-10,2.728484e-10,6.9849193e-10,4.3655746e-11,4.66207e-08
L2041,0.00052139256,3.2798387e-05,0.00028956495,0.0005933996,2.6517548e-05,3.1600706e-05,1.5609898e-05,3.6949292e-05,5.719252e-06,0.0010210527
L2043,0.0006035392,1.8156716e-06,1.60294e-05,3.284862e-05,1.467939e-06,1.749373e-06,8.640927e-07,2.0454172e-06,3.1664968e-07,5.6522258e-05
L2084,7.647104e-07,3.5727862e-07,5.449692e-07,5.3571923e-05,1.4259786e-07,1.549779e-09,4.3655746e-10,3.6343408e-09,6.184564e-11,2.2011591e-07
