Leak_id,avg_pressure,total_water_loss,Link,Coef,Link_id,ID,Diameter,detect_cost,repair_cost,total_cost,evaluate_flag,rank
Leak_1837,46.787407,243.8752,L2468,0.02687,L2468,L2468,63,1131.0073970129147,152.35151989728496,1283.3589169101997,1,0.19002883382881616
Leak_481,29.893404,147.64372,L1390,0.02553,L1390,L1390,75,1174.2489331109086,169.24008157503675,1343.4890146859454,1,0.10989574229506666
Leak_3419,34.074978,90.74683,L86,0.01379,L86,L86,40,1631.2534994673395,126.94450278937566,1758.1980022567152,1,0.051613546190356525
Leak_2420,15.883794,88.9624,L2989,0.03011,L2989_1,L2989,200,1032.918961453431,578.3736514681791,1611.29261292161,1,0.05521182287458178
Leak_1269,24.998814,85.60626,L198,0.01779,L198,L198,100,1458.412823726137,214.43317410343403,1672.8459978295712,1,0.05117402457733756
Leak_2334,28.474167,81.70305,L290,0.01488,L290,L290,63,1582.219704443955,149.11063995209378,1731.3303443960488,1,0.04719090667503763
Leak_1927,34.972137,75.59963,L2551,0.01132,L2551,L2551,110,1748.0637334525898,234.0380054655821,1982.1017389181718,1,0.03814114622816776
Leak_1270,19.262608,75.5263,L1980,0.02083,L1980,L1980,75,1339.4093555542743,167.9983809659407,1507.407736520215,1,0.05010343034148039
Leak_695,26.246145,67.568436,L1559,0.01357,L1559,L1559,110,1641.3330341179699,235.61424855014792,1876.9472826681179,1,0.035999112118319826
Leak_3179,24.676481,66.18131,L653,0.01392,L653_2,L653,200,1625.3265303572214,562.3773370920068,2187.7038674492283,1,0.030251494978705603
Leak_3022,10.414931,65.80429,L515,0.03332,L515_1,L515,150,944.130139549541,366.4743284810254,1310.6044680305663,1,0.05020911524158612
Leak_1886,76.00157,64.64078,L2507,0.00436,L2507,L2507,110,2124.1861427173108,225.74251951515708,2349.928662232468,1,0.02750754890000827
Leak_838,29.794233,62.396706,L1680,0.01104,L1680,L1680,75,1761.8224166874008,164.12382290385767,1925.9462395912585,1,0.03239794774369392
Leak_2067,19.00182,60.560066,L2665,0.0171,L2665,L2665,90,1486.8633061886721,193.23317667718428,1680.0964828658564,1,0.03604558835802278
Leak_138,23.846296,60.382072,L1110,0.01312,L1110,L1110,63,1662.1446683060494,148.42033874166202,1810.5650070477113,1,0.03334985057906805
Leak_1608,16.807423,54.62917,L2263,0.01738,L2263,L2263,63,1475.2518741569597,149.96228446748918,1625.2141586244488,1,0.033613520516181356
Leak_455,47.13641,54.22236,L1367,0.00593,L1367_1,L1367,110,2032.829647242384,228.41655496115254,2261.2462022035365,1,0.023978971706298386
Leak_3190,25.397856,51.4413,L661,0.01051,L661,L661,200,1788.1628237707114,556.5513136631882,2344.7141374339,1,0.02193926270891807
Leak_3122,30.442825,50.430313,L603,0.00859,L603,L603,63,1886.9254101898887,146.09773828038072,2033.0231484702695,1,0.024805577422124983
Leak_1546,62.49964,47.90184,L2215,0.00393,L2215_1,L2215,75,2149.915926354658,157.8202013141507,2307.736127668809,1,0.020757069942112332
Leak_2357,13.158592,47.565525,L2928,0.01955,L2928,L2928,63,1388.28439600563,150.60748104571235,1538.8918770513424,1,0.030908945432912116
Leak_3010,11.840309,47.492252,L507,0.02107,L507_2,L507,60,1330.438699846474,147.34754707869178,1477.7862469251659,1,0.03213743019240488
Leak_1545,63.13552,45.80644,L2215,0.00372,L2215,L2215,75,2162.5946709808463,157.48505466269035,2320.0797256435367,1,0.019743476027893513
Leak_3538,8.271608,44.381824,L953,0.02854,L953,L953,63,1079.3389143284762,152.68217171837085,1232.0210860468471,1,0.03602359163820399
Leak_2982,15.128707,43.305084,L485,0.01494,L485_1,L485,75,1579.5638069190768,165.97006177107897,1745.5338686901557,1,0.02480907704243611
Leak_1576,45.051025,43.222664,L2231,0.00492,L2231,L2231,75,2091.1386732515202,159.19133960663834,2250.3300128581586,1,0.019207255661358374
Leak_2125,17.35516,43.031803,L2713,0.01337,L2713,L2713,63,1650.5502833190615,148.52384866635634,1799.0741319854178,1,0.023918860466085733
Leak_3270,49.951057,41.336784,L74,0.00427,L74,L74,250,2129.545842181931,798.1395106667727,2927.685352848704,1,0.014119271499777578
Leak_545,58.250202,41.097843,L1452,0.00363,L1452,L1452,350,2168.0512819939563,1495.1499307073225,3663.2012127012786,1,0.011219106127086065
Leak_1841,54.12559,40.763885,L2471,0.00388,L2471,L2471,110,2152.9279165527346,224.728411146396,2377.6563276991305,1,0.017144565858049923
Leak_2104,11.859438,39.98892,L2694,0.01862,L2694_2,L2694,90,1424.9101190121455,193.83526913578586,1618.7453881479314,1,0.02470364925653701
