element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter
L3267,pipe,0.15,77.169,8.839943374783559,0.919094583941361,0.7414582599506868,0.33188820941824104,0.7414889802591443,0.7479897872322582,0.31736526946107785,112304.06851843887,16857.486328125,0.7578079287426778,,0.16005662521644126,0.0020741052134463484,1
L244,pipe,0.1,65.007,8.910702812317421,0.9204615978127778,0.7308911588587531,0.3336630318126417,0.7441343826776893,0.7501737072074339,0.31630855935188446,116292.67860773232,16846.791015625,0.7617569819323899,,0.089297187682579,0.0013736549553521773,1
L2437,pipe,0.1,123.59700000000001,8.836720002107295,0.919346181586407,0.7418104966537513,0.3313201163984857,0.7447731845384231,0.7478651939817843,0.31736526946107785,112196.34516359658,16869.3046875,0.762488165097733,,0.16327999789270464,0.0013210676464048856,1
L2434,pipe,0.1,125.82900000000001,8.834611603722069,0.9188220198258944,0.7418104966537513,0.3305634163999387,0.7436088697323832,0.7468726412720776,0.31736526946107785,112211.45541045406,16869.626953125,0.760829697012533,,0.16538839627793145,0.001314390134849132,1
L2838,pipe,0.1,143.406,8.83649969807626,0.9193419882923229,0.7418104966537513,0.3314422270303074,0.7447840325392093,0.7478665568023617,0.31736526946107785,112204.35180083256,16858.2734375,0.7625049125010646,,0.1635003019237402,0.0011401217656425826,1
L1345,pipe,0.05,143.439,8.845607079673249,0.9210884952783509,0.7414582599506868,0.3344247416552589,0.7458518336887693,0.7513727796507824,0.31736526946107785,112304.22773804961,16856.974609375,0.7640832001384138,,0.15439292032675134,0.0010763664019321896,1
L171,pipe,0.063,159.65687,8.836445173166881,0.9193210218219025,0.7418104966537513,0.3311780927997977,0.7447295688651587,0.7477215736594038,0.31736526946107785,112211.5129652989,16869.619140625,0.7624117808728053,,0.16355482683311884,0.0010244145888186262,1
L2808,pipe,0.075,155.00975,8.841820602617137,0.9196124557607475,0.7414582599506868,0.3325037103523186,0.7426817011703359,0.7488123542830306,0.31736526946107785,112311.77176052716,16857.0625,0.7595734895012323,,0.15817939738286313,0.001020448051705542,1
L2844,pipe,0.125,161.31,8.8371867212295,0.9193671480568275,0.7418104966537513,0.3314925223432658,0.7447740233013704,0.7480829307771013,0.31736526946107785,112194.54842416247,16868.767578125,0.762553537501561,,0.1628132787704999,0.001009319191435744,1
L663,pipe,0.05,173.80200000000002,8.8386551332479,0.919847280229457,0.7418104966537513,0.33218059482205187,0.7454895440130258,0.7489079613881481,0.31736526946107785,112179.78571878772,16868.65625,0.7635986019674469,,0.16134486675209914,0.0009283257197966601,1
L2327,pipe,0.05,175.7215,8.843788248476724,0.9201324242271759,0.7414582599506868,0.3331932300160641,0.7436107150108674,0.7497039010214864,0.31736526946107785,112301.91612014745,16857.009765625,0.760885436510937,,0.15621175152327638,0.0008889734695144099,1
L588,pipe,0.05,214.635,8.83706837977662,0.919845183582415,0.7418104966537513,0.3319375890468332,0.7457904921585501,0.7487082033412167,0.31736526946107785,112212.36116405911,16869.28515625,0.7639395636421805,,0.1629316202233806,0.0007591102113978643,1
L2462,pipe,0.125,250.45499999999998,8.843499318172753,0.9201408108153442,0.7414582599506868,0.33301904640756164,0.7435565309244659,0.7494676613160234,0.31736526946107785,112324.88605614592,16857.537109375,0.7607590775867625,,0.15650068182724652,0.0006248654721496737,1
L2007,pipe,0.05,297.1735,8.83693026251246,0.9178554655395093,0.7414582599506868,0.33077359147651775,0.7406909811909955,0.7465087681779299,0.31736526946107785,112341.68034792546,16857.2265625,0.7573084774387893,,0.1630697374875396,0.0005487357973962672,1
L813,pipe,0.1,322.524,8.84552005355169,0.920595783223469,0.7414582599506868,0.33377778716075845,0.7450316353612795,0.7505454427279894,0.31736526946107785,112300.23646517197,16857.0625,0.7628851601452029,,0.1544799464483102,0.00047897194146268246,1
L890,pipe,0.063,341.254316,8.836815675354126,0.9193315050571127,0.7418104966537513,0.3312973249053704,0.7447345455253133,0.747835264345259,0.31736526946107785,112215.1695532328,16869.310546875,0.762449076782624,,0.16318432464587396,0.00047818977517598326,1
L344,pipe,0.05,428.74649999999997,8.836626174046724,0.9193294084100706,0.7418104966537513,0.33128295838731836,0.7447191122870812,0.7478204829836126,0.31736526946107785,112198.30300442774,16869.3046875,0.7624323703433197,,0.16337382595327554,0.00038104993499253186,1
L2823,pipe,0.125,461.64375,8.837033594331619,0.9198388936412889,0.7418104966537513,0.3320183256221515,0.7458266708003476,0.7488246720844026,0.31736526946107785,112198.46974589402,16869.06640625,0.7640146161096797,,0.1629664056683815,0.000353013347778198,1
L2129,pipe,0.1,467.32500000000005,8.837340489208174,0.9185410691222596,0.7414582599506868,0.33140350330312746,0.7424042943048684,0.7474175598383066,0.31842197957027124,112335.4782565444,16857.544921875,0.7597397760722304,,0.16265951079182628,0.0003480650741814075,1
L2900,pipe,0.125,476.85499999999996,8.839355638969266,0.9187737969439272,0.7414582599506868,0.33177108201722855,0.7405746727289572,0.7482006575085124,0.31736526946107785,112287.03167188403,16855.95703125,0.7561979307973965,,0.16064436103073376,0.00033688303788517217,1
