element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb
L1780,pipe,0.075,284.2405440000002,8.982462770789867,0.94495462855801,0.8062698133145474,0.24442259388938656,0.8021865642049427,0.8266560366661635,0.5417400493131385,88023.6467330567,16190.189453125,0.8239844276028122,,0.017537229210132566,6.169854927568866e-05
Leak_1555,leak,,2483.909927827603,8.85150983856921,0.9411932437645717,0.8030996829869672,0.26765531393595077,0.7966851180329979,0.8156338059175766,0.5364564987671715,89313.63306701029,16422.0234375,0.8173240277421335,63.0,0.1484901614307894,5.9780815627504284e-05
Leak_1537,leak,,2449.3658384817345,8.85366328919046,0.9412875928814639,0.8030996829869672,0.26825225176788964,0.7960873596391564,0.8163529034368239,0.5364564987671715,89296.55007974603,16356.2548828125,0.8161871190094708,63.0,0.1463367108095408,5.974473413095741e-05
Leak_1862,leak,,2559.4547355700674,8.847116435014437,0.9410276086482497,0.8038041563930962,0.2685831033587296,0.79705752878164,0.8160258264982639,0.5378654455794294,89167.43023662563,16387.412109375,0.8179348685117634,110.0,0.15288356498556332,5.973286530949787e-05
Leak_24,leak,,2432.1276490753644,8.854761313299,0.9411324410003522,0.8038041563930962,0.2689954477628912,0.7961066511869465,0.8162026262600849,0.5361042620641071,89253.94917389977,16386.16015625,0.8168441913238388,75.0,0.14523868670099915,5.971672036055153e-05
Leak_1548,leak,,2387.723507154044,8.85753581540753,0.9416985357017058,0.8027474462839028,0.2686969690074015,0.7950829689684193,0.8166970680487764,0.5350475519549137,89330.71583905266,16377.00390625,0.8149980956032518,63.0,0.14246418459246968,5.9665277058093893e-05
Leak_596,leak,,2470.2474919772326,8.85261279070346,0.9409709991781143,0.7812610073969708,0.2692098296313957,0.7965303383104392,0.8152989189687851,0.36808735470236,99604.11757777142,16365.283203125,0.8181218367320944,63.0,0.14738720929653937,5.966495655808474e-05
Leak_3274,leak,,2409.9228687457526,8.85623132258831,0.9407655277679934,0.8034519196900317,0.26909151045527296,0.7965746809115913,0.81603809188346,0.536808735470236,89302.63999817838,16364.224609375,0.8172648166700539,50.0,0.14376867741169086,5.965696216929775e-05
Leak_2945,leak,,2446.884641748472,8.854150357451,0.9410297052952917,0.8030996829869672,0.26859089711293915,0.7964686053575111,0.8159150711182677,0.536808735470236,89306.0007177198,16387.306640625,0.8172359239205387,75.0,0.1458496425490008,5.9606260164672464e-05
Leak_1782,leak,,2293.287979854408,8.863353883424887,0.9414762911152484,0.8027474462839028,0.2685206033436747,0.79493803073111,0.8166472726815277,0.5346953152518492,89343.45627100373,16376.3359375,0.814745303701941,63.0,0.13664611657511294,5.958524083128368e-05
L1085,pipe,0.05,2067.9995,8.876805074623011,0.9411701806471091,0.8030996829869672,0.2679770419887845,0.7945690309517873,0.8160030254616817,0.5364564987671715,89329.57691234478,16410.328125,0.8141292546028553,,0.12319492537698906,5.9572028608802405e-05
Leak_2756,leak,,2470.4453174848463,8.852933618699591,0.9416545061138227,0.8013384994716449,0.2687890937414954,0.794972140424304,0.8177044021201295,0.5357520253610426,89659.49268527127,16431.2734375,0.8151109973267919,160.0,0.14706638130040872,5.953031231233104e-05
Leak_2842,leak,,2455.4148382621347,8.853981223074598,0.9417362753484627,0.8034519196900317,0.2681479605006618,0.795357747709985,0.8168139037051947,0.536808735470236,89275.03900407438,16432.09375,0.8152071867561631,75.0,0.146018776925402,5.946806814474962e-05
