element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb,iter
L3265,pipe,0.2,190.38,8.861589726,0.941587413,0.802747446,0.269196629,0.794811154,0.816755722,0.534695315,89360.46462,16397.98828,0.814770065,,0.138410274,0.000727021,1
L2812,pipe,0.075,146.8975,8.895207234,0.941115668,0.802747446,0.26946886,0.792924273,0.81612809,0.534695315,89356.17203,16386.00781,0.812161244,,0.104792766,0.000713373,1
L1051,pipe,0.15,363.2265,8.795436874,0.942411396,0.803099683,0.270857888,0.798375952,0.818604073,0.536456499,89319.52497,16374.68555,0.819698067,,0.204563126,0.000563183,1
L33,pipe,0.075,294.89125,8.859917236,0.940849394,0.803099683,0.268647302,0.796317628,0.815755464,0.536456499,89332.33266,16365.12891,0.816834744,,0.140082764,0.000475032,1
L2675,pipe,0.125,322.62,8.877571909,0.940415388,0.803099683,0.268396501,0.795632862,0.815192095,0.536456499,89332.73864,16354.29785,0.815866671,,0.122428091,0.000379481,1
L2269,pipe,0.075,535.847,8.865128488,0.940807461,0.803099683,0.268139029,0.796139419,0.815433733,0.536456499,89330.12054,16377.06445,0.8165957,,0.134871512,0.000251698,1
L186,pipe,0.125,454.9225,8.897861229,0.940826331,0.802747446,0.268168851,0.793400634,0.8156467,0.534695315,89323.45752,16398.36914,0.812594229,,0.102138771,0.000224519,1
L2267,pipe,0.075,381.495,8.917475927,0.940203626,0.803099683,0.266553357,0.793231763,0.814365282,0.536456499,89339.02423,16400.92773,0.812211323,,0.082524073,0.000216318,1
L1168,pipe,0.075,1175.18,8.748549634,0.943348597,0.801690736,0.2713104,0.800193719,0.819671005,0.534343079,89811.16114,16396.98242,0.823070594,,0.251450366,0.000213968,1
L1950,pipe,0.125,687.69,8.858620389,0.940960516,0.803804156,0.268518177,0.796199418,0.815916644,0.537865446,89270.03908,16408.75,0.816839813,,0.141379611,0.000205586,1
L2264,pipe,0.075,606.22625,8.875810266,0.940878747,0.803099683,0.268054304,0.795049139,0.815688581,0.536456499,89345.49592,16345.31934,0.814708237,,0.124189734,0.000204857,1
L2912,pipe,0.075,556.4565,8.900664547,0.939822037,0.802747446,0.266913552,0.795026716,0.813897415,0.534695315,89335.22991,16356.7666,0.815171195,,0.099335453,0.000178514,1
L219,pipe,0.05,879.829,8.844353035,0.941826431,0.803099683,0.269117318,0.795912561,0.817140771,0.536456499,89318.60795,16387.67578,0.815930824,,0.155646965,0.000176906,1
L892,pipe,0.075,392.23825,8.933377322,0.939377547,0.802747446,0.266829643,0.793275211,0.813296097,0.534695315,89350.64015,16377.66211,0.812744526,,0.066622678,0.000169853,1
L1195,pipe,0.25,799.1475,8.872284175,0.9408452,0.801690736,0.26912685,0.794942169,0.816265421,0.537160972,89822.13368,16386.66992,0.81538285,,0.127715825,0.000159815,1
L2328,pipe,0.05,697.4765,8.891418199,0.940866167,0.803099683,0.268153817,0.793930453,0.815631133,0.536456499,89325.72191,16388.06836,0.813233132,,0.108581801,0.000155678,1
L372,pipe,0.05,649.838,8.899577402,0.939981382,0.803099683,0.267539972,0.794708489,0.814570282,0.536456499,89321.95561,16398.1875,0.814752137,,0.100422598,0.000154535,1
