,"('V_LL_1', 'day')","('V_LL_1', 'night')","('CV4', 'day')","('CV4', 'night')","('CV5', 'day')","('CV5', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0.89,0.7612,0.328,0.7073,0.733,0.5248,103133.2085,16484.1523,0.684
1,0,0,0,0,0,1,0.8899,0.7612,0.328,0.7073,0.733,0.5245,103151.804,16484.1309,0.684
2,0,0,0,0,1,0,0.8906,0.7612,0.3286,0.7088,0.7342,0.5248,103142.3029,16501.0547,0.6862
3,0,0,0,0,1,1,0.89,0.7612,0.328,0.7073,0.733,0.5245,103145.3436,16484.1309,0.684
4,0,0,0,1,0,0,0.8974,0.7612,0.3328,0.7084,0.7403,0.5255,103140.3824,16450.0625,0.6881
5,0,0,0,1,0,1,0.8974,0.7612,0.3329,0.7084,0.7403,0.5255,103136.5403,16450.0625,0.6882
6,0,0,0,1,1,0,0.8965,0.7612,0.3322,0.7061,0.7394,0.5245,103142.3367,16450.0586,0.6847
7,0,0,0,1,1,1,0.8974,0.7612,0.3329,0.7084,0.7403,0.5255,103141.2314,16450.0586,0.6881
8,0,0,1,0,0,0,0.9099,0.7615,0.3402,0.7243,0.754,0.5245,103196.1985,16449.6836,0.7355
9,0,0,1,0,0,1,0.9099,0.7615,0.3402,0.7243,0.754,0.5245,103194.2967,16449.6855,0.7355
10,0,0,1,0,1,0,0.9106,0.7615,0.3411,0.7261,0.7551,0.5245,103195.0295,16398.252,0.7383
11,0,0,1,0,1,1,0.9099,0.7615,0.3405,0.7243,0.754,0.5245,103190.68,16449.627,0.7355
12,0,0,1,1,0,0,0.9164,0.7869,0.3461,0.7236,0.7603,0.5502,92657.914,16449.752,0.7314
13,0,0,1,1,0,1,0.9172,0.7869,0.3469,0.7258,0.7613,0.5502,92658.1188,16415.4453,0.7345
14,0,0,1,1,1,0,0.9171,0.7869,0.3471,0.7256,0.7614,0.5502,92659.5985,16381.2529,0.7344
15,0,0,1,1,1,1,0.9172,0.7869,0.3473,0.7258,0.7613,0.5502,92659.2061,16415.4434,0.7345
16,0,1,0,0,0,0,0.8984,0.7612,0.334,0.7103,0.7424,0.5245,103136.4317,16449.4004,0.691
17,0,1,0,0,0,1,0.8987,0.7612,0.3346,0.7106,0.7422,0.5255,103131.9766,16449.4023,0.6914
18,0,1,0,0,1,0,0.8966,0.7612,0.332,0.7061,0.7394,0.5245,103140.4898,16450.0391,0.6848
19,0,1,0,0,1,1,0.898,0.7612,0.3338,0.7084,0.7412,0.5255,103131.7713,16449.4727,0.6882
20,0,1,0,1,0,0,0.8972,0.7612,0.3333,0.7075,0.7405,0.5245,103146.6674,16484.0703,0.6868
21,0,1,0,1,0,1,0.898,0.7612,0.3341,0.7085,0.7412,0.5255,103127.7742,16449.4863,0.6883
22,0,1,0,1,1,0,0.8966,0.7612,0.3325,0.7062,0.7395,0.5245,103151.9634,16484.2734,0.6849
23,0,1,0,1,1,1,0.8966,0.7612,0.3325,0.7061,0.7394,0.5245,103141.1494,16450.0469,0.6848
24,0,1,1,0,0,0,0.9172,0.7869,0.3466,0.7258,0.7614,0.5502,92655.5555,16449.6562,0.7345
25,0,1,1,0,0,1,0.9172,0.7869,0.3469,0.7259,0.7614,0.5502,92654.5921,16449.6562,0.7345
26,0,1,1,0,1,0,0.9172,0.7869,0.347,0.7258,0.7614,0.5502,92660.6973,16449.6543,0.7345
27,0,1,1,0,1,1,0.9172,0.7869,0.3473,0.7259,0.7614,0.5502,92659.0881,16449.6543,0.7345
28,0,1,1,1,0,0,0.9164,0.7869,0.3464,0.7236,0.7604,0.5502,92654.9454,16449.7402,0.7314
29,0,1,1,1,0,1,0.9172,0.7869,0.3471,0.7258,0.7614,0.5502,92656.6748,16449.666,0.7345
