,"('V_CO', 'day')","('V_CO', 'night')","('V_MV1', 'day')","('V_MV1', 'night')","('V_MV2', 'day')","('V_MV2', 'night')","('CV7', 'day')","('CV7', 'night')","('CV9', 'day')","('CV9', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.8526,0.8077,0.2315,0.6975,0.7245,0.5844,86822.8057,16762.2031,0.641
1,0,0,0,0,0,0,0,0,0,1,0.8528,0.808,0.2317,0.6977,0.7248,0.5847,86685.0195,16762.2188,0.6413
2,0,0,0,0,0,0,0,0,1,0,0.8528,0.7904,0.2318,0.6977,0.7251,0.5805,94209.7005,16916.5547,0.6415
3,0,0,0,0,0,0,0,0,1,1,0.8526,0.8077,0.2315,0.6975,0.7245,0.5844,86828.2442,16762.2148,0.6411
4,0,0,0,0,0,0,0,1,0,0,0.8693,0.8084,0.2328,0.7009,0.7366,0.5844,86805.6168,16762.9297,0.6497
5,0,0,0,0,0,0,0,1,0,1,0.8696,0.808,0.2334,0.7015,0.7371,0.5844,86764.0157,16762.9551,0.6504
6,0,0,0,0,0,0,0,1,1,0,0.8693,0.8077,0.2328,0.7009,0.7366,0.5844,86841.3121,16762.9219,0.6497
7,0,0,0,0,0,0,0,1,1,1,0.8693,0.8077,0.2331,0.701,0.7367,0.5844,86884.5156,16797.2578,0.6498
8,0,0,0,0,0,0,1,0,0,0,0.8854,0.8031,0.2273,0.7166,0.726,0.5759,88286.8999,16477.627,0.6939
9,0,0,0,0,0,0,1,0,0,1,0.8852,0.8027,0.2273,0.7164,0.7259,0.5759,88455.8323,16477.4492,0.6936
10,0,0,0,0,0,0,1,0,1,0,0.8852,0.8017,0.2277,0.7162,0.7257,0.5759,88579.7286,16473.4492,0.6933
11,0,0,0,0,0,0,1,0,1,1,0.885,0.8027,0.2273,0.7159,0.7255,0.5759,88331.2249,16457.8945,0.693
12,0,0,0,0,0,0,1,1,0,0,0.902,0.8337,0.2287,0.7223,0.738,0.5808,73493.5172,16491.9746,0.7036
13,0,0,0,0,0,0,1,1,0,1,0.9018,0.8344,0.2288,0.7219,0.7377,0.5808,73291.461,16476.8789,0.703
14,0,0,0,0,0,0,1,1,1,0,0.9017,0.8344,0.229,0.7218,0.7375,0.5808,73004.5964,16474.8379,0.703
15,0,0,0,0,0,0,1,1,1,1,0.9015,0.8285,0.2289,0.7217,0.7375,0.5808,75625.0496,16488.7637,0.7027
16,0,0,0,0,0,1,0,0,0,0,0.853,0.808,0.232,0.6978,0.7248,0.5847,86674.6537,16813.707,0.6414
