,"('V_CO', 'day')","('V_CO', 'night')","('V_G1', 'day')","('V_G1', 'night')","('V_G2', 'day')","('V_G2', 'night')","('V_G3', 'day')","('V_G3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.8574,0.8225,0.2386,0.673,0.7785,0.6442,84020.3072,17295.9785,0.6815
1,0,0,0,0,0,0,0,1,0.8781,0.8225,0.2423,0.6837,0.785,0.6435,84079.176,17291.9395,0.692
2,0,0,0,0,0,0,1,0,0.889,0.8207,0.2366,0.734,0.7755,0.6291,85447.8615,16637.627,0.7382
3,0,0,0,0,0,0,1,1,0.9106,0.8647,0.2407,0.7481,0.7837,0.633,63134.5819,16709.4102,0.7484
4,0,0,0,0,0,1,0,0,0.8804,0.8225,0.2427,0.685,0.7875,0.6435,84075.906,17292.6055,0.6931
5,0,0,0,0,0,1,0,1,0.8793,0.8225,0.2419,0.6848,0.7861,0.6435,84080.1606,17292.7715,0.6929
6,0,0,0,0,0,1,1,0,0.9123,0.8644,0.2406,0.7492,0.7851,0.633,63361.5631,16658.875,0.749
7,0,0,0,0,0,1,1,1,0.9113,0.8637,0.239,0.7489,0.7838,0.6326,63353.8727,16642.3359,0.7487
8,0,0,0,0,1,0,0,0,0.8907,0.8175,0.235,0.7366,0.7747,0.6231,86551.7269,16659.0156,0.7393
9,0,0,0,0,1,0,0,1,0.9109,0.8626,0.2391,0.7507,0.7809,0.6273,63506.7676,16675.5039,0.749
10,0,0,0,0,1,0,1,0,0.8913,0.8172,0.2351,0.7417,0.7733,0.6221,86445.4449,16599.9082,0.7438
11,0,0,0,0,1,0,1,1,0.9124,0.8647,0.2378,0.7554,0.7808,0.627,62124.8372,16606.9414,0.7526
12,0,0,0,0,1,1,0,0,0.9131,0.863,0.2396,0.7521,0.7832,0.6273,63412.1732,16658.9883,0.7501
13,0,0,0,0,1,1,0,1,0.9116,0.8563,0.2386,0.7512,0.7812,0.6266,65119.1639,16659.0957,0.7491
14,0,0,0,0,1,1,1,0,0.9143,0.8647,0.239,0.7566,0.7824,0.627,61984.2992,16590.4297,0.7534
15,0,0,0,0,1,1,1,1,0.9128,0.8651,0.2381,0.756,0.7806,0.627,61980.9557,16590.5195,0.7528
16,0,0,0,1,0,0,0,0,0.878,0.8225,0.242,0.6817,0.7871,0.6435,84065.5603,17292.6758,0.6896
17,0,0,0,1,0,0,0,1,0.8803,0.8225,0.2417,0.6854,0.7869,0.6435,84079.2044,17292.791,0.6934
18,0,0,0,1,0,0,1,0,0.9112,0.8647,0.2398,0.7473,0.7842,0.6326,63244.9035,16641.7617,0.7471
19,0,0,0,1,0,0,1,1,0.911,0.8644,0.2395,0.7488,0.7832,0.633,63413.7397,16659.5527,0.7486
20,0,0,0,1,0,1,0,0,0.8806,0.8225,0.2428,0.6851,0.7879,0.6435,84075.7582,17292.7949,0.6932
21,0,0,0,1,0,1,0,1,0.8803,0.8225,0.2416,0.684,0.7876,0.6435,84079.4373,17293.0312,0.6919
22,0,0,0,1,0,1,1,0,0.9126,0.8647,0.2404,0.7495,0.7854,0.633,63194.5951,16641.8711,0.7491
23,0,0,0,1,0,1,1,1,0.9114,0.8647,0.2395,0.7491,0.7838,0.633,63200.5006,16661.6387,0.7488
24,0,0,0,1,1,0,0,0,0.9119,0.863,0.2388,0.7502,0.7824,0.6273,63461.1495,16659.0156,0.7482
25,0,0,0,1,1,0,0,1,0.9117,0.8623,0.238,0.7516,0.7813,0.6273,63650.2377,16659.1035,0.7495
26,0,0,0,1,1,0,1,0,0.9133,0.8626,0.2385,0.7549,0.7819,0.627,63377.9115,16573.2949,0.7519
27,0,0,0,1,1,0,1,1,0.9126,0.8651,0.2377,0.7558,0.7802,0.627,61982.1229,16607.668,0.7526
28,0,0,0,1,1,1,0,0,0.9134,0.8626,0.2394,0.7524,0.7836,0.6277,63562.3053,16663.1504,0.7502
29,0,0,0,1,1,1,0,1,0.9122,0.8633,0.2385,0.7519,0.7817,0.6277,63372.5725,16662.1113,0.7497
30,0,0,0,1,1,1,1,0,0.9145,0.8651,0.2388,0.7569,0.7828,0.627,61981.1023,16573.4121,0.7536
31,0,0,0,1,1,1,1,1,0.9133,0.8647,0.2375,0.7564,0.7811,0.627,62112.3514,16590.7031,0.753
32,0,0,1,0,0,0,0,0,0.8838,0.82,0.2359,0.7192,0.7739,0.6305,85476.0695,17090.0488,0.7239
33,0,0,1,0,0,0,0,1,0.9052,0.8478,0.2403,0.7326,0.7816,0.6309,69648.5543,17035.1914,0.7345
34,0,0,1,0,0,0,1,0,0.891,0.8179,0.2348,0.7398,0.7734,0.6228,86255.6455,16620.7812,0.7419
35,0,0,1,0,0,0,1,1,0.9114,0.8651,0.2385,0.7527,0.7801,0.6273,62431.5289,16606.9082,0.7504
36,0,0,1,0,0,1,0,0,0.907,0.8496,0.2403,0.7339,0.7833,0.6309,69224.806,17036.0742,0.7353
37,0,0,1,0,0,1,0,1,0.9058,0.8492,0.2394,0.7333,0.7816,0.6309,69229.85,17036.207,0.7348
38,0,0,1,0,0,1,1,0,0.9137,0.8651,0.2389,0.7543,0.7826,0.6273,62426.3177,16607.5293,0.7517
39,0,0,1,0,0,1,1,1,0.9123,0.8651,0.2381,0.7537,0.7806,0.6273,62430.121,16607.6328,0.7511
40,0,0,1,0,1,0,0,0,0.8912,0.8172,0.2345,0.7398,0.773,0.6213,86577.4269,16621.3574,0.7417
41,0,0,1,0,1,0,0,1,0.912,0.8633,0.2386,0.7533,0.7798,0.6259,63045.0264,16624.0996,0.7505
42,0,0,1,0,1,0,1,0,0.892,0.8161,0.2344,0.7423,0.7726,0.621,86733.2656,16599.9707,0.7437
43,0,0,1,0,1,0,1,1,0.9122,0.8637,0.2378,0.7554,0.7789,0.6266,62183.4077,16589.8281,0.752
44,0,0,1,0,1,1,0,0,0.9143,0.8633,0.2389,0.755,0.7824,0.6259,63025.3259,16607.5879,0.7518
45,0,0,1,0,1,1,0,1,0.9129,0.8633,0.2382,0.7544,0.7806,0.6259,63035.2875,16607.6895,0.7513
46,0,0,1,0,1,1,1,0,0.9146,0.8647,0.2385,0.7572,0.7816,0.6266,61977.3953,16607.6055,0.7534
47,0,0,1,0,1,1,1,1,0.9132,0.8647,0.2375,0.7566,0.7798,0.6266,61974.7109,16607.6953,0.7528
48,0,0,1,1,0,0,0,0,0.9058,0.8404,0.2396,0.7322,0.7826,0.6302,74658.4215,17036.1289,0.7337
49,0,0,1,1,0,0,0,1,0.9055,0.8471,0.2391,0.7332,0.7811,0.6309,70384.9943,17036.2168,0.7346
50,0,0,1,1,0,0,1,0,0.9127,0.8633,0.2385,0.7527,0.7821,0.627,63341.5733,16624.7168,0.7502
51,0,0,1,1,0,0,1,1,0.9121,0.8651,0.238,0.7536,0.7804,0.6273,62434.27,16607.6309,0.751
52,0,0,1,1,0,1,0,0,0.9074,0.8468,0.2402,0.7344,0.784,0.6298,72509.6145,17036.2539,0.7358
53,0,0,1,1,0,1,0,1,0.9058,0.7946,0.2393,0.7328,0.7818,0.5865,94981.8277,17122.1699,0.7347
54,0,0,1,1,0,1,1,0,0.9139,0.8651,0.239,0.7547,0.7829,0.6273,62431.6324,16607.6836,0.7519
55,0,0,1,1,0,1,1,1,0.9126,0.8651,0.2378,0.7539,0.7809,0.6273,62438.5115,16607.8262,0.7511
56,0,0,1,1,1,0,0,0,0.9134,0.8598,0.2384,0.7531,0.7821,0.6259,67398.6903,16611.6172,0.7501
57,0,0,1,1,1,0,0,1,0.9129,0.8637,0.238,0.7541,0.7807,0.6266,63011.0021,16624.8379,0.7512
58,0,0,1,1,1,0,1,0,0.9136,0.8619,0.238,0.7555,0.781,0.6266,63552.5228,16607.6348,0.7519
59,0,0,1,1,1,0,1,1,0.9129,0.864,0.2372,0.7563,0.7793,0.6266,62235.1514,16590.5469,0.7525
60,0,0,1,1,1,1,0,0,0.9146,0.8633,0.2389,0.7554,0.7827,0.6259,63014.1827,16624.8965,0.7521
61,0,0,1,1,1,1,0,1,0.9132,0.8633,0.2378,0.7545,0.7806,0.6259,63008.124,16607.8828,0.7512
62,0,0,1,1,1,1,1,0,0.915,0.8647,0.2382,0.7578,0.7821,0.6266,61982.4425,16607.752,0.7539
63,0,0,1,1,1,1,1,1,0.9137,0.8647,0.2373,0.7571,0.7802,0.6266,61974.4158,16607.8926,0.7531
64,0,1,0,0,0,0,0,0,0.8712,0.8249,0.2564,0.6835,0.8059,0.6569,83300.4923,17250.9512,0.7177
65,0,1,0,0,0,0,0,1,0.8903,0.8249,0.2553,0.6914,0.81,0.6559,83302.1319,17260.498,0.719
66,0,1,0,0,0,0,1,0,0.9041,0.8228,0.2502,0.7549,0.8028,0.6375,84763.2089,17194.75,0.7754
67,0,1,0,0,0,0,1,1,0.9255,0.8672,0.2515,0.7662,0.8083,0.6411,62149.1857,17200.4492,0.7782
68,0,1,0,0,0,1,0,0,0.896,0.8249,0.2579,0.6971,0.8163,0.6545,83301.5097,17262.0176,0.7238
69,0,1,0,0,0,1,0,1,0.8942,0.8249,0.2559,0.6953,0.8127,0.6545,83301.1135,17262.3301,0.7215
70,0,1,0,0,0,1,1,0,0.9283,0.8672,0.2539,0.7683,0.8135,0.6407,62157.8929,17201.8887,0.7797
71,0,1,0,0,0,1,1,1,0.9276,0.8672,0.2524,0.7678,0.8108,0.6407,62154.0901,17201.7285,0.7792
72,0,1,0,0,1,0,0,0,0.9066,0.8214,0.2486,0.7627,0.8018,0.6347,85367.2361,17197.1602,0.7806
73,0,1,0,0,1,0,0,1,0.9272,0.8679,0.2502,0.7713,0.8066,0.6383,62001.5521,17202.168,0.7804
74,0,1,0,0,1,0,1,0,0.9082,0.819,0.2483,0.7682,0.8018,0.6319,86286.5076,17197.748,0.7849
75,0,1,0,0,1,0,1,1,0.929,0.8693,0.25,0.778,0.8066,0.6383,60548.6927,17202.7246,0.7855
76,0,1,0,0,1,1,0,0,0.9298,0.8679,0.2525,0.774,0.8115,0.6383,61985.5134,17203.6445,0.7824
77,0,1,0,0,1,1,0,1,0.9292,0.8679,0.2511,0.7735,0.8089,0.6383,61981.9357,17203.459,0.7819
78,0,1,0,0,1,1,1,0,0.9313,0.8693,0.2521,0.7803,0.8113,0.6379,60533.4675,17204.1758,0.7873
79,0,1,0,0,1,1,1,1,0.9307,0.8693,0.2506,0.7798,0.8086,0.6379,60522.2542,17204.0098,0.7867
80,0,1,0,1,0,0,0,0,0.8956,0.8249,0.259,0.6948,0.8178,0.6545,83300.9777,17259.8672,0.7234
81,0,1,0,1,0,0,0,1,0.8945,0.8249,0.256,0.6934,0.8132,0.6545,83300.4359,17261.5234,0.7199
82,0,1,0,1,0,0,1,0,0.9287,0.8672,0.2547,0.7685,0.8149,0.6404,62148.2501,17200.4277,0.7816
83,0,1,0,1,0,0,1,1,0.9281,0.8672,0.2524,0.7676,0.8107,0.6407,62152.4943,17200.9824,0.7791
84,0,1,0,1,0,1,0,0,0.8953,0.8249,0.2585,0.6963,0.817,0.6541,83301.0344,17262.4102,0.7228
85,0,1,0,1,0,1,0,1,0.8943,0.8249,0.2562,0.6947,0.8136,0.6541,83300.2206,17262.5098,0.7205
86,0,1,0,1,0,1,1,0,0.9287,0.8672,0.2545,0.7682,0.8144,0.6404,62147.6456,17202.1777,0.7795
87,0,1,0,1,0,1,1,1,0.9285,0.8672,0.2527,0.7678,0.8117,0.6407,62145.4363,17201.8945,0.7791
88,0,1,0,1,1,0,0,0,0.9305,0.8679,0.2533,0.7736,0.813,0.6379,62020.0296,17202.1113,0.7831
89,0,1,0,1,1,0,0,1,0.9293,0.8679,0.2505,0.7727,0.8081,0.6383,61979.2304,17203.1367,0.7811
90,0,1,0,1,1,0,1,0,0.9316,0.8693,0.2524,0.7793,0.8121,0.6375,60634.882,17203.0215,0.7868
91,0,1,0,1,1,0,1,1,0.9312,0.8693,0.2505,0.7794,0.8085,0.6379,60527.2626,17203.2773,0.7864
92,0,1,0,1,1,1,0,0,0.9302,0.8669,0.253,0.774,0.8124,0.6383,62800.6588,17203.9238,0.7823
