,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.9215,0.8563,0.2527,0.7509,0.786,0.6196,67728.5073,15671.7793,0.767
1,0,0,0,0,0,0,0,1,0.9211,0.8507,0.2468,0.7516,0.7837,0.6041,69288.12,16057.6514,0.7685
2,0,0,0,0,0,0,1,0,0.9203,0.8647,0.2427,0.7561,0.7834,0.615,63286.3828,16496.4141,0.7628
3,0,0,0,0,0,0,1,1,0.9204,0.8644,0.2384,0.7574,0.7819,0.615,63531.978,16607.9004,0.7633
4,0,0,0,0,0,1,0,0,0.9217,0.851,0.2474,0.7518,0.7847,0.6051,68970.4728,16040.2744,0.7686
5,0,0,0,0,0,1,0,1,0.9209,0.8507,0.2467,0.7515,0.7834,0.6041,69272.7794,16057.4834,0.7684
6,0,0,0,0,0,1,1,0,0.921,0.8647,0.2388,0.7575,0.7829,0.615,63288.0929,16608.541,0.7637
7,0,0,0,0,0,1,1,1,0.92,0.8647,0.2381,0.757,0.7814,0.615,63286.5905,16625.0645,0.7629
8,0,0,0,0,1,0,0,0,0.9211,0.8728,0.2427,0.7577,0.784,0.6231,59341.3892,16462.1387,0.7653
9,0,0,0,0,1,0,0,1,0.921,0.8721,0.2382,0.7585,0.7821,0.6231,59607.8348,16556.4453,0.7652
10,0,0,0,0,1,0,1,0,0.9204,0.8718,0.2423,0.7569,0.7834,0.6217,59580.2253,16496.4238,0.7635
11,0,0,0,0,1,0,1,1,0.9204,0.8718,0.2381,0.7579,0.7816,0.6217,59574.089,16607.9043,0.7638
12,0,0,0,0,1,1,0,0,0.9218,0.8721,0.2388,0.7591,0.7834,0.6228,59606.5933,16590.7109,0.766
13,0,0,0,0,1,1,0,1,0.921,0.8728,0.2381,0.7587,0.782,0.6231,59369.4697,16556.4805,0.7654
14,0,0,0,0,1,1,1,0,0.9211,0.8718,0.2378,0.7581,0.7829,0.6217,59583.1213,16607.873,0.7642
15,0,0,0,0,1,1,1,1,0.9204,0.8718,0.2373,0.758,0.7819,0.6217,59689.0439,16607.9297,0.7639
16,0,0,0,1,0,0,0,0,0.9201,0.8429,0.2476,0.7516,0.7839,0.5999,72470.5031,16040.0781,0.7691
17,0,0,0,1,0,0,0,1,0.9195,0.8394,0.2466,0.7516,0.7833,0.5995,73368.7441,16063.5557,0.7692
18,0,0,0,1,0,0,1,0,0.9194,0.8573,0.2389,0.7573,0.782,0.6122,66199.2881,16607.625,0.7626
19,0,0,0,1,0,0,1,1,0.9189,0.8584,0.2384,0.7577,0.7815,0.6122,66027.0408,16607.8164,0.7628
20,0,0,0,1,0,1,0,0,0.9196,0.8295,0.247,0.7511,0.7833,0.5903,77835.846,16040.1729,0.7688
21,0,0,0,1,0,1,0,1,0.9193,0.8415,0.2467,0.7514,0.7828,0.5995,72651.7073,16057.4326,0.7689
22,0,0,0,1,0,1,1,0,0.9189,0.8584,0.2385,0.7571,0.7815,0.6122,66012.3857,16607.7402,0.7623
23,0,0,0,1,0,1,1,1,0.9185,0.8584,0.2382,0.7571,0.7809,0.6122,66029.9852,16607.8789,0.7623
24,0,0,0,1,1,0,0,0,0.9205,0.8662,0.239,0.7591,0.7827,0.6192,62310.8649,16556.1895,0.7653
25,0,0,0,1,1,0,0,1,0.9193,0.8658,0.2381,0.7583,0.7813,0.6192,62223.7961,16556.3711,0.7643
26,0,0,0,1,1,0,1,0,0.9195,0.8647,0.2384,0.7579,0.7818,0.6189,62416.1556,16607.6406,0.7631
27,0,0,0,1,1,0,1,1,0.9187,0.8654,0.238,0.7576,0.7808,0.6189,62292.2212,16607.8301,0.7627
28,0,0,0,1,1,1,0,0,0.9198,0.8665,0.2386,0.7589,0.7822,0.6192,62181.2784,16590.6016,0.765
29,0,0,0,1,1,1,0,1,0.9193,0.8658,0.2382,0.7586,0.7813,0.6192,62212.8698,16590.7305,0.7646
30,0,0,0,1,1,1,1,0,0.919,0.8658,0.238,0.7578,0.7814,0.6189,62269.2606,16607.7559,0.7629
31,0,0,0,1,1,1,1,1,0.9187,0.8651,0.2373,0.7576,0.7809,0.6189,62299.67,16607.8867,0.7627
32,0,0,1,0,0,0,0,0,0.9162,0.864,0.2426,0.7571,0.784,0.6213,62321.1872,16444.9512,0.7554
33,0,0,1,0,0,0,0,1,0.9161,0.8647,0.2381,0.7579,0.782,0.6213,62168.488,16590.7168,0.7555
34,0,0,1,0,0,0,1,0,0.9154,0.8647,0.2419,0.7559,0.7826,0.6238,62292.9939,16444.9824,0.7535
35,0,0,1,0,0,0,1,1,0.9154,0.8647,0.2375,0.7571,0.7809,0.6238,62184.6183,16556.4688,0.7541
36,0,0,1,0,0,1,0,0,0.9167,0.8647,0.2384,0.7579,0.7829,0.6213,62217.786,16556.3828,0.7558
37,0,0,1,0,0,1,0,1,0.916,0.8647,0.2379,0.7579,0.7818,0.6213,62198.0046,16590.7461,0.7555
38,0,0,1,0,0,1,1,0,0.9161,0.8647,0.238,0.7574,0.7821,0.6238,62210.3334,16556.4121,0.7546
39,0,0,1,0,0,1,1,1,0.9152,0.8647,0.2373,0.7569,0.7806,0.6238,62201.0617,16556.4766,0.7538
40,0,0,1,0,1,0,0,0,0.9157,0.864,0.2422,0.7564,0.7831,0.6213,62564.0308,16479.2637,0.7541
41,0,0,1,0,1,0,0,1,0.9157,0.8647,0.2377,0.7574,0.7812,0.6213,62315.5211,16573.5898,0.7544
42,0,0,1,0,1,0,1,0,0.9154,0.8647,0.2419,0.756,0.7829,0.6266,61979.2267,16479.2773,0.7537
43,0,0,1,0,1,0,1,1,0.9155,0.8647,0.2376,0.7572,0.7811,0.6266,61972.607,16607.9121,0.7542
44,0,0,1,0,1,1,0,0,0.9165,0.8644,0.2383,0.758,0.7826,0.6213,62386.3942,16590.7129,0.7553
45,0,0,1,0,1,1,0,1,0.9156,0.864,0.2376,0.7574,0.7812,0.6213,62580.4457,16607.918,0.7544
46,0,0,1,0,1,1,1,0,0.916,0.8647,0.2379,0.7572,0.782,0.6266,61981.1351,16607.8672,0.7543
47,0,0,1,0,1,1,1,1,0.9153,0.8647,0.2375,0.7571,0.7809,0.6266,61989.8819,16607.9355,0.7542
48,0,0,1,1,0,0,0,0,0.9151,0.8584,0.2385,0.7577,0.782,0.6192,64377.0863,16539.0059,0.7546
49,0,0,1,1,0,0,0,1,0.9145,0.8633,0.2379,0.7578,0.7813,0.6213,63048.995,16556.332,0.7545
50,0,0,1,1,0,0,1,0,0.9145,0.8647,0.2381,0.7571,0.7811,0.6238,62167.3475,16573.3398,0.7534
51,0,0,1,1,0,0,1,1,0.9137,0.8647,0.2374,0.7568,0.7802,0.6238,62206.9451,16556.3594,0.7529
52,0,0,1,1,0,1,0,0,0.9151,0.8637,0.2381,0.7583,0.7822,0.6213,63358.7958,16590.5742,0.755
53,0,0,1,1,0,1,0,1,0.9146,0.8647,0.2379,0.7582,0.7815,0.6213,62196.7738,16573.5605,0.7549
54,0,0,1,1,0,1,1,0,0.9142,0.8559,0.2374,0.7572,0.7813,0.6206,66692.5487,16556.3066,0.7533
55,0,0,1,1,0,1,1,1,0.9135,0.8647,0.2373,0.7567,0.7799,0.6238,62206.7954,16556.4238,0.7527
56,0,0,1,1,1,0,0,0,0.9149,0.8647,0.2384,0.7578,0.7816,0.6213,62294.6097,16607.6211,0.7541
57,0,0,1,1,1,0,0,1,0.914,0.8647,0.2377,0.7573,0.7806,0.6213,62293.7029,16607.8008,0.7535
58,0,0,1,1,1,0,1,0,0.9145,0.8647,0.238,0.7572,0.7813,0.627,61914.5879,16614.4551,0.7536
59,0,0,1,1,1,0,1,1,0.9137,0.8647,0.2373,0.7569,0.7803,0.6266,61986.1817,16610.625,0.753
60,0,0,1,1,1,1,0,0,0.9144,0.864,0.2379,0.7575,0.7811,0.6213,62584.8587,16573.4395,0.7537
61,0,0,1,1,1,1,0,1,0.9138,0.864,0.2375,0.7572,0.7802,0.6213,62588.6834,16573.5703,0.7533
62,0,0,1,1,1,1,1,0,0.914,0.8647,0.2377,0.757,0.7808,0.6266,61988.9245,16607.7617,0.7532
63,0,0,1,1,1,1,1,1,0.9137,0.8647,0.2373,0.7571,0.7802,0.6266,61974.4158,16607.8926,0.7531
64,0,1,0,0,0,0,0,0,0.9361,0.8714,0.2623,0.7689,0.8091,0.627,61145.8093,16477.0469,0.7905
65,0,1,0,0,0,0,0,1,0.9359,0.8651,0.2566,0.77,0.8076,0.6115,62816.8388,16604.7168,0.7923
66,0,1,0,0,0,0,1,0,0.9362,0.8658,0.2532,0.7759,0.8084,0.6129,62995.6744,17095.6836,0.7898
67,0,1,0,0,0,0,1,1,0.9368,0.8739,0.2495,0.78,0.8082,0.6242,59130.6872,17205.4688,0.794
68,0,1,0,0,0,1,0,0,0.9378,0.8739,0.2592,0.7745,0.8124,0.6235,58771.3282,16707.3203,0.7979
69,0,1,0,0,0,1,0,1,0.9376,0.8739,0.2586,0.7749,0.8108,0.6224,59106.2615,16724.2129,0.7988
70,0,1,0,0,0,1,1,0,0.9371,0.8739,0.2506,0.7796,0.8101,0.6249,59139.0708,17188.252,0.7937
71,0,1,0,0,0,1,1,1,0.9375,0.8739,0.2503,0.7815,0.8092,0.6249,59140.3837,17205.0605,0.796
72,0,1,0,0,1,0,0,0,0.9372,0.8739,0.2535,0.7786,0.8093,0.621,58742.312,17043.6992,0.7932
73,0,1,0,0,1,0,0,1,0.9375,0.8707,0.2496,0.7813,0.8087,0.6347,59997.2155,17205.5527,0.796
74,0,1,0,0,1,0,1,0,0.936,0.8746,0.2528,0.7761,0.8079,0.627,58022.8064,17095.8906,0.7898
75,0,1,0,0,1,0,1,1,0.9369,0.8767,0.2496,0.7802,0.8082,0.6375,57385.1408,17205.3398,0.7943
76,0,1,0,0,1,1,0,0,0.9382,0.8767,0.251,0.7819,0.8113,0.6375,57383.8874,17188.3125,0.797
77,0,1,0,0,1,1,0,1,0.9382,0.8771,0.2505,0.783,0.81,0.6379,57215.4883,17205.4062,0.7983
78,0,1,0,0,1,1,1,0,0.9369,0.8767,0.2503,0.7796,0.8097,0.6365,57431.1114,17188.3496,0.7935
79,0,1,0,0,1,1,1,1,0.9371,0.8767,0.2499,0.7807,0.8086,0.6368,57455.8191,17205.1523,0.795
80,0,1,0,1,0,0,0,0,0.9372,0.8651,0.2596,0.7754,0.8118,0.6189,62434.9456,16723.9492,0.7998
81,0,1,0,1,0,0,0,1,0.9373,0.8637,0.2588,0.7766,0.8115,0.6192,62507.0625,16706.9434,0.8011
82,0,1,0,1,0,0,1,0,0.9371,0.8662,0.2515,0.7815,0.8102,0.6217,62375.4785,17204.4023,0.7958
83,0,1,0,1,0,0,1,1,0.9371,0.8662,0.2512,0.7816,0.8101,0.6217,62043.2902,17204.4609,0.7959
84,0,1,0,1,0,1,0,0,0.9368,0.8024,0.259,0.7758,0.8111,0.422,87776.63,16588.7715,0.8005
85,0,1,0,1,0,1,0,1,0.9368,0.8637,0.2587,0.7751,0.8107,0.6178,62764.2375,16741.2012,0.7996
86,0,1,0,1,0,1,1,0,0.9365,0.782,0.2512,0.7815,0.8094,0.347,94644.0865,17137.8047,0.796
87,0,1,0,1,0,1,1,1,0.937,0.8662,0.2509,0.7819,0.8096,0.6217,62045.4612,17204.3965,0.7961
88,0,1,0,1,1,0,0,0,0.9382,0.87,0.2518,0.7839,0.8114,0.6337,60348.3204,17204.5,0.7992
89,0,1,0,1,1,0,0,1,0.9375,0.8683,0.2508,0.7832,0.81,0.633,60350.5411,17204.6719,0.7979
90,0,1,0,1,1,0,1,0,0.9369,0.87,0.2512,0.7813,0.8101,0.6344,60214.1248,17204.4863,0.7954
91,0,1,0,1,1,0,1,1,0.9367,0.8693,0.2506,0.7813,0.8093,0.634,60356.6835,17204.5488,0.7953
92,0,1,0,1,1,1,0,0,0.9368,0.7644,0.2506,0.7823,0.8089,0.3283,98666.7382,17140.0469,0.797
93,0,1,0,1,1,1,0,1,0.9381,0.8686,0.2513,0.7841,0.8106,0.6316,60711.9211,17204.5059,0.7992
94,0,1,0,1,1,1,1,0,0.9361,0.758,0.2508,0.7813,0.8088,0.3153,100053.2815,17139.9336,0.7957
95,0,1,0,1,1,1,1,1,0.9367,0.8693,0.2506,0.7814,0.8091,0.634,60365.9295,17204.4844,0.7954
96,0,1,1,0,0,0,0,0,0.9331,0.8665,0.2539,0.7784,0.8096,0.6203,61571.8485,17094.8008,0.7853
97,0,1,1,0,0,0,0,1,0.9336,0.8637,0.25,0.7809,0.8092,0.6337,63161.4147,17170.7734,0.7886
98,0,1,1,0,0,0,1,0,0.9319,0.8672,0.2526,0.7766,0.8078,0.6249,61082.0538,17095.1777,0.7825
99,0,1,1,0,0,0,1,1,0.9327,0.8658,0.2493,0.78,0.8079,0.6337,62321.431,17205.4023,0.7868
100,0,1,1,0,0,1,0,0,0.9335,0.8619,0.2508,0.78,0.8105,0.6333,63211.0795,17188.0371,0.7874
101,0,1,1,0,0,1,0,1,0.9335,0.87,0.2501,0.7811,0.8089,0.6351,60161.7552,17204.9648,0.7884
102,0,1,1,0,0,1,1,0,0.9337,0.863,0.2507,0.7799,0.8108,0.6344,63739.1021,17187.7148,0.7861
103,0,1,1,0,0,1,1,1,0.933,0.8693,0.2497,0.7805,0.8083,0.6351,60530.036,17205.0879,0.7872
104,0,1,1,0,1,0,0,0,0.9318,0.8658,0.2525,0.7758,0.8076,0.6192,61733.7037,16901.9102,0.7815
105,0,1,1,0,1,0,0,1,0.9322,0.8662,0.2488,0.7783,0.8073,0.6206,61748.72,17176.8203,0.7845
106,0,1,1,0,1,0,1,0,0.9315,0.8693,0.2524,0.7755,0.8073,0.6326,60374.761,17095.2148,0.7814
107,0,1,1,0,1,0,1,1,0.9324,0.8697,0.2491,0.7793,0.8076,0.6365,60359.0711,17205.3398,0.7859
108,0,1,1,0,1,1,0,0,0.9334,0.8693,0.2508,0.7809,0.8106,0.6351,60520.2175,17186.0137,0.7875
109,0,1,1,0,1,1,0,1,0.9337,0.8683,0.2506,0.7822,0.8097,0.6354,60456.605,17202.7246,0.7893
110,0,1,1,0,1,1,1,0,0.9325,0.8697,0.2499,0.7789,0.8092,0.6358,60411.2596,17188.3379,0.7852
111,0,1,1,0,1,1,1,1,0.9328,0.8693,0.2496,0.7801,0.8081,0.6358,60435.1461,17205.1504,0.7868
112,0,1,1,1,0,0,0,0,0.9337,0.8693,0.2518,0.782,0.8109,0.6358,60212.7458,17204.1641,0.7893
113,0,1,1,1,0,0,0,1,0.9335,0.8693,0.2512,0.7821,0.8102,0.6358,60655.6203,17204.125,0.7892
114,0,1,1,1,0,0,1,0,0.9329,0.8693,0.2511,0.7812,0.8098,0.6354,60549.1404,17204.4141,0.7877
115,0,1,1,1,0,0,1,1,0.9327,0.8693,0.2506,0.7814,0.8093,0.6351,60561.0394,17204.4629,0.7876
116,0,1,1,1,0,1,0,0,0.9333,0.7946,0.2516,0.7826,0.8102,0.3913,89040.8838,17137.4727,0.79
117,0,1,1,1,0,1,0,1,0.9335,0.87,0.2511,0.7824,0.81,0.6358,60179.2204,17204.0859,0.7895
118,0,1,1,1,0,1,1,0,0.9327,0.826,0.2509,0.7817,0.8095,0.5206,78598.4225,17137.8281,0.7881
119,0,1,1,1,0,1,1,1,0.9328,0.869,0.2504,0.7815,0.8089,0.6354,60565.1477,17204.4219,0.7877
120,0,1,1,1,1,0,0,0,0.9336,0.869,0.2517,0.7831,0.8109,0.6351,60617.3642,17202.2383,0.7898
121,0,1,1,1,1,0,0,1,0.9335,0.8693,0.2512,0.7837,0.8104,0.6351,60538.4417,17202.2461,0.7902
122,0,1,1,1,1,0,1,0,0.9327,0.8693,0.2509,0.7807,0.8096,0.6361,60441.0316,17204.4824,0.7871
123,0,1,1,1,1,0,1,1,0.9323,0.8693,0.2503,0.7806,0.8087,0.6358,60422.0628,17204.5508,0.7867
124,0,1,1,1,1,1,0,0,0.9336,0.8612,0.2517,0.7834,0.8117,0.6263,63099.3107,17135.5273,0.79
125,0,1,1,1,1,1,0,1,0.9332,0.8693,0.2508,0.7823,0.8095,0.6351,60551.2802,17204.3262,0.7888
