,"('V_CO', 'day')","('V_CO', 'night')","('V_MO1', 'day')","('V_MO1', 'night')","('V_MO2', 'day')","('V_MO2', 'night')","('V_MO3', 'day')","('V_MO3', 'night')","('V_MO4', 'day')","('V_MO4', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0,0,0.7935,0.6076,0.2947,0.5318,0.6069,0.2441,162707.1202,14931.084,0.4766
1,0,0,0,0,0,0,0,0,0,1,0.7887,0.4625,0.2893,0.5294,0.5986,0.161,201895.0491,14999.9834,0.4744
2,0,0,0,0,0,0,0,0,1,0,0.7922,0.5921,0.2966,0.5309,0.6137,0.2526,168277.2978,14931.0869,0.4732
3,0,0,0,0,0,0,0,0,1,1,0.7894,0.6023,0.292,0.5327,0.6075,0.2716,165733.2212,14999.9883,0.4734
4,0,0,0,0,0,0,0,1,0,0,0.7885,0.6076,0.2883,0.5307,0.5965,0.2441,162695.4001,15001.0273,0.4731
5,0,0,0,0,0,0,0,1,0,1,0.7883,0.6044,0.288,0.5309,0.5961,0.2441,163228.4864,15000.3223,0.4735
6,0,0,0,0,0,0,0,1,1,0,0.7879,0.5847,0.2907,0.5319,0.6047,0.2561,170924.938,15003.2539,0.4732
7,0,0,0,0,0,0,0,1,1,1,0.788,0.6023,0.2906,0.5323,0.6044,0.2719,165718.6229,15000.3193,0.4725
8,0,0,0,0,0,0,1,0,0,0,0.7935,0.5914,0.2974,0.5334,0.6172,0.2645,169287.3104,14940.8037,0.4772
9,0,0,0,0,0,0,1,0,0,1,0.7896,0.597,0.2924,0.5328,0.6093,0.2807,166725.8328,14999.9834,0.4739
10,0,0,0,0,0,0,1,0,1,0,0.7927,0.4593,0.2971,0.531,0.6165,0.1698,203081.28,14913.8574,0.4765
11,0,0,0,0,0,0,1,0,1,1,0.7902,0.5956,0.2927,0.5343,0.6106,0.2836,167682.4247,14999.9873,0.4765
12,0,0,0,0,0,0,1,1,0,0,0.7901,0.5999,0.2924,0.5357,0.6095,0.2807,165910.8984,15007.4521,0.4769
13,0,0,0,0,0,0,1,1,0,1,0.7893,0.6009,0.2915,0.5347,0.6076,0.2807,166109.7988,15005.3223,0.4759
14,0,0,0,0,0,0,1,1,1,0,0.7908,0.5713,0.2914,0.5357,0.6093,0.2797,174606.3689,14997.6475,0.4784
15,0,0,0,0,0,0,1,1,1,1,0.7896,0.6006,0.2917,0.5352,0.6084,0.2846,165989.7574,15000.8262,0.4773
16,0,0,0,0,0,1,0,0,0,0,0.8025,0.6076,0.3183,0.5377,0.6298,0.2441,162701.9495,14732.9033,0.4905
17,0,0,0,0,0,1,0,0,0,1,0.8102,0.6076,0.2914,0.5524,0.6399,0.2441,162663.4786,15032.6523,0.5088
18,0,0,0,0,0,1,0,0,1,0,0.8011,0.5921,0.3197,0.5371,0.6361,0.2526,168273.8258,14715.7529,0.4869
19,0,0,0,0,0,1,0,0,1,1,0.8106,0.5805,0.2931,0.5542,0.6468,0.2681,170873.9316,15032.6641,0.5102
20,0,0,0,0,0,1,0,1,0,0,0.8138,0.6076,0.2782,0.5564,0.6437,0.2441,162676.5364,15362.8438,0.5137
21,0,0,0,0,0,1,0,1,0,1,0.8125,0.5294,0.2706,0.556,0.6406,0.205,182876.9913,15424.8086,0.5142
22,0,0,0,0,0,1,0,1,1,0,0.815,0.6023,0.28,0.5582,0.6508,0.2719,165716.3233,15347.5967,0.516
23,0,0,0,0,0,1,0,1,1,1,0.8163,0.6023,0.2734,0.5623,0.6512,0.2716,165739.3275,15424.1943,0.5206
24,0,0,0,0,0,1,1,0,0,0,0.8007,0.5886,0.32,0.5362,0.6373,0.2645,168872.8046,14715.749,0.4874
25,0,0,0,0,0,1,1,0,0,1,0.8104,0.5893,0.2933,0.554,0.6477,0.2649,171206.741,15015.5098,0.5123
26,0,0,0,0,0,1,1,0,1,0,0.8022,0.5903,0.3208,0.5391,0.6396,0.255,168789.9832,14715.6748,0.492
27,0,0,0,0,0,1,1,0,1,1,0.8102,0.6009,0.2928,0.5529,0.6475,0.2846,165804.3898,15017.5195,0.5115
28,0,0,0,0,0,1,1,1,0,0,0.8139,0.6006,0.2796,0.555,0.6501,0.2807,165917.1549,15348.1729,0.5153
29,0,0,0,0,0,1,1,1,0,1,0.8137,0.6009,0.2726,0.5563,0.6486,0.2807,165771.129,15414.4375,0.515
30,0,0,0,0,0,1,1,1,1,0,0.8134,0.6013,0.2799,0.554,0.6499,0.2846,165742.4546,15341.6357,0.5142
31,0,0,0,0,0,1,1,1,1,1,0.814,0.6013,0.2731,0.5567,0.6494,0.2846,165757.6961,15415.1631,0.5171
32,0,0,0,0,1,0,0,0,0,0,0.8704,0.6548,0.2918,0.6645,0.7322,0.2635,149056.1711,14696.7764,0.6863
33,0,0,0,0,1,0,0,0,0,1,0.8666,0.6636,0.2875,0.664,0.7246,0.2638,147119.4378,14765.7559,0.6873
34,0,0,0,0,1,0,0,0,1,0,0.8944,0.6911,0.2693,0.7232,0.7686,0.4058,135331.9935,15155.917,0.7346
35,0,0,0,0,1,0,0,0,1,1,0.8915,0.7263,0.2654,0.7245,0.7625,0.4759,123531.2319,15242.6689,0.7348
36,0,0,0,0,1,0,0,1,0,0,0.865,0.6168,0.286,0.6627,0.7212,0.2275,159863.9135,14766.8125,0.6876
37,0,0,0,0,1,0,0,1,0,1,0.8648,0.6707,0.2858,0.6624,0.7203,0.2737,144898.0112,14766.1172,0.6855
38,0,0,0,0,1,0,0,1,1,0,0.8908,0.7242,0.2648,0.7256,0.7608,0.4745,123833.9694,15243.7227,0.7362
39,0,0,0,0,1,0,0,1,1,1,0.8907,0.7238,0.2647,0.7255,0.7605,0.4741,123891.3046,15260.165,0.7361
40,0,0,0,0,1,0,1,0,0,0,0.9011,0.7358,0.2615,0.7412,0.771,0.4942,116098.0307,15684.6855,0.7463
41,0,0,0,0,1,0,1,0,0,1,0.898,0.7538,0.2573,0.741,0.7641,0.5062,111672.0395,15719.7588,0.7457
42,0,0,0,0,1,0,1,0,1,0,0.9009,0.7415,0.2561,0.7425,0.764,0.5122,110673.876,15959.4854,0.7424
43,0,0,0,0,1,0,1,0,1,1,0.8978,0.7598,0.252,0.7422,0.7571,0.5238,105915.6047,16114.6543,0.7413
