,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0.9536,0.6995,0.284,0.8238,0.8436,0.2931,107592.1949,14891.4473,0.8537
1,0,0,0,0,0,0,0,1,0.9532,0.7048,0.2884,0.8238,0.845,0.2938,106202.6672,14716.959,0.8529
2,0,0,0,0,0,0,1,0,0.9524,0.7175,0.2873,0.8139,0.8485,0.3005,103270.867,14807.3369,0.838
3,0,0,0,0,0,0,1,1,0.9489,0.7055,0.2912,0.8102,0.8449,0.2941,105528.9814,14613.6357,0.8364
4,0,0,0,0,0,1,0,0,0.954,0.6995,0.2767,0.8235,0.8426,0.2909,107606.8026,15178.1201,0.8537
5,0,0,0,0,0,1,0,1,0.9489,0.701,0.2635,0.8163,0.8292,0.2931,107338.1343,15192.0654,0.843
6,0,0,0,0,0,1,1,0,0.95,0.7129,0.2775,0.8105,0.8424,0.2948,104393.9947,15126.8838,0.8336
7,0,0,0,0,0,1,1,1,0.945,0.7126,0.2656,0.8009,0.8287,0.2948,104586.5434,15125.4834,0.8212
8,0,0,0,0,1,0,0,0,0.9566,0.764,0.2829,0.8298,0.8481,0.3265,92216.956,14945.7246,0.8536
9,0,0,0,0,1,0,0,1,0.954,0.7661,0.2831,0.8263,0.8446,0.3308,91544.9784,14845.5703,0.8496
10,0,0,0,0,1,0,1,0,0.9494,0.8101,0.2764,0.8055,0.8392,0.3875,81661.5443,14954.1807,0.8256
11,0,0,0,0,1,0,1,1,0.9465,0.8101,0.2752,0.8024,0.8347,0.3875,81715.8681,14870.9883,0.8216
12,0,0,0,0,1,1,0,0,0.9555,0.8503,0.276,0.8234,0.8465,0.6147,66409.88,15214.0684,0.8447
13,0,0,0,0,1,1,0,1,0.952,0.8503,0.2644,0.8239,0.8357,0.6154,66310.4815,15252.1641,0.8453
14,0,0,0,0,1,1,1,0,0.9449,0.8524,0.2634,0.7966,0.8292,0.6213,66397.6596,15333.3945,0.8123
15,0,0,0,0,1,1,1,1,0.941,0.8528,0.2543,0.7916,0.818,0.6224,66247.5638,15331.8672,0.8057
16,0,0,0,1,0,0,0,0,0.9562,0.7013,0.2852,0.829,0.8485,0.2931,107217.4894,15372.8633,0.8591
17,0,0,0,1,0,0,0,1,0.953,0.7031,0.2818,0.8245,0.843,0.2941,106687.2489,15332.2842,0.8535
18,0,0,0,1,0,0,1,0,0.9527,0.7147,0.289,0.8162,0.8493,0.2952,104123.6675,15275.5498,0.8438
