,avg_pressure,total_water_loss,Link,Coef,Leak_id,ID,Diameter,detect_cost,repair_cost,total_cost
0,16.76312,4.2806296,L1,0.00076,Leak_0,L1,63,2349.4675719388347,132.79934514837032,2482.266917087205
1,30.15339,8.2065525,L10,0.00081,Leak_1,L10,20,2346.180618742227,106.71386839105193,2452.894487133279
2,19.077627,4.807562,L1001,0.00075,Leak_2,L1001,63,2350.125514966703,132.72671106672067,2482.852226033424
3,17.867012,4.9227214,L1001,0.00082,Leak_3,L1001,63,2345.523780130676,133.21603613266393,2478.73981626334
4,17.466818,6.103604,L1002,0.00104,Leak_4,L1002,50,2331.1197635634903,121.87486140157804,2452.9946249650684
5,17.289816,6.5065,L1002,0.00112,Leak_5,L1002,50,2325.9038992420747,122.24305417934687,2448.1469534214216
6,18.498386,4.3508215,L1003,0.0007,Leak_6,L1003,32,2353.417994885828,109.11620863576442,2462.5342035215926
7,0.5153661,0.014545691,L1004,8.4e-05,Leak_7,L1004,100,2394.3618330834433,172.47399832055635,2566.8358314039997
8,24.590975,3.387652,L1005,0.00041,Leak_8,L1005,32,2372.605545031374,106.69772506199514,2479.303270093369
9,24.69038,3.4013464,L1005,0.00041,Leak_9,L1005,32,2372.605545031374,106.69772506199514,2479.303270093369
10,24.061361,7.114463,L1006,0.00088,Leak_10,L1006,80,2341.5866083303918,155.9616745874935,2497.5482829178854
11,22.33329,10.505581,L1009,0.0014,Leak_11,L1009,20,2307.7401077718464,109.11881572106377,2416.85892349291
12,5.2198205,2.700943,L101,0.00154,Leak_12,L101,75,2298.711474232581,152.1026349295544,2450.8141091621355
13,22.65829,2.05556,L1010,0.00027,Leak_13,L1010,20,2381.924411813674,101.88540129328895,2483.809813106963
14,23.339437,2.2741945,L1010,0.00029,Leak_14,L1010,20,2380.590907559098,102.19946773873744,2482.7903752978355
15,22.334003,9.005074,L1011,0.0012,Leak_15,L1011,63,2320.6997053809437,135.30411367571875,2456.0038190566625
16,23.410965,10.855199,L1011,0.00138,Leak_16,L1011,63,2309.032804153403,136.07053923607975,2445.1033433894827
17,23.702381,0.3982,L1012,5e-05,Leak_17,L1012,63,2396.642350902784,117.87632434775045,2514.5186752505347
18,23.751076,17.716404,L1013,0.00222,Leak_18,L1013,80,2255.3580421417482,161.8852428434024,2417.2432849851507
19,23.827112,1.0407685,L1013,0.00013,Leak_19,L1013,80,2391.279880246125,143.7195250130028,2534.9994052591273
20,23.67045,8.350937,L1014,0.00105,Leak_20,L1014,80,2330.467141401059,157.09233026829088,2487.55947166935
21,23.900612,0.4336526,L1016,5.4e-05,Leak_21,L1016,25,2396.373941990663,95.58474733459384,2491.9586893252567
22,23.901077,0.53003025,L1016,6.6e-05,Leak_22,L1016,25,2395.568895601521,96.47389700236592,2492.042792603887
23,22.5509,124.26449,L1018,0.0164,Leak_23,L1018,75,1516.293298771148,166.53909317469027,1682.8323919458385
24,22.08291,10.684595,L1019,0.00144,Leak_24,L1019,75,2305.1568857255206,151.6928889201685,2456.849774645689
25,23.166603,5.1374273,L1020,0.00066,Leak_25,L1020,32,2356.0552996550846,108.85018018656507,2464.9054798416496
26,20.95377,0.042242803,L1021,6e-06,Leak_26,L1021,63,2399.5968338669036,106.24923802346922,2505.846071890373
27,21.561106,0.04346719,L1021,6e-06,Leak_27,L1021,63,2399.5968338669036,106.24923802346922,2505.846071890373
28,17.494581,251.05702,L1022,0.04271,Leak_28,L1022,20,725.8504605001452,124.14095926283944,849.9914197629847
29,23.211437,0.7565073,L1023,9.7e-05,Leak_29,L1023,80,2393.4904439786396,141.84501536308446,2535.335459341724
30,22.129086,10.037753,L1025,0.00135,Leak_30,L1025,80,2310.9732065638086,158.70111974761642,2469.674326311425
31,21.343899,5.163517,L1026,0.00072,Leak_31,L1026,160,2352.10044975576,348.6005855314467,2700.7010352872067
32,21.334427,5.734694,L1026,0.0008,Leak_32,L1026,160,2346.8376412943394,350.1206493678724,2696.9582906622118
33,21.27994,0.028600236,L1028,4e-06,Leak_33,L1028,160,2399.731215052238,273.6804329119149,2673.411647964153
34,20.985014,27.99232,L1029,0.00397,Leak_34,L1029,75,2147.5093684411377,157.88200359628868,2305.391372037426
35,10.7224,3.8188903,L103,0.00106,Leak_35,L103,110,2329.814701947253,213.4466234226007,2543.2613253698537
36,10.33036,3.7139704,L103,0.00107,Leak_36,L103,110,2329.1624451509206,213.5282632292579,2542.6907083801784
37,18.660374,20.377121,L1030,0.00325,Leak_37,L1030,75,2191.242506158238,156.66074093015564,2347.9032470883935
38,18.887035,351.69794,L1030,0.05542,Leak_38,L1030,75,508.49939023127996,173.9703737926229,682.4697640239028
39,19.751364,78.37658,L1032,0.01181,Leak_39,L1032,32,1724.2440755296575,121.89135033411574,1846.1354258637732
40,21.277908,0.04289628,L1034,6e-06,Leak_40,L1034,90,2399.5968338669036,136.98830235624573,2536.585136223149
41,24.39614,6.065855,L1035,0.00074,Leak_41,L1035,110,2350.7836422444125,210.32201902901414,2561.1056612734264
42,23.830385,276.80243,L1035,0.03457,Leak_42,L1035,110,911.657176401049,243.74476157843898,1155.401937979488
43,25.856312,10.772777,L1036,0.00124,Leak_43,L1036,60,2318.1019767105213,132.19095516119873,2450.29293187172
44,4.040391,2.9459312,L1037,0.00217,Leak_44,L1037,75,2258.5177546834393,154.19560040990646,2412.713355093346
45,3.092252,3.4079113,L1039,0.00328,Leak_45,L1039,75,2189.402635307007,156.71681718875837,2346.1194524957655
46,3.8496258,0.18108653,L1040,0.00014,Leak_46,L1040,75,2390.6104156090787,137.46846422136844,2528.078879830447
47,3.1704297,1.0439589,L1041,0.00098,Leak_47,L1041,90,2335.03933628548,173.01716051227382,2508.056496797754
48,8.195804,2.8088646,L1042,0.00102,Leak_48,L1042,75,2332.4255562189046,149.58835391368436,2482.013910132589
49,15.086892,16.27212,L1043,0.00321,Leak_49,L1043,50,2193.6980726256684,127.47441757071174,2321.1724901963803
50,16.860025,15.52202,L1043,0.00274,Leak_50,L1043,50,2222.7579337530606,126.68786643866524,2349.445800191726
51,16.932987,18.661505,L1043,0.00328,Leak_51,L1043,50,2189.402635307007,127.58159677206162,2316.9842320790685
52,17.376434,18.858301,L1043,0.00323,Leak_52,L1043,50,2192.469945612657,127.50527685546781,2319.9752224681247
53,18.631348,17.09016,L1043,0.00273,Leak_53,L1043,50,2223.3803931147554,126.66970068214626,2350.050093796902
54,19.14426,17.367668,L1043,0.0027,Leak_54,L1043,50,2225.2488172732546,126.61480146197881,2351.8636187352336
55,11.746966,0.30391753,L1044,7.7e-05,Leak_55,L1044,75,2394.831173996635,133.8199109154863,2528.651084912121
56,11.760196,0.32401696,L1044,8.2e-05,Leak_56,L1044,75,2394.4959211005253,134.2038691606222,2528.6997902611474
57,11.798163,0.33695558,L1044,8.5e-05,Leak_57,L1044,75,2394.2947918906984,134.42315945360008,2528.7179513442984
58,7.1571937,3.7996104,L1047,0.00158,Leak_58,L1047,75,2296.138358595174,152.25912871442702,2448.397487309601
59,8.857629,4.2559137,L1049,0.00143,Leak_59,L1049,75,2305.8024200241084,151.65035966647778,2457.4527796905863
60,8.658796,4.451314,L1049,0.00153,Leak_60,L1049,75,2299.355203563267,152.0628763315643,2451.4180798948314
61,11.17333,6.7951727,L105,0.00181,Leak_61,L105,60,2281.398740079493,134.21460004238833,2415.6133401218813
62,10.0963,5.834856,L1050,0.00172,Leak_62,L1050,110,2287.155114890482,217.65527950708912,2504.810394397571
63,10.09669,5.2922807,L1050,0.00156,Leak_63,L1050,110,2297.4245561776975,216.80635445905634,2514.230910636754
64,10.606066,0.25658187,L1051,7.2e-05,Leak_64,L1051,110,2395.1664738314353,190.063796578554,2585.2302704099893
65,4.779356,0.69052136,L1052,0.00043,Leak_65,L1052,90,2371.277257881271,167.19286645683567,2538.470124338107
66,4.474467,0.64647126,L1052,0.00043,Leak_66,L1052,90,2371.277257881271,167.19286645683567,2538.470124338107
67,3.8807921,0.508539,L1052,0.00039,Leak_67,L1052,90,2373.934576230595,166.50253180239142,2540.4371080329865
68,7.5452147,0.53239006,L1053,0.00021,Leak_68,L1053,63,2385.9294080804098,125.7460308126757,2511.6754388930854
69,7.5631094,0.50824076,L1053,0.0002,Leak_69,L1053,63,2386.597561851835,125.47847565224951,2512.0760375040845
70,7.6265893,0.5637574,L1053,0.00022,Leak_70,L1053,63,2385.261441365851,126.0011369484739,2511.262578314325
71,7.7779264,0.5488107,L1053,0.00021,Leak_71,L1053,63,2385.9294080804098,125.7460308126757,2511.6754388930854
72,7.8380914,0.55305576,L1053,0.00021,Leak_72,L1053,63,2385.9294080804098,125.7460308126757,2511.6754388930854
