,mean_head_loss,length,diameter,current_cost,evaluate_flag
L983,29304.352,63.1,0.02,0,1
L377,52.57026,38,0.02,0,1
L381,4.174246,25.71,0.032,0,1
L1022,1.0911945,5.78,0.02,0,1
L1975,1.0464395,3.31,0.025,3401.766,1
L2042,0.21769662,38.37,0.02,0,1
L194,0.16575976,7.91,0.032,427.6995,1
L367,0.16566513,11,0.02,0,1
L1425,0.11216929,3.31,0.063,119.7105,1
L2446,0.104533955,37.25,0.075,0,1
L1156,0.09227801,30.06,0.09,6510.996,1
L3120,0.08464725,0.11,0.02,37.1685,1
L2093,0.081585184,5.12,0.02,93.183,1
L1151,0.076249264,0.59,0.063,53.27775,1
L1347,0.074223116,4.05,0.032,249.884,1
L466,0.06782896,14.59,0.032,0,1
L634,0.06542121,14.91,0.032,0,1
L61,0.06471894,55.15,0.032,0,1
L1345,0.06390862,7.5,0.032,143.439,1
L2848,0.06332869,1.61,0.11,979.342,1
L1153,0.052775424,30.21,0.063,0,1
L2043,0.05210947,15.86,0.02,678.2815,1
L1152,0.051670086,60.65,0.063,0,1
L130,0.05042906,15.52,0.032,306.9455,1
L2041,0.05027111,1.53,0.02,0,1
L2865,0.047793712,2.19,0.075,0,1
L2447,0.044711143,64.03,0.075,0,1
L3271,0.032811206,11.09,0.125,9304.594,1
L909,0.03263077,32.93,0.063,1273.14625,1
L1569,0.030239798,131.91,0.11,0,1
L1465,0.029958049,9.6,0.14,0,1
L2525,0.027944054,17.27,0.11,0,0
L2847,0.027755704,23.32,0.11,1557.776,1
L349,0.027105082,45.9,0.032,800.955,0
L342,0.026872698,63.95,0.06,0,1
L1950,0.026716784,14.88,0.063,542.376,0
L346,0.026162818,19.71,0.06,0,0
L1545,0.026052458,10.89,0.075,385.23375,1
L3119,0.025387514,0.17,0.02,38.5645,0
L1467,0.025018351,77.89,0.14,0,1
L436,0.022875872,2.45,0.06,0,0
L1466,0.022810379,31.01,0.14,0,1
L171,0.021893745,7.03,0.032,142.2175,0
L55,0.021757936,4.26,0.02,134.365,1
L2450,0.021440264,0.23,0.075,0,0
L3115,0.021055253,43.94,0.06,0,1
L360,0.021036053,6.08,0.02,0,0
L1450,0.02064229,55.44,0.075,0,0
L1386,0.020478021,125.22,0.063,0,1
L1568,0.020160522,22.09,0.11,0,0
L1063,0.02004231,89.97,0.063,0,0
L1032,0.020019034,42.84,0.032,0,1
L58,0.019993337,138.1,0.06,0,1
L1592,0.019790769,24.03,0.11,0,0
L407,0.019722393,3.36,0.02,0,1
L1227,0.01947788,76.63,0.09,0,0
L2623,0.019116499,4.76,0.04,1539.439,0
L1963,0.018951127,24.22,0.1,7932.05,1
L1653,0.018764773,168.01,0.075,0,0
L51,0.018693041,3.72,0.06,162.791238,0
L1143,0.018680751,65.9,0.06,0,1
L2519,0.018639596,125.53,0.075,0,0
L813,0.01859175,0.64,0.06,0,1
L33,0.018381085,13.45,0.06,263.48281,0
L406,0.017987667,115.29,0.06,0,0
L453,0.01795348,4.1,0.025,110.4585,1
L2291,0.017723175,10.5,0.063,0,0
L363,0.017230663,61.05,0.02,1065.3225,0
L1541,0.017064475,139.74,0.125,0,1
L503,0.016631106,21.36,0.2,0,0
L1382,0.01656045,112.73,0.11,0,1
L981,0.016428811,2.23,0.02,0,0
L1525,0.016363297,33.17,0.11,0,1
L2508,0.016222108,101.67,0.075,0,0
L1009,0.0161291,21.33,0.02,0,1
L761,0.016035378,2.02,0.06,0,0
L1508,0.015921326,51.21,0.11,0,1
L1472,0.015877638,71.44,0.125,0,0
L1638,0.01574924,103.75,0.075,0,1
L2727,0.01573994,55.95,0.063,1226.70375,0
L1385,0.015727846,47.83,0.063,0,0
L1637,0.015714683,2.37,0.075,0,1
L1816,0.015691891,92.31,0.063,0,0
L244,0.015542822,2,0.06,45.644234,0
L796,0.015404915,6.64,0.032,135.5865,0
L347,0.015292579,5.31,0.06,188.06208,0
L1387,0.014923209,89.81,0.11,0,0
L1381,0.014839825,25.45,0.11,0,0
L305,0.01481371,5.42,0.063,1265.29175,1
L362,0.014768682,83.08,0.02,1471.2095,0
L3164,0.014677726,104.79,0.06,0,0
L3245,0.014528562,1.62,0.25,2312,1
L390,0.014518722,16.44,0.06,322.056312,1
L1635,0.014453255,16.14,0.11,0,0
L1634,0.014337193,1.23,0.11,944.216,0
L348,0.014320831,0.01,0.06,93.639244,0
L2861,0.014110314,22.31,0.063,0,0
L1010,0.013914855,3.98,0.02,0,1
L341,0.013872602,131.07,0.06,0,0
L2754,0.013868094,44.16,0.11,0,0
L3277,0.013843241,15.58,0.06,0,0
L1478,0.013591014,6.47,0.125,0,0
L759,0.013459767,14.75,0.02,802.8745,0
L659,0.013446765,11,0.06,0,0
L1150,0.013292659,71.85,0.06,0,1
L1273,0.013268306,4.56,0.05,161.028156,0
L890,0.013259552,17.42,0.06,341.254316,0
L350,0.01313868,2.55,0.032,0,0
L1473,0.012972027,7.29,0.125,0,0
L636,0.012886383,64.06,0.02,1239.4735,1
L419,0.012681896,26.21,0.06,0,0
L6,0.012525107,158.89,0.1,0,0
L2449,0.012360679,45.28,0.11,1601.78,1
L907,0.012246739,2.84,0.063,230.2125,0
L1388,0.012217798,116.81,0.063,0,0
L1503,0.012213781,283.97,0.063,0,1
L300,0.011914499,1.86,0.032,58.632,0
L2292,0.011908593,0.82,0.063,103.26675,0
L2361,0.011882716,175.98,0.063,0,0
L3114,0.011872409,29.28,0.02,510.936,0
L2533,0.011869284,1.23,0.11,355.687,0
L815,0.011828152,24.5,0.02,0,0
L2892,0.011818262,129.71,0.11,0,0
L2851,0.011736298,3.52,0.11,0,0
L1949,0.01162809,170.96,0.09,6047.71,1
L366,0.011599909,49.34,0.02,0,0
L175,0.011264693,15.94,0.02,0,1
L60,0.011236262,18.65,0.06,0,0
L1519,0.011229096,92.97,0.075,0,0
L1507,0.011218809,185.54,0.11,0,0
L1526,0.011179198,3.01,0.11,0,1
L2490,0.011094592,7.87,0.063,0,0
L391,0.011085584,45.53,0.06,0,1
L765,0.011009734,61.59,0.02,1074.7455,0
L1521,0.010934706,10.83,0.075,0,0
L165,0.010874922,27.85,0.032,0,0
L298,0.010857287,50.89,0.032,0,0
L240,0.010797641,3.73,0.06,0,0
L1539,0.010777227,13.08,0.075,0,0
L709,0.010746869,112.84,0.06,0,0
L382,0.010672512,1.09,0.032,0,0
L2434,0.010649378,2.38,0.063,98.88175,1
L1477,0.010603603,54.45,0.125,0,0
L1540,0.01057741,58.26,0.125,0,0
L2458,0.010506554,6.09,0.35,0,0
L371,0.010422999,55.55,0.032,0,1
L43,0.010399865,29.09,0.06,0,0
L21,0.010378068,78.83,0.1,0,0
L1752,0.010235112,9.16,0.075,0,0
L1198,0.010204472,61.62,0.11,0,0
L1544,0.010142891,65.4,0.09,2984.463,0
L1566,0.010107972,12.69,0.063,0,0
L1333,0.0100727,37.32,0.063,0,0
L753,0.009975081,4.46,0.02,163.8555,0
L3267,0.009916641,0.55,0.09,116.232,1
L2433,0.009861128,5.5,0.063,126.7265,0
L1168,0.009848597,53.6,0.063,1175.18,0
L1498,0.00981174,36.02,0.125,0,0
L1479,0.009774375,26.58,0.125,0,0
L2201,0.00968775,64.39,0.04,0,0
L1707,0.00963261,15.62,0.063,0,0
L2437,0.009574028,2.23,0.063,97.12775,0
L641,0.009556931,30.56,0.06,0,0
L1482,0.009556833,73.74,0.125,0,0
L764,0.009537102,19.22,0.02,0,0
L3118,0.009512484,30.63,0.02,0,0
L1840,0.009419045,3.76,0.063,124.0955,0
L86,0.009418837,16.88,0.04,0,0
L1374,0.009375356,638.33,0.35,0,0
L828,0.009361372,13.65,0.06,735.009296,0
L2887,0.009357748,23.49,0.125,0,0
L1517,0.00928222,35.16,0.075,0,0
L752,0.009263559,15.64,0.032,830.271,0
L410,0.009254947,79.56,0.032,0,0
L804,0.009202198,45.13,0.02,0,0
L1524,0.009121196,50.97,0.125,0,0
L1510,0.00899257,9.29,0.063,0,0
L3236,0.008972859,125.22,0.075,0,0
L1548,0.008935981,191,0.075,0,0
L1654,0.008922089,16.01,0.11,0,0
L464,0.008864788,90.6,0.06,0,0
L1373,0.008803116,2.49,0.35,0,0
L388,0.008772919,138.02,0.2,0,1
L814,0.008647801,96.93,0.06,0,0
L1594,0.008628587,6.58,0.125,0,0
L2088,0.008607484,29.86,0.06,584.951428,0
L2455,0.0085606,2.02,0.35,0,0
L2499,0.0085396,8.24,0.075,0,0
L2459,0.008536371,320.14,0.35,0,0
L1334,0.008528259,160.74,0.125,0,0
L1480,0.008455969,6.11,0.125,0,0
L1817,0.008455895,124.79,0.063,0,0
L474,0.008415326,56.01,0.06,0,0
L1211,0.008377275,444.95,0.075,0,0
L2421,0.008301234,25.8,0.16,0,0
L352,0.008291565,1.46,0.02,166.6475,0
L1688,0.008284466,72.6,0.075,0,0
L794,0.008241257,95.48,0.032,0,0
L585,0.008204301,158.13,0.15,0,0
L174,0.008187116,10.17,0.02,496.4525,0
L1543,0.008186288,158.89,0.09,0,1
L649,0.008158931,188.75,0.06,0,0
L2293,0.008150322,9.3,0.11,424.14625,0
L1443,0.008144281,25.65,0.35,0,0
L2515,0.008128127,182.61,0.35,0,0
L1200,0.008117913,4.71,0.11,383.81875,0
L1441,0.008107996,83.52,0.35,0,0
L795,0.008075451,82.13,0.032,0,0
L384,0.008069632,72.18,0.2,0,1
L639,0.008046541,24.1,0.06,0,0
L713,0.008037277,2.28,0.06,45.252438,0
L565,0.007976093,2.49,0.075,155.961,0
L379,0.007975434,13.16,0.02,0,0
L2426,0.007959651,6.86,0.063,0,0
L1209,0.007913084,163.55,0.2,0,0
L1442,0.007909996,132.71,0.35,0,0
L782,0.007885696,28.5,0.05,0,0
L1448,0.007882346,158.6,0.063,0,0
L147,0.007881535,63.88,0.032,0,0
L1644,0.007876818,136.02,0.075,0,0
L1231,0.007874214,4.24,0.075,246.078,0
L616,0.007871035,34.72,0.063,1633.19325,0
L2501,0.00786157,2.11,0.075,67.797,0
L1449,0.007859454,42.11,0.35,0,0
L231,0.007850349,1.14,0.032,0,0
L564,0.007837794,125.22,0.075,0,0
L1438,0.0078234,19.7,0.35,0,0
L1648,0.007819035,1.25,0.063,238.824,0
L811,0.007803925,67.1,0.08,0,0
L1392,0.007794614,24.14,0.075,0,0
L2617,0.007744244,52.74,0.11,1865.6775,0
L1447,0.007717551,22.44,0.35,0,0
L1454,0.007716714,132.81,0.35,0,0
L200,0.007709937,93.29,0.08,0,0
L1024,0.00769725,72.34,0.08,0,0
L387,0.007671577,0.07,0.2,4881.494,1
L760,0.007671459,16.87,0.02,294.3815,0
L35,0.00766618,4.55,0.032,146.7545,0
L1027,0.007662568,63.01,0.032,0,0
L1437,0.007632118,12.39,0.35,0,0
L789,0.007597544,53.91,0.02,940.7295,0
L163,0.007574601,16.5,0.06,640.86775,0
L427,0.007548517,6.95,0.02,0,0
L2085,0.007536677,6.67,0.35,0,0
L2230,0.007528366,0.51,0.075,0,0
L1461,0.007511729,10.91,0.35,0,0
L187,0.007501334,75.28,0.1,0,0
L805,0.007465717,21.58,0.02,0,0
L1391,0.007447588,81.35,0.11,0,0
L1453,0.007436576,30.43,0.35,0,0
L3077,0.007426241,49.25,0.063,2090.11025,0
L1439,0.007421786,208.2,0.35,0,0
L1348,0.007391,55.79,0.06,0,0
L372,0.007317524,2.37,0.02,0,0
L756,0.007298541,2.41,0.06,0,0
L319,0.00725902,18.32,0.02,0,0
L1134,0.007256291,7.86,0.16,8017.2,1
L2095,0.007242458,95.33,0.35,0,0
L2363,0.007219701,33.12,0.063,0,0
L52,0.007105883,2.57,0.16,6747.238,1
L757,0.007092656,73.91,0.032,0,0
L2420,0.007071853,6.15,0.16,4655.82,0
L2517,0.007061445,95.45,0.35,0,0
L473,0.007049643,28.91,0.06,0,0
L770,0.007044308,99.77,0.08,0,0
L1784,0.007010796,10.55,0.06,0,0
L1199,0.007002063,29.92,0.2,0,0
L1957,0.006984479,100.72,0.11,3562.97,0
L170,0.006969317,12.4,0.06,278.17516,0
L1452,0.006968667,134.9,0.35,0,0
L762,0.006958074,94.19,0.063,0,0
L562,0.006930546,16.41,0.075,0,0
L2852,0.006864537,46.86,0.063,1027.4055,0
L984,0.006855725,4.51,0.02,119.5325,0
L1051,0.006853834,2.95,0.11,289.72125,0
L2500,0.006848376,25.83,0.35,0,0
L2493,0.006819454,23.29,0.063,737.1185,0
L1684,0.006794545,13.5,0.025,0,0
L1766,0.00678102,21.02,0.04,0,0
L378,0.006780961,21.59,0.02,0,0
L1230,0.006751921,19.79,0.075,0,0
L1061,0.00674314,106.09,0.075,0,0
L385,0.006730418,1.14,0.2,6747.238,1
L186,0.006694551,12.86,0.1,0,0
L264,0.006684804,66.99,0.06,0,0
L2435,0.006681135,5.68,0.063,133.304,0
L287,0.006675231,80.58,0.075,0,0
L1779,0.006673752,2.76,0.04,0,0
L380,0.006655953,69.33,0.032,0,0
L1440,0.006635062,198.9,0.35,0,0
L2843,0.006605488,28.97,0.063,0,0
L1783,0.006592488,134.56,0.06,0,0
L422,0.006576982,6.14,0.1,0,0
L1066,0.006572814,113.33,0.075,0,0
L853,0.006548564,13.86,0.06,0,0
L1389,0.006506822,30.48,0.11,0,0
L2801,0.006492503,3.36,0.11,247.473,0
L2950,0.006480698,19.53,0.063,0,0
L1036,0.006470409,9.82,0.06,0,0
L1780,0.006437244,121.72,0.04,0,0
L1955,0.006424458,173.93,0.075,0,0
L1512,0.006399194,50.68,0.075,0,0
L2314,0.006351881,3.82,0.09,0,0
L2881,0.006337705,111.16,0.16,0,0
L2890,0.00633371,161.71,0.075,0,0
L1224,0.006285173,78.76,0.075,0,0
L192,0.006250917,19.96,0.02,1047.349,0
L2090,0.006245748,10,0.125,0,0
L1228,0.006240103,116.44,0.09,0,0
L2845,0.006234868,65.43,0.11,0,0
L331,0.006210948,25.09,0.06,700.011,0
L1471,0.006196308,4.9,0.14,0,0
L2413,0.006193405,190.92,0.11,0,0
L2528,0.006187805,3.38,0.16,958.215,0
L776,0.006184769,4.53,0.032,113.425,0
L1232,0.006176958,69.87,0.075,0,0
L2518,0.006151915,444.88,0.35,0,0
L2462,0.006136877,3.74,0.11,250.455,0
L1076,0.006126452,36.31,0.16,0,1
L737,0.006123334,78.9,0.08,0,0
L1475,0.006117047,46.68,0.14,0,0
L1759,0.00610852,1.41,0.063,0,0
L89,0.006096161,15.76,0.06,308.735248,0
L439,0.00608686,46.37,0.032,0,0
L615,0.0060849,0.05,0.063,121.026,0
L1940,0.006067398,110.73,0.04,0,0
L2087,0.006060641,93.67,0.075,0,0
L1229,0.006054828,90.49,0.075,0,0
L1144,0.006019282,22.32,0.032,0,0
L1225,0.006015842,58.27,0.075,0,0
L214,0.006009498,53.96,0.02,0,0
L1085,0.005982911,118.51,0.02,0,0
L10,0.005965428,127.27,0.02,0,0
L1708,0.005954887,214.35,0.075,0,0
L769,0.005935407,0.01,0.1,0,0
L2738,0.005928045,164.24,0.063,0,0
L598,0.005925828,94.92,0.2,0,1
L2451,0.005925617,0.69,0.4,269.05,0
L1770,0.005885637,0.92,0.063,0,0
L2842,0.005881996,47.39,0.11,0,0
L361,0.005879321,115.89,0.02,0,0
L1643,0.005848407,78.84,0.063,1976.758,0
L2728,0.00584553,36.41,0.063,0,0
L1863,0.00583789,77.7,0.032,0,0
L2448,0.005825727,35.75,0.11,0,0
L481,0.005823692,5.59,0.06,0,0
L2619,0.005805025,98.47,0.14,0,0
