Leak_id,avg_pressure,total_water_loss,Link,Coef,Link_id,ID,Diameter,detect_cost,repair_cost,total_cost,rank,evaluate_flag
Leak_525,41.87751,237.59698,L1433,0.03223,L1433,L1433,110,973.3892138,243.1353713,1216.524585,0.195308001,1
Leak_1832,38.09082,224.44328,L2463,0.03348,L2463_1,L2463,110,939.9098969,243.4662047,1183.376102,0.189663525,1
Leak_228,13.463309,163.17615,L119,0.07201,L119,L119,100,319.5596698,225.3873663,544.9470361,0.299434875,1
Leak_1557,43.06372,137.6124,L2224,0.01815,L2224,L2224,63,1443.785866,150.2000093,1593.985875,0.086332256,1
Leak_211,17.575499,112.53368,L1175,0.03779,L1175_1,L1175,75,833.0586237,171.6335888,1004.692213,0.112008118,1
Leak_2786,12.906824,103.22846,L3277,0.04752,L3277,L3277,60,634.3900692,151.6991176,786.0891868,0.131319021,1
Leak_204,18.83604,100.91144,L1169,0.03153,L1169_2,L1169,90,992.6558385,197.5592262,1190.215065,0.084784205,1
Leak_1730,30.327782,95.0219,L2365,0.01822,L2365_2,L2365,140,1440.958817,324.5477596,1765.506577,0.053821321,1
Leak_3154,18.559958,92.26938,L634,0.02903,L634_2,L634,32,1064.631508,125.9576228,1190.589131,0.077498926,1
Leak_2243,21.78463,84.65971,L2821,0.02289,L2821_1,L2821,110,1264.338091,240.1601088,1504.4982,0.056271063,1
Leak_533,57.293587,83.711555,L1443,0.0083,L1443_1,L1443,350,1902.30962,1543.113688,3445.423308,0.02429645,1
Leak_1827,51.25351,82.78325,L2459,0.00916,L2459,L2459,350,1857.049128,1548.831522,3405.880649,0.024305975,1
Leak_532,57.30013,82.50307,L1443,0.00818,L1443,L1443,350,1908.71213,1542.269076,3450.981207,0.023907133,1
Leak_42,12.702465,72.66852,L1035,0.03457,L1035_1,L1035,110,911.6571764,243.7447616,1155.401938,0.062894579,1
Leak_486,39.861374,72.400116,L1394,0.01032,L1394,L1394,110,1797.7012,233.2338675,2030.935067,0.035648661,1
Leak_23,24.761286,70.228455,L1018,0.0164,L1018,L1018,75,1516.293299,166.5390932,1682.832392,0.041732293,1
Leak_2408,14.240897,69.73384,L298,0.02899,L298,L298,32,1065.824563,125.9513888,1191.775952,0.058512542,1
Leak_546,45.69914,66.34156,L1453,0.00827,L1453,L1453,350,1903.908231,1542.903686,3446.811917,0.019247224,1
Leak_2039,12.455363,64.0649,L2646,0.03127,L2646,L2646,110,999.9087415,242.8724602,1242.781202,0.051549624,1
Leak_3310,21.954092,62.19443,L775,0.01646,L775_1,L775,63,1513.748065,149.6640378,1663.412102,0.037389671,1
Leak_2199,11.504713,61.64686,L2781,0.03275,L2781_3,L2781,63,959.319344,153.4367216,1112.756066,0.055400155,1
Leak_2817,17.567644,61.282516,L358,0.02037,L358,L358,60,1356.772527,147.1667695,1503.939296,0.040747999,1
Leak_1684,42.500732,60.931244,L2320,0.00817,L2320_1,L2320,90,1909.246645,188.0109751,2097.25762,0.029052818,1
Leak_1887,49.191605,60.90795,L2509,0.00705,L2509,L2509,110,1970.069335,229.9207461,2199.990081,0.027685557,1
Leak_1927,30.385954,59.22112,L2551,0.01132,L2551,L2551,110,1748.063733,234.0380055,1982.101739,0.029877941,1
Leak_531,56.711773,59.002796,L1442,0.00591,L1442,L1442,350,2033.968351,1523.417792,3557.386143,0.016585997,1
Leak_548,40.898186,58.497784,L1453,0.00816,L1453_2,L1453,350,1909.781309,1542.127104,3451.908412,0.016946505,1
Leak_114,19.915794,58.357735,L1091,0.01702,L1091,L1091,75,1490.197613,166.7655592,1656.963172,0.035219693,1
Leak_1886,75.432045,58.05866,L2507,0.00436,L2507,L2507,110,2124.186143,225.7425195,2349.928662,0.024706562,1
Leak_547,44.795097,57.468258,L1453,0.00731,L1453_1,L1453,350,1955.779309,1535.747527,3491.526835,0.016459349,1
Leak_2420,11.00382,54.95466,L2989,0.03011,L2989_1,L2989,200,1032.918961,578.3736515,1611.292613,0.034105946,1
Leak_3534,7.376741,54.471413,L948,0.04449,L948_1,L948,60,690.5607967,151.3465928,841.9073895,0.064700005,1
Leak_1270,15.354918,53.60967,L1980,0.02083,L1980,L1980,75,1339.409356,167.998381,1507.407737,0.035564146,1
Leak_551,46.737366,51.944912,L1456,0.00633,L1456,L1456,63,2010.18898,144.4235445,2154.612524,0.024108702,1
Leak_3419,21.664633,51.246685,L86,0.01379,L86,L86,40,1631.253499,126.9445028,1758.198002,0.029147277,1
Leak_2824,14.885856,50.537277,L367,0.01976,L367,L367,20,1380.145236,120.7533638,1500.8986,0.033671347,0
Leak_818,9.276016,50.42361,L1660,0.03354,L1660,L1660,100,938.332174,219.4011576,1157.733332,0.043553735,0
Leak_695,21.71142,50.30709,L1559,0.01357,L1559,L1559,110,1641.333034,235.6142486,1876.947283,0.026802613,0
Leak_1896,45.50039,47.971672,L2519,0.00601,L2519,L2519,75,2028.281205,160.4126335,2188.693839,0.021917945,1
Leak_1895,53.694183,46.156487,L2515,0.00489,L2515,L2515,350,2092.895968,1512.430305,3605.326273,0.012802305,0
Leak_39,21.747507,44.29139,L1032,0.01181,L1032,L1032,32,1724.244076,121.8913503,1846.135426,0.023991409,0
Leak_838,23.259556,43.709435,L1680,0.01104,L1680,L1680,75,1761.822417,164.1238229,1925.94624,0.022695044,0
Leak_2212,7.4772716,43.678432,L2797,0.03725,L2797_1,L2797,125,845.7501765,285.6857827,1131.435959,0.038604423,1
Leak_1546,62.061577,43.03638,L2215,0.00393,L2215_1,L2215,75,2149.915926,157.8202013,2307.736128,0.018648744,1
Leak_138,18.400806,41.468765,L1110,0.01312,L1110,L1110,63,1662.144668,148.4203387,1810.565007,0.02290377,0
Leak_1545,62.664295,41.14259,L2215,0.00372,L2215,L2215,75,2162.594671,157.4850547,2320.079726,0.017733265,0
Leak_3397,13.001123,38.77124,L844,0.01771,L844_1,L844,60,1461.68333,146.4180527,1608.101383,0.024109948,0
Leak_1576,44.288918,38.44565,L2231,0.00492,L2231,L2231,75,2091.138673,159.1913396,2250.330013,0.017084449,0
Leak_455,35.871124,37.42989,L1367,0.00593,L1367_1,L1367,110,2032.829647,228.416555,2261.246202,0.016552771,0
Leak_545,56.14107,35.840733,L1452,0.00363,L1452,L1452,350,2168.051282,1495.149931,3663.201213,0.009783992,1
Leak_2067,12.560405,35.355507,L2665,0.0171,L2665,L2665,90,1486.863306,193.2331767,1680.096483,0.021043736,0
Leak_1269,11.766942,34.863094,L198,0.01779,L198,L198,100,1458.412824,214.4331741,1672.845998,0.020840588,0
Leak_2234,22.497768,34.648388,L2815,0.00906,L2815_1,L2815,110,1862.256152,232.1017065,2094.357858,0.016543681,0
Leak_1729,29.935848,34.27066,L2365,0.00666,L2365_1,L2365,140,1991.700382,312.624377,2304.324759,0.014872322,0
Leak_2357,10.17463,32.50588,L2928,0.01955,L2928,L2928,63,1388.284396,150.607481,1538.891877,0.021122912,1
Leak_2982,12.517924,31.961554,L485,0.01494,L485_1,L485,75,1579.563807,165.9700618,1745.533869,0.018310475,0
Leak_3090,9.7062,31.877876,L570,0.01984,L570,L570,75,1377.057171,167.7012043,1544.758375,0.020636157,0
Leak_3122,21.553963,31.759668,L603,0.00859,L603,L603,63,1886.92541,146.0977383,2033.023148,0.015621892,1
Leak_1728,26.98219,30.19857,L2365,0.00653,L2365,L2365,140,1998.963382,312.3908316,2311.354214,0.013065315,1
Leak_1841,42.350483,28.923265,L2471,0.00388,L2471,L2471,110,2152.927917,224.7284111,2377.656328,0.012164611,0
Leak_1851,40.4729,28.710457,L2480,0.00403,L2480_1,L2480,110,2143.904582,225.058207,2368.962789,0.012119421,0
Leak_2561,8.71049,28.32679,L3086,0.02007,L3086,L3086,90,1368.217417,194.3654712,1562.582889,0.018128184,1
Leak_3270,37.646057,27.903307,L74,0.00427,L74,L74,250,2129.545842,798.1395107,2927.685353,0.009530842,0
Leak_1782,51.471367,27.559607,L2416,0.00304,L2416,L2416,63,2204.164967,140.4014965,2344.566463,0.011754671,0
Leak_1901,35.178585,26.744026,L2525,0.0044,L2525,L2525,110,2121.808386,225.8219226,2347.630309,0.011391924,1
Leak_2692,44.18152,26.723778,L3181,0.00345,L3181_2,L3181,75,2179.005843,157.0252028,2336.031046,0.011439821,0
Leak_456,37.57907,26.521574,L1369,0.00401,L1369,L1369,63,2145.105504,141.9201437,2287.025648,0.011596535,0
Leak_1918,32.598434,26.19583,L2544,0.00466,L2544,L2544,110,2106.417711,226.3210861,2332.738797,0.011229645,0
Leak_1853,38.628326,25.832598,L2480,0.0038,L2480_3,L2480,110,2157.75588,224.5472676,2382.303148,0.010843539,0
Leak_1852,40.09576,25.615923,L2480,0.00363,L2480_2,L2480,110,2168.051282,224.1493306,2392.200613,0.0107081,1
Leak_2405,31.399815,25.20265,L2975,0.00467,L2975,L2975,75,2105.827997,158.8730755,2264.701072,0.011128467,0
Leak_594,28.077375,24.813843,L1491,0.00505,L1491,L1491,63,2083.540765,143.1846899,2226.725455,0.011143647,0
Leak_2914,17.990347,24.781057,L437,0.00799,L437,L437,140,1918.893537,314.7814761,2233.675014,0.011094299,1
Leak_2392,3.7848773,24.695568,L2960,0.04163,L2960,L2960,90,748.135429,199.5239364,947.6593653,0.026059541,1
Leak_2690,43.90514,24.014887,L3181,0.00312,L3181,L3181,75,2199.233163,156.4116074,2355.64477,0.010194613,1
Leak_526,41.97089,23.938042,L1435,0.00324,L1435,L1435,63,2191.85614,140.7509008,2332.607041,0.010262355,0
Leak_2125,10.936742,23.796572,L2713,0.01337,L2713,L2713,63,1650.550283,148.5238487,1799.074132,0.013227121,0
Leak_1854,36.749126,23.79635,L2480,0.00368,L2480_4,L2480,110,2165.018134,224.2682733,2389.286407,0.009959606,0
Leak_270,26.068071,23.59645,L1224,0.00528,L1224,L1224,75,2070.165876,159.6223132,2229.788189,0.010582373,1
Leak_2691,43.980965,23.594606,L3181,0.00306,L3181_1,L3181,75,2202.93098,156.2931003,2359.22408,0.010001003,0
Leak_1541,41.60282,23.363848,L2210,0.00319,L2210,L2210,110,2194.926888,223.0258895,2417.952777,0.009662657,0
Leak_1894,52.075718,22.791262,L2514,0.00249,L2514,L2514,75,2238.371824,155.0350913,2393.406915,0.009522519,0
Leak_504,40.339714,22.791195,L1406,0.00321,L1406,L1406,90,2193.698073,181.4059019,2375.103975,0.009595873,0
Leak_2540,26.900822,22.599216,L3068,0.0049,L3068_2,L3068,100,2092.310039,204.3311373,2296.641176,0.009840116,1
Leak_259,12.641332,22.249487,L1213,0.01059,L1213,L1213,75,1784.161822,163.8698505,1948.031672,0.011421522,0
Leak_1833,38.379826,22.090271,L2463,0.00327,L2463_2,L2463,110,2190.015754,223.241246,2413.257,0.009153717,0
Leak_2539,27.168468,21.713621,L3068,0.00466,L3068_1,L3068,100,2106.417711,203.9376819,2310.355393,0.00939839,0
Leak_1831,35.94859,21.696619,L2463,0.00343,L2463,L2463,110,2180.226428,223.6565883,2403.883016,0.009025655,0
Leak_3143,22.956316,21.401258,L624,0.00543,L624,L624,40,2061.489413,122.5811422,2184.070555,0.009798794,1
Leak_727,25.55063,21.247246,L1585,0.00484,L1585,L1585,63,2095.828074,142.9517739,2238.779848,0.009490547,0
Leak_1647,17.580427,21.143305,L2297,0.00715,L2297,L2297,63,1964.560856,145.091537,2109.652393,0.010022175,0
Leak_1547,58.799515,21.062147,L2216,0.00203,L2216,L2216,63,2267.38852,138.1870217,2405.575541,0.008755554,1
Leak_2538,27.531681,21.018991,L3068,0.00445,L3068,L3068,100,2118.839933,203.5764146,2322.416347,0.009050484,0
Leak_3267,22.944246,20.922092,L736,0.00529,L736_1,L736,80,2069.586311,167.4437366,2237.030047,0.00935262,1
Leak_2542,25.09089,20.77643,L3068,0.00484,L3068_4,L3068,100,2095.828074,204.2346103,2300.062684,0.009032984,0
Leak_726,19.780006,20.429638,L1582,0.00606,L1582,L1582,75,2025.443598,160.4631966,2185.906795,0.00934607,0
Leak_1138,23.232107,20.405397,L19,0.00508,L19,L19,32,2081.791326,118.0771236,2199.868449,0.009275735,0
Leak_3538,4.380338,20.157393,L953,0.02854,L953,L953,63,1079.338914,152.6821717,1232.021086,0.01636124,1
Leak_717,22.244108,20.136774,L1575,0.00529,L1575,L1575,63,2069.586311,143.4393024,2213.025613,0.009099205,0
Leak_317,20.534557,19.769773,L1261,0.00567,L1261,L1261,110,2047.682646,228.0267328,2275.709379,0.008687301,0
Leak_1846,42.71661,19.672573,L2478,0.00261,L2478_1,L2478,110,2230.863516,221.281143,2452.144659,0.008022599,0
Leak_271,20.773485,19.12602,L1224,0.00541,L1224_1,L1224,75,2062.64417,159.7707546,2222.414924,0.008605963,0
Leak_127,19.805338,18.987942,L1102,0.00557,L1102,L1102,75,2053.424192,159.9486301,2213.372822,0.008578736,0
Leak_1393,23.123795,18.944796,L21,0.00474,L21,L21,100,2101.704616,204.0710413,2305.775657,0.008216235,0
Leak_1882,66.68671,18.720943,L2504,0.00159,L2504_1,L2504,75,2295.49553,152.2976331,2447.793163,0.00764809,0
Leak_784,25.881508,18.613935,L1623,0.00419,L1623,L1623,75,2134.321371,158.2111626,2292.532534,0.008119377,1
Leak_2422,12.686052,18.612474,L2989,0.00877,L2989_3,L2989,200,1877.439231,552.7988006,2430.238032,0.007658704,0
Leak_1548,58.14732,18.573704,L2216,0.00181,L2216_1,L2216,63,2281.39874,137.5579816,2418.956722,0.007678394,0
Leak_2541,25.775106,18.31735,L3068,0.00415,L3068_3,L3068,100,2136.713151,203.0295877,2339.742738,0.007828788,0
Leak_3438,11.087822,17.873129,L877,0.00963,L877,L877,60,1832.770465,143.1582759,1975.928741,0.009045432,1
Leak_552,46.299118,17.86552,L1458,0.0022,L1458,L1458,75,2256.621396,154.2793947,2410.900791,0.007410309,0
Leak_2423,12.727702,17.803907,L2989,0.00836,L2989_4,L2989,200,1899.116423,551.8061277,2450.92255,0.007264166,1
Leak_1845,43.611004,17.7719,L2478,0.00231,L2478,L2478,110,2249.681695,220.2195118,2469.901207,0.007195389,0
Leak_1204,4.301922,17.66045,L1940,0.02779,L1940,L1940,40,1102.244701,130.2251185,1232.469819,0.014329316,0
Leak_1962,30.779924,17.597965,L2580,0.00332,L2580,L2580,160,2186.951877,370.6522071,2557.604084,0.006880645,1
Leak_2104,6.134786,17.501465,L2694,0.01862,L2694_2,L2694,90,1424.910119,193.8352691,1618.745388,0.010811747,0
Leak_441,18.841005,17.482159,L1352,0.00544,L1352,L1352,75,2060.912276,159.8045035,2220.71678,0.007872304,0
