element,action,new_diameter_m,d_cost,so,1,2,3,4,5,6,7,8,9,leak_pipe_diameter_mm,d_benefit,mb
Leak_1999,leak,,2383.7294,8.970912159,0.839442963,0.497358225,0.499995321,0.604399663,0.585472647,0.147234942,180502.3339,14679.0625,0.636465489,125,0.029087841,1.22E-05
Leak_594,leak,,2211.944547,8.972996826,0.840157919,0.498414935,0.501728359,0.603273931,0.588714692,0.147234942,180463.0183,14689.82813,0.629031921,63,0.027003174,1.22E-05
Leak_1553,leak,,2506.350228,8.96947937,0.840386454,0.495244805,0.50036528,0.605141297,0.585641427,0.147234942,180952.2601,14648.65234,0.635696189,63,0.03052063,1.22E-05
Leak_3316,leak,,2391.394038,8.970851334,0.840174693,0.497710461,0.500956922,0.605033264,0.586296682,0.147234942,180444.6543,14679.59961,0.633118561,60,0.029148666,1.22E-05
Leak_2139,leak,,1729.661744,8.978890367,0.839971318,0.496653751,0.501491988,0.603441069,0.587419803,0.147234942,180593.5884,14646.96484,0.630671798,63,0.021109633,1.22E-05
Leak_1962,leak,,2547.939383,8.968873329,0.840627568,0.497005988,0.502895244,0.603669716,0.59040742,0.147234942,180658.1884,14689.84961,0.629843158,160,0.031126671,1.22E-05
Leak_1927,leak,,1954.376901,8.97623554,0.839946158,0.495949278,0.501007665,0.60267388,0.588669929,0.147234942,180771.8879,14647.92773,0.632855254,110,0.02376446,1.22E-05
L607,pipe,0.075,1104.5815,8.986537612,0.838392543,0.496301515,0.500513766,0.602810543,0.585446806,0.147587179,180616.6678,14647.06445,0.633650299,,0.013462388,1.22E-05
Leak_416,leak,,2459.925952,8.970024898,0.839564568,0.497710461,0.500600884,0.605467129,0.585996809,0.147234942,180558.9622,14677.37891,0.634877422,63,0.029975102,1.22E-05
L700,pipe,0.063,1937.235322,8.976514272,0.839702947,0.495244805,0.501212387,0.604722028,0.585878663,0.147234942,180638.2796,14677.23633,0.634923632,,0.023485728,1.21E-05
L236,pipe,0.063,1645.934996,8.980141435,0.83933813,0.496301515,0.500699557,0.604457482,0.586280747,0.147234942,180627.9212,14677.21094,0.633515977,,0.019858565,1.21E-05
L367,pipe,0.05,1212.9495,8.985480849,0.836105101,0.497005988,0.497038051,0.59936524,0.586084344,0.147234942,180604.4946,14647.03711,0.626163642,,0.014519151,1.20E-05
Leak_3310,leak,,1628.332805,8.980495785,0.835121773,0.498767172,0.495847427,0.597513251,0.583321697,0.147234942,180402.7433,14646.98438,0.626296717,63,0.019504215,1.20E-05
L565,pipe,0.15,50.17025,8.999397935,0.904294352,0.523423741,0.375266237,0.71313225,0.717674735,0.153575203,176440.0541,15113.61328,0.733777557,,0.000602065,1.20E-05
Leak_3154,leak,,1147.369664,8.986228768,0.831936966,0.481155336,0.492372996,0.590606318,0.58098708,0.143008101,186533.7179,14711.38086,0.614397811,32,0.013771232,1.20E-05
L2856,pipe,0.125,5926.7275,8.928837832,0.881948288,0.536456499,0.405681242,0.67647898,0.674616681,0.157449806,171169.1357,14921.69922,0.698968706,,0.071162168,1.20E-05
L2913,pipe,0.4,2725.686,8.967562345,0.908080897,0.596688975,0.36123742,0.724837131,0.73680276,0.188446636,149703.6406,15154.63477,0.770308934,,0.032437655,1.19E-05
L609,pipe,0.075,648.32225,8.992291644,0.838847515,0.497005988,0.500492316,0.602614328,0.585108774,0.147234942,180558.808,14677.23633,0.631898806,,0.007708356,1.19E-05
Leak_497,leak,,2495.693038,8.97027877,0.839461833,0.498062698,0.500638398,0.605230094,0.585960537,0.147234942,180422.8014,14677.38477,0.634736766,63,0.02972123,1.19E-05
Leak_49,leak,,2311.310015,8.972541676,0.840705144,0.496653751,0.501971371,0.603704944,0.587961629,0.147234942,180625.2533,14646.99609,0.630913125,50,0.027458324,1.19E-05
Leak_699,leak,,2342.8661,8.972095695,0.839920998,0.496653751,0.501077409,0.604601078,0.586819219,0.147234942,180642.1862,14647.13867,0.633552916,50,0.027904305,1.19E-05
L805,pipe,0.05,807.0625,8.990364771,0.835916402,0.496653751,0.497186578,0.598682599,0.582242553,0.147234942,180570.8612,14677.38477,0.624141097,,0.009635229,1.19E-05
Leak_1422,leak,,2042.965685,8.975680318,0.839837132,0.496301515,0.501466184,0.60411795,0.587154158,0.147234942,180591.9012,14677.23242,0.633484623,63,0.024319682,1.19E-05
Leak_2137,leak,,2385.24448,8.971658055,0.840549992,0.496301515,0.501791945,0.605018502,0.587732623,0.147234942,180643.2602,14677.20313,0.632090247,63,0.028341945,1.19E-05
Leak_732,leak,,2543.153502,8.969863648,0.839474413,0.497710461,0.500512523,0.605454827,0.586009546,0.147234942,180434.8771,14677.3418,0.634889666,125,0.030136352,1.18E-05
Leak_2541,leak,,2327.429444,8.972427882,0.839996478,0.497710461,0.501527241,0.604360856,0.586879917,0.147234942,180465.3994,14677.13867,0.633048403,100,0.027572118,1.18E-05
Leak_784,leak,,2280.027904,8.973159871,0.840183079,0.497358225,0.501605542,0.603815045,0.587884001,0.147234942,180482.6685,14646.96875,0.631500382,75,0.026840129,1.18E-05
Leak_783,leak,,2463.056334,8.971016348,0.840204046,0.496301515,0.501191645,0.605387502,0.586177959,0.147234942,180617.3751,14677.23633,0.634105904,63,0.028983652,1.18E-05
L1766,pipe,0.05,366.799,8.995725726,0.837602107,0.496301515,0.499405539,0.601320788,0.584176395,0.147234942,180648.5945,14689.94336,0.630215891,,0.004274274,1.17E-05
L711,pipe,0.063,992.811064,8.988386295,0.838015146,0.496653751,0.499304411,0.598765916,0.587083606,0.147234942,180638.5781,14647.06055,0.621522343,,0.011613705,1.17E-05
L1063,pipe,0.5,5258.7465,8.939463936,0.906439222,0.623458964,0.347533931,0.728604687,0.736664748,0.201831631,140316.7908,15386.64453,0.770390292,,0.060536064,1.15E-05
L1512,pipe,0.1,1413.972,8.983720104,0.838195458,0.497358225,0.499535286,0.603578682,0.583364364,0.147234942,180547.7775,14677.32031,0.633997123,,0.016279896,1.15E-05
L2859,pipe,0.075,3792.5865,8.956196472,0.864705463,0.523071504,0.417124474,0.652869201,0.641555964,0.152518492,174298.9986,14820.16992,0.680060169,,0.043803528,1.15E-05
Leak_3361,leak,,2431.089554,8.97193428,0.840187273,0.496301515,0.501311296,0.605161987,0.586455975,0.147234942,180604.8775,14677.32031,0.63374473,32,0.02806572,1.15E-05
Leak_133,leak,,2427.589417,8.972178853,0.839086533,0.496653751,0.500977946,0.604656157,0.587483961,0.147234942,180612.5642,14647.21289,0.634731297,75,0.027821147,1.15E-05
Leak_2915,leak,,2327.640085,8.973138493,0.839583438,0.496653751,0.501489354,0.604329095,0.585790708,0.147234942,180619.7881,14677.05273,0.635813047,32,0.026861507,1.15E-05
L1143,pipe,0.3,2784.249,8.968220009,0.908638605,0.601972526,0.357502622,0.727747303,0.737176749,0.197252554,148061.3782,15262.25488,0.773295277,,0.031779991,1.14E-05
L175,pipe,0.05,978.247,8.988886054,0.837438568,0.498414935,0.498774238,0.601419426,0.584732426,0.147587179,180358.7214,14677.41602,0.627326553,,0.011113946,1.14E-05
Leak_288,leak,,2470.141489,8.971731535,0.84046403,0.492074674,0.502067156,0.605019061,0.588091779,0.148643889,181503.4317,14689.92773,0.63311259,75,0.028268465,1.14E-05
Leak_1997,leak,,2462.048492,8.971956936,0.83977633,0.497005988,0.501148921,0.604726277,0.585987479,0.147234942,180567.4678,14677.23438,0.634904579,125,0.028043064,1.14E-05
Leak_1138,leak,,2184.993713,8.975402582,0.840365488,0.496653751,0.501391963,0.603287184,0.588957694,0.147234942,180635.9274,14676.99414,0.629559055,32,0.024597418,1.13E-05
Leak_2064,leak,,2242.778604,8.974887282,0.840174693,0.497358225,0.501147183,0.604173309,0.587000684,0.147234942,180498.7848,14647.13086,0.63122139,90,0.025112718,1.12E-05
Leak_1964,leak,,2558.494766,8.971222077,0.840180983,0.496301515,0.501224315,0.605278742,0.586362936,0.147234942,180620.9109,14677.21094,0.634025913,110,0.028777923,1.12E-05
Leak_1129,leak,,2418.032555,8.972932623,0.840466127,0.496301515,0.500881666,0.605110095,0.586649652,0.147234942,180648.8601,14647.125,0.631945919,75,0.027067377,1.12E-05
L2851,pipe,0.3,4654.884,8.947999435,0.907864942,0.593518845,0.361914504,0.728946734,0.733381661,0.188446636,150287.9977,15141.28809,0.778628786,,0.052000565,1.12E-05
L1480,pipe,0.5,1840.006,8.979491561,0.907252721,0.60901726,0.348663385,0.730516451,0.739615412,0.200070447,143785.2185,15358.85059,0.772825624,,0.020508439,1.11E-05
L109,pipe,0.125,2354.20625,8.973778388,0.839612791,0.496653751,0.501239232,0.604711627,0.58596473,0.147234942,180637.3709,14677.23633,0.635040784,,0.026221612,1.11E-05
Leak_1849,leak,,2541.376123,8.97182311,0.839637951,0.496301515,0.50088164,0.604793602,0.585730011,0.147234942,180623.4822,14647.04492,0.63530731,110,0.02817689,1.11E-05
Leak_3274,leak,,2429.259464,8.973348279,0.839988091,0.497358225,0.501770429,0.604337762,0.586934325,0.147234942,180510.2083,14677.16992,0.633050645,50,0.026651721,1.10E-05
Leak_2747,leak,,2317.488811,8.974480355,0.878765578,0.540683339,0.402261592,0.672580075,0.670264775,0.157449806,170509.1896,14933.22363,0.69345606,75,0.025519645,1.10E-05
L475,pipe,0.063,2043.999732,8.977696357,0.838692363,0.496301515,0.501221491,0.603400864,0.586611441,0.147234942,180723.9425,14647.04102,0.635544374,,0.022303643,1.09E-05
Leak_204,leak,,1146.627433,8.987461695,0.832830138,0.479041916,0.492988533,0.595346168,0.581887223,0.143008101,186740.9649,14711.42578,0.62530677,90,0.012538305,1.09E-05
Leak_1851,leak,,2357.008162,8.974371257,0.839979704,0.496301515,0.501739346,0.60458749,0.588501044,0.147234942,180655.1779,14689.97266,0.632179215,110,0.025628743,1.09E-05
Leak_3265,leak,,2433.226542,8.973643202,0.839568762,0.496301515,0.500398036,0.605456504,0.585916402,0.147234942,180649.0229,14677.38672,0.634827883,80,0.026356798,1.08E-05
L2728,pipe,0.075,1444.8575,8.984352419,0.838954444,0.498062698,0.499899047,0.602229336,0.586950416,0.147234942,180417.1339,14647.0293,0.627648084,,0.015647581,1.08E-05
Leak_148,leak,,2416.158377,8.97384909,0.839241685,0.495949278,0.50151509,0.604151613,0.587392075,0.147234942,180755.0714,14647.06445,0.635111344,75,0.02615091,1.08E-05
