ID,Node1,Node2,Length,Diameter,Roughness,MinorLoss,Status
L343,N393,N394,78.16,20,94.45,0,OPEN
L344,N392,N395,24.57,20,95.63,0,OPEN
L345,N396,N397,47.39,20,95.47,0,OPEN
L588,N616,N618,12.3,20,92.02,0,OPEN
L10,N19,N17,135.96,20,110.55,0,OPEN
L1009,N1003,N1004,56.88,20,94.19,0,OPEN
L1010,N1005,N1003,41.81,20,80.78,0,OPEN
L1022,N22,N1016,46.5,20,94.22,0,OPEN
L1033,N1024,N1025,70.07,20,115.88,0,OPEN
L107,N148,N149,17.69,20,95.41,0,OPEN
L1079,N1090,N1091,47.79,20,107.82,0,OPEN
L1085,N989,N1096,118.51,20,102.28,0,OPEN
L1146,N1147,N92,20.21,20,118.3,0,OPEN
L117,N75,N157,10.95,20,112.54,0,OPEN
L118,N74,N158,28.94,20,89.42,0,OPEN
L136,N177,N178,36.71,20,115.86,0,OPEN
L1361,N353,N1340,53.22,20,111.83,0,OPEN
L150,N194,N195,42.97,20,109.7,0,OPEN
L174,N220,N222,28.45,20,89.72,0,OPEN
L175,N220,N223,56.06,20,79.15,0,OPEN
L183,N231,N229,63.34,20,97,0,OPEN
L192,N241,N242,60.02,20,104.75,0,OPEN
L2017,N2009,N2011,35.32,20,116.93,0,OPEN
L2033,N2024,N2026,27.83,20,117.23,0,OPEN
L2041,N2030,N2035,38.55,20,79.34,0,OPEN
L2042,N2034,N2035,38.37,20,81.05,0,OPEN
L2043,N2030,N2035,38.87,20,80.18,0,OPEN
L2073,N2060,N2062,168.45,20,117.52,0,OPEN
L2084,N2072,N2073,90.66,20,109.08,0,OPEN
L2093,N455,N450,5.34,20,86.57,0,OPEN
L213,N262,N263,148.93,20,90.17,0,OPEN
L214,N262,N264,91.51,20,107.14,0,OPEN
L274,N322,N317,88.59,20,87.75,0,OPEN
L311,N357,N358,54.44,20,101.59,0,OPEN
L3114,N92,N94,29.28,20,105.3,0,OPEN
L3118,N1003,N2816,30.63,20,82.31,0,OPEN
L3119,N1091,N1025,2.21,20,96.59,0,OPEN
L3120,N1025,N1001,2.13,20,100.48,0,OPEN
L3144,N260,N2825,2.75,20,79.45,0,OPEN
L315,N363,N364,12.04,20,99.87,0,OPEN
L319,N366,N367,48.03,20,76.12,0,OPEN
L352,N399,N403,9.55,20,83.47,0,OPEN
L360,N411,N412,139.6,20,77.55,0,OPEN
L361,N411,N413,115.89,20,97.48,0,OPEN
L362,N411,N414,84.31,20,82.14,0,OPEN
L363,N415,N416,61.05,20,91.83,0,OPEN
L366,N417,N418,65.88,20,112.26,0,OPEN
L367,N419,N417,69.51,20,118.08,0,OPEN
L372,N421,N423,37.24,20,119.48,0,OPEN
L377,N428,N429,38,20,104.07,0,OPEN
L378,N430,N431,27.75,20,105.07,0,OPEN
L379,N430,N432,43.63,20,84.84,0,OPEN
L407,N454,N455,59.61,20,79.98,0,OPEN
L408,N456,N455,36.7,20,118.68,0,OPEN
L425,N473,N474,65.45,20,111.55,0,OPEN
L427,N27,N475,46.95,20,96.78,0,OPEN
L55,N85,N92,7.7,20,82.57,0,OPEN
L56,N93,N94,83.56,20,119.64,0,OPEN
L636,N663,N660,71.03,20,100.27,0,OPEN
L663,N683,N686,9.96,20,100.39,0,OPEN
L664,N687,N681,9.93,20,78.89,0,OPEN
L694,N63,N717,27.63,20,114.19,0,OPEN
L723,N744,N742,95.55,20,89.54,0,OPEN
L753,N770,N771,9.39,20,89.44,0,OPEN
L759,N775,N777,46.01,20,76.12,0,OPEN
L760,N775,N778,16.87,20,95.38,0,OPEN
L764,N782,N773,42.6,20,87.21,0,OPEN
L765,N783,N773,61.59,20,75.6,0,OPEN
L789,N33,N801,53.91,20,96.28,0,OPEN
L804,N25,N815,45.13,20,84.57,0,OPEN
L805,N25,N816,46.25,20,111.45,0,OPEN
L815,N822,N817,58.66,20,98.76,0,OPEN
L981,N973,N974,29.57,20,75.3,0,OPEN
L982,N975,N974,53.9,20,117.56,0,OPEN
L983,N976,N977,63.1,20,99.54,0,OPEN
L984,N978,N979,6.85,20,96.07,0,OPEN
L652,N675,N676,119.82,25,89.7,0,OPEN
L1016,N1010,N1011,13.65,25,90.12,0,OPEN
L1071,N1082,N1083,6.9,25,116.15,0,OPEN
