Link,Length,Coef,aux,Link_id,Length_,Leak_id
L1,7.02,0.00076,0,L1,7.02,Leak_0
L10,8.69,0.00081,0,L10,8.69,Leak_1
L1001,6.23,0.00075,0,L1001,6.23,Leak_2
L1001,117.04,0.00082,1,L1001_1,110.81,Leak_3
L1002,6.06,0.00104,0,L1002,6.06,Leak_4
L1002,29.92,0.00112,1,L1002_1,23.86,Leak_5
L1003,134.59,0.0007,0,L1003,134.59,Leak_6
L1004,2.14,0.000084,0,L1004,2.14,Leak_7
L1005,1.44,0.00041,0,L1005,1.44,Leak_8
L1005,38.5,0.00041,1,L1005_1,37.06,Leak_9
L1006,49.4,0.00088,0,L1006,49.4,Leak_10
L1009,21.33,0.0014,0,L1009,21.33,Leak_11
L101,42.77,0.00154,0,L101,42.77,Leak_12
L1010,27.8,0.00027,0,L1010,27.8,Leak_13
L1010,37.83,0.00029,1,L1010_1,10.03,Leak_14
L1011,54.86,0.0012,0,L1011,54.86,Leak_15
L1011,88.24,0.00138,1,L1011_1,33.38,Leak_16
L1012,1.79,0.00005,0,L1012,1.79,Leak_17
L1013,1.81,0.00222,0,L1013,1.81,Leak_18
L1013,5.59,0.00013,1,L1013_1,3.78,Leak_19
L1014,66.38,0.00105,0,L1014,66.38,Leak_20
L1016,6.3,0.000054,0,L1016,6.3,Leak_21
L1016,6.99,0.000066,1,L1016_1,0.69,Leak_22
L1018,139.45,0.0164,0,L1018,139.45,Leak_23
L1019,24.02,0.00144,0,L1019,24.02,Leak_24
L1020,32.19,0.00066,0,L1020,32.19,Leak_25
L1021,65.91,0.000006,0,L1021,65.91,Leak_26
L1021,89.73,0.000006,1,L1021_1,23.82,Leak_27
L1022,5.78,0.04271,0,L1022,5.78,Leak_28
L1023,7.2,0.000097,0,L1023,7.2,Leak_29
L1025,78.6,0.00135,0,L1025,78.6,Leak_30
L1026,152.49,0.00072,0,L1026,152.49,Leak_31
L1026,154.2,0.0008,1,L1026_1,1.71,Leak_32
L1028,6,0.000004,0,L1028,6,Leak_33
L1029,94.18,0.00397,0,L1029,94.18,Leak_34
L103,12.16,0.00106,0,L103,12.16,Leak_35
L103,23.89,0.00107,1,L103_1,11.73,Leak_36
L1030,16.13,0.00325,0,L1030,16.13,Leak_37
L1030,40.34,0.05542,1,L1030_1,24.21,Leak_38
L1032,48.22,0.01181,0,L1032,48.22,Leak_39
L1034,0.65,0.000006,0,L1034,0.65,Leak_40
L1035,15.22,0.00074,0,L1035,15.22,Leak_41
L1035,24.3,0.03457,1,L1035_1,9.08,Leak_42
L1036,40.92,0.00124,0,L1036,40.92,Leak_43
L1037,118.03,0.00217,0,L1037,118.03,Leak_44
L1039,12.52,0.00328,0,L1039,12.52,Leak_45
L1040,20.73,0.00014,0,L1040,20.73,Leak_46
L1041,63.79,0.00098,0,L1041,63.79,Leak_47
L1042,1.65,0.00102,0,L1042,1.65,Leak_48
L1043,1.98,0.00321,0,L1043,1.98,Leak_49
L1043,202.1,0.00274,1,L1043_1,200.12,Leak_50
L1043,210.01,0.00328,2,L1043_2,7.91,Leak_51
L1043,256.18,0.00323,3,L1043_3,46.17,Leak_52
L1043,382.92,0.00273,4,L1043_4,126.74,Leak_53
L1043,433.74,0.0027,5,L1043_5,50.82,Leak_54
L1044,5.66,0.000077,0,L1044,5.66,Leak_55
L1044,35.57,0.000082,1,L1044_1,29.91,Leak_56
L1044,121.41,0.000085,2,L1044_2,85.84,Leak_57
L1047,60.47,0.00158,0,L1047,60.47,Leak_58
L1049,78.76,0.00143,0,L1049,78.76,Leak_59
L1049,120.82,0.00153,1,L1049_1,42.06,Leak_60
L105,90.65,0.00181,0,L105,90.65,Leak_61
L1050,59.97,0.00172,0,L1050,59.97,Leak_62
L1050,122.31,0.00156,1,L1050_1,62.34,Leak_63
L1051,2.95,0.000072,0,L1051,2.95,Leak_64
L1052,99.75,0.00043,0,L1052,99.75,Leak_65
L1052,125.89,0.00043,1,L1052_1,26.14,Leak_66
L1052,176.79,0.00039,2,L1052_2,50.9,Leak_67
L1053,7.25,0.00021,0,L1053,7.25,Leak_68
L1053,19.01,0.0002,1,L1053_1,11.76,Leak_69
L1053,60.65,0.00022,2,L1053_2,41.64,Leak_70
L1053,159.76,0.00021,3,L1053_3,99.11,Leak_71
L1053,199.06,0.00021,4,L1053_4,39.3,Leak_72
L1054,6.28,0.000061,0,L1054,6.28,Leak_73
L1056,19.92,0.00109,0,L1056,19.92,Leak_74
L1057,6.54,0.00118,0,L1057,6.54,Leak_75
L1059,56.33,0.00046,0,L1059,56.33,Leak_76
L1059,92.74,0.00038,1,L1059_1,36.41,Leak_77
L1059,141.37,0.00041,2,L1059_2,48.63,Leak_78
L1059,143.95,0.00041,3,L1059_3,2.58,Leak_79
L106,65.69,0.00171,0,L106,65.69,Leak_80
L1060,78.93,0.00333,0,L1060,78.93,Leak_81
L1064,109.63,0.00074,0,L1064,109.63,Leak_82
L1064,146.84,0.00072,1,L1064_1,37.21,Leak_83
L1064,192.47,0.00079,2,L1064_2,45.63,Leak_84
L1065,13.57,0.00001,0,L1065,13.57,Leak_85
L1065,15.92,0.000011,1,L1065_1,2.35,Leak_86
L1068,36.54,0.00129,0,L1068,36.54,Leak_87
L1068,107.95,0.00141,1,L1068_1,71.41,Leak_88
L1068,186.87,0.00138,2,L1068_2,78.92,Leak_89
L1068,286.54,0.00127,3,L1068_3,99.67,Leak_90
L107,2.82,0.00029,0,L107,2.82,Leak_91
L1071,2.52,0.00012,0,L1071,2.52,Leak_92
L1072,1.19,0.00012,0,L1072,1.19,Leak_93
L1073,9.18,0.0005,0,L1073,9.18,Leak_94
L1073,38.43,0.00047,1,L1073_1,29.25,Leak_95
L1074,108.62,0.00105,0,L1074,108.62,Leak_96
L1076,36.31,0.00151,0,L1076,36.31,Leak_97
L1076,50.11,0.01022,1,L1076_1,13.8,Leak_98
L1076,151.69,0.00142,2,L1076_2,101.58,Leak_99
L1078,32.57,0.00048,0,L1078,32.57,Leak_100
L1078,43.93,0.00049,1,L1078_1,11.36,Leak_101
L1080,10.41,0.000013,0,L1080,10.41,Leak_102
L1080,38.72,0.000015,1,L1080_1,28.31,Leak_103
L1082,36.28,0.00154,0,L1082,36.28,Leak_104
L1083,0.33,0.00017,0,L1083,0.33,Leak_105
L1084,14.07,0.00044,0,L1084,14.07,Leak_106
L1084,35.2,0.00043,1,L1084_1,21.13,Leak_107
L1088,4.15,0.00013,0,L1088,4.15,Leak_108
L1089,118.67,0.0009,0,L1089,118.67,Leak_109
L1089,139.91,0.0009,1,L1089_1,21.24,Leak_110
L109,43.21,0.00039,0,L109,43.21,Leak_111
L1090,20.24,0.00025,0,L1090,20.24,Leak_112
L1090,24.55,0.00026,1,L1090_1,4.31,Leak_113
L1091,5.83,0.01702,0,L1091,5.83,Leak_114
L1091,6.58,0.00018,1,L1091_1,0.75,Leak_115
L1096,5.83,0.00079,0,L1096,5.83,Leak_116
L1098,13.9,0.00155,0,L1098,13.9,Leak_117
L1099,14.58,0.00052,0,L1099,14.58,Leak_118
L1099,34.54,0.00051,1,L1099_1,19.96,Leak_119
L1099,40.13,0.00143,2,L1099_2,5.59,Leak_120
L11,49.28,0.00145,0,L11,49.28,Leak_121
L11,103.9,0.00175,1,L11_1,54.62,Leak_122
L110,39.18,0.00012,0,L110,39.18,Leak_123
L110,39.98,0.00014,1,L110_1,0.8,Leak_124
L1101,52.3,0.00034,0,L1101,52.3,Leak_125
L1101,69.24,0.00035,1,L1101_1,16.94,Leak_126
L1102,130.58,0.00557,0,L1102,130.58,Leak_127
L1103,2,0.00015,0,L1103,2,Leak_128
L1105,16.92,0.00111,0,L1105,16.92,Leak_129
L1106,22.89,0.00044,0,L1106,22.89,Leak_130
L1108,7.92,0.00011,0,L1108,7.92,Leak_131
L1108,12.63,0.0001,1,L1108_1,4.71,Leak_132
L1109,44.65,0.00183,0,L1109,44.65,Leak_133
L1109,91.12,0.00196,1,L1109_1,46.47,Leak_134
L1109,165.48,0.00191,2,L1109_2,74.36,Leak_135
L111,51.69,0.00006,0,L111,51.69,Leak_136
L111,62.32,0.000058,1,L111_1,10.63,Leak_137
L1110,322.52,0.01312,0,L1110,322.52,Leak_138
L1112,17.46,0.00032,0,L1112,17.46,Leak_139
L1114,8.5,0.000011,0,L1114,8.5,Leak_140
L1115,0.54,0.000064,0,L1115,0.54,Leak_141
L1117,54.83,0.0003,0,L1117,54.83,Leak_142
L1118,6.91,0.000012,0,L1118,6.91,Leak_143
L1122,67.54,0.00466,0,L1122,67.54,Leak_144
L1122,112.84,0.05044,1,L1122_1,45.3,Leak_145
L1122,112.95,0.00452,2,L1122_2,0.11,Leak_146
L1123,88.19,0.00176,0,L1123,88.19,Leak_147
L1123,313.32,0.00201,1,L1123_1,225.13,Leak_148
L1125,5.86,0.000075,0,L1125,5.86,Leak_149
L1125,14.31,0.000071,1,L1125_1,8.45,Leak_150
L1127,22.72,0.00073,0,L1127,22.72,Leak_151
L1128,45.85,0.00247,0,L1128,45.85,Leak_152
L113,15.11,0.00037,0,L113,15.11,Leak_153
L1130,6.69,0.000084,0,L1130,6.69,Leak_154
L1131,1.62,0.00012,0,L1131,1.62,Leak_155
L1132,3.79,0.000079,0,L1132,3.79,Leak_156
L1134,7.86,0.00037,0,L1134,7.86,Leak_157
L1134,20.24,0.00039,1,L1134_1,12.38,Leak_158
L1135,7,0.00069,0,L1135,7,Leak_159
L1138,92.96,0.00154,0,L1138,92.96,Leak_160
L1139,45.23,0.00027,0,L1139,45.23,Leak_161
L1139,58.44,0.00024,1,L1139_1,13.21,Leak_162
L114,4.22,0.00016,0,L114,4.22,Leak_163
L114,8.97,0.00016,1,L114_1,4.75,Leak_164
L1140,7.76,0.00016,0,L1140,7.76,Leak_165
L1141,21.05,0.000057,0,L1141,21.05,Leak_166
L1141,25.14,0.000055,1,L1141_1,4.09,Leak_167
L1142,1.84,0.000067,0,L1142,1.84,Leak_168
L1142,3.16,0.000068,1,L1142_1,1.32,Leak_169
L1143,65.9,0.00109,0,L1143,65.9,Leak_170
L1144,6.36,0.00047,0,L1144,6.36,Leak_171
L1146,13.64,0.00022,0,L1146,13.64,Leak_172
L1147,30.8,0.00415,0,L1147,30.8,Leak_173
L1148,23.21,0.00137,0,L1148,23.21,Leak_174
L1148,179.66,0.00157,1,L1148_1,156.45,Leak_175
L1148,186.31,0.00159,2,L1148_2,6.65,Leak_176
L1149,1.76,0.00035,0,L1149,1.76,Leak_177
L115,3.74,0.000085,0,L115,3.74,Leak_178
L1150,1.01,0.00219,0,L1150,1.01,Leak_179
L1151,1.84,0.000085,0,L1151,1.84,Leak_180
L1152,10.01,0.00106,0,L1152,10.01,Leak_181
L1153,22.42,0.00084,0,L1153,22.42,Leak_182
L1154,6.59,0.00045,0,L1154,6.59,Leak_183
L1155,22.11,0.00152,0,L1155,22.11,Leak_184
L1157,32.78,0.00082,0,L1157,32.78,Leak_185
L1157,112.2,0.00086,1,L1157_1,79.42,Leak_186
L1157,134.95,0.001,2,L1157_2,22.75,Leak_187
L116,52.81,0.06558,0,L116,52.81,Leak_188
L1160,10.03,0.00225,0,L1160,10.03,Leak_189
L1160,177.08,0.00258,1,L1160_1,167.05,Leak_190
L1161,23.31,0.00114,0,L1161,23.31,Leak_191
L1164,0.73,0.000083,0,L1164,0.73,Leak_192
L1166,99.67,0.00086,0,L1166,99.67,Leak_193
L1166,274.88,0.00084,1,L1166_1,175.21,Leak_194
L1166,395.35,0.00082,2,L1166_2,120.47,Leak_195
L1166,443.54,0.0009,3,L1166_3,48.19,Leak_196
L1166,483.37,0.00093,4,L1166_4,39.83,Leak_197
L1167,285.36,0.00062,0,L1167,285.36,Leak_198
L1167,396.6,0.00063,1,L1167_1,111.24,Leak_199
L1167,451.3,0.00061,2,L1167_2,54.7,Leak_200
L1167,593.17,0.00062,3,L1167_3,141.87,Leak_201
L1169,15.63,0.00054,0,L1169,15.63,Leak_202
L1169,20.22,0.00047,1,L1169_1,4.59,Leak_203
L1169,39.16,0.03153,2,L1169_2,18.94,Leak_204
L1170,2.5,0.000096,0,L1170,2.5,Leak_205
L1171,53.87,0.00027,0,L1171,53.87,Leak_206
L1172,3.91,0.00025,0,L1172,3.91,Leak_207
L1173,17.16,0.00061,0,L1173,17.16,Leak_208
L1174,12.19,0.00098,0,L1174,12.19,Leak_209
L1175,17.04,0.00181,0,L1175,17.04,Leak_210
L1175,20.18,0.03779,1,L1175_1,3.14,Leak_211
L1175,98.49,0.00159,2,L1175_2,78.31,Leak_212
L1176,14.87,0.000029,0,L1176,14.87,Leak_213
L1176,57.47,0.000028,1,L1176_1,42.6,Leak_214
L1176,62.88,0.000033,2,L1176_2,5.41,Leak_215
L1178,56.63,0.00548,0,L1178,56.63,Leak_216
L1179,16.79,0.00012,0,L1179,16.79,Leak_217
L118,5.73,0.000009,0,L118,5.73,Leak_218
L118,8.2,0.00001,1,L118_1,2.47,Leak_219
L1181,111.44,0.000008,0,L1181,111.44,Leak_220
L1181,135.9,0.000008,1,L1181_1,24.46,Leak_221
L1183,88.23,0.000075,0,L1183,88.23,Leak_222
L1184,120.61,0.00053,0,L1184,120.61,Leak_223
L1186,91.47,0.00353,0,L1186,91.47,Leak_224
L1187,56.25,0.0013,0,L1187,56.25,Leak_225
L1188,7.78,0.00009,0,L1188,7.78,Leak_226
L1189,77.99,0.00133,0,L1189,77.99,Leak_227
L119,5.89,0.07201,0,L119,5.89,Leak_228
L1190,7.23,0.000065,0,L1190,7.23,Leak_229
L1192,0.99,0.00021,0,L1192,0.99,Leak_230
L1193,39.31,0.00022,0,L1193,39.31,Leak_231
L1194,6.56,0.000089,0,L1194,6.56,Leak_232
L1195,0.53,0.000055,0,L1195,0.53,Leak_233
L1196,87.45,0.00257,0,L1196,87.45,Leak_234
L1197,6.97,0.00017,0,L1197,6.97,Leak_235
L1198,61.62,0.00087,0,L1198,61.62,Leak_236
L120,82.15,0.000058,0,L120,82.15,Leak_237
L1200,4.71,0.00032,0,L1200,4.71,Leak_238
L1201,19.74,0.00033,0,L1201,19.74,Leak_239
L1203,4.53,0.00087,0,L1203,4.53,Leak_240
L1203,17.43,0.00104,1,L1203_1,12.9,Leak_241
L1203,100.8,0.00086,2,L1203_2,83.37,Leak_242
L1204,45.43,0.03575,0,L1204,45.43,Leak_243
L1205,59.63,0.0011,0,L1205,59.63,Leak_244
L1206,22.63,0.00082,0,L1206,22.63,Leak_245
L1206,39.41,0.00074,1,L1206_1,16.78,Leak_246
L1206,53.48,0.0008,2,L1206_2,14.07,Leak_247
L1208,84.84,0.00069,0,L1208,84.84,Leak_248
L1208,85.44,0.00074,1,L1208_1,0.6,Leak_249
L1208,96.01,0.00081,2,L1208_2,10.57,Leak_250
L1209,163.55,0.00332,0,L1209,163.55,Leak_251
L1209,315.28,0.00311,1,L1209_1,151.73,Leak_252
L1209,322.95,0.00339,2,L1209_2,7.67,Leak_253
L121,4.89,0.0002,0,L121,4.89,Leak_254
L1210,7.78,0.00014,0,L1210,7.78,Leak_255
L1211,15.34,0.0044,0,L1211,15.34,Leak_256
L1211,128.92,0.00465,1,L1211_1,113.58,Leak_257
L1212,108.63,0.00127,0,L1212,108.63,Leak_258
L1213,337.04,0.01059,0,L1213,337.04,Leak_259
L1214,24.96,0.000078,0,L1214,24.96,Leak_260
L1214,65.26,0.000075,1,L1214_1,40.3,Leak_261
L1215,99.78,0.00183,0,L1215,99.78,Leak_262
L1218,35.39,0.00039,0,L1218,35.39,Leak_263
L1218,55.83,0.00039,1,L1218_1,20.44,Leak_264
L1218,75.63,0.00043,2,L1218_2,19.8,Leak_265
L1219,14.22,0.00044,0,L1219,14.22,Leak_266
L122,4.76,0.00018,0,L122,4.76,Leak_267
L1221,1.29,0.000048,0,L1221,1.29,Leak_268
L1222,75.76,0.00231,0,L1222,75.76,Leak_269
L1224,78.76,0.00528,0,L1224,78.76,Leak_270
L1224,348.71,0.00541,1,L1224_1,269.95,Leak_271
L1225,112.27,0.00196,0,L1225,112.27,Leak_272
L1225,151.92,0.0017,1,L1225_1,39.65,Leak_273
L1225,207.34,0.00173,2,L1225_2,55.42,Leak_274
L1225,377.82,0.00179,3,L1225_3,170.48,Leak_275
L1226,30.29,0.00109,0,L1226,30.29,Leak_276
L1227,18.28,0.00114,0,L1227,18.28,Leak_277
L1228,32.08,0.00037,0,L1228,32.08,Leak_278
L1228,50.66,0.00038,1,L1228_1,18.58,Leak_279
L1229,90.49,0.00321,0,L1229,90.49,Leak_280
L1229,149.92,0.00321,1,L1229_1,59.43,Leak_281
L1229,279.18,0.00303,2,L1229_2,129.26,Leak_282
L123,2.28,0.000067,0,L123,2.28,Leak_283
L1230,93.92,0.00109,0,L1230,93.92,Leak_284
L1230,117.32,0.00154,1,L1230_1,23.4,Leak_285
L1230,203.31,0.00115,2,L1230_2,85.99,Leak_286
L1230,237.81,0.00127,3,L1230_3,34.5,Leak_287
L1230,275.47,0.00116,4,L1230_4,37.66,Leak_288
L1231,4.16,0.02274,0,L1231,4.16,Leak_289
L1231,4.58,0.00021,1,L1231_1,0.42,Leak_290
L1234,0.86,0.00014,0,L1234,0.86,Leak_291
L1235,85.14,0.00205,0,L1235,85.14,Leak_292
L1238,9.97,0.00021,0,L1238,9.97,Leak_293
L1239,26.29,0.0004,0,L1239,26.29,Leak_294
L124,6.26,0.00059,0,L124,6.26,Leak_295
L1240,6.53,0.00016,0,L1240,6.53,Leak_296
L1241,3.34,0.00019,0,L1241,3.34,Leak_297
L1241,6.23,0.00021,1,L1241_1,2.89,Leak_298
L1242,17.58,0.00024,0,L1242,17.58,Leak_299
L1243,0.28,0.000047,0,L1243,0.28,Leak_300
L1246,3.66,0.000088,0,L1246,3.66,Leak_301
L1247,453.23,0.00299,0,L1247,453.23,Leak_302
L1247,467.67,0.00257,1,L1247_1,14.44,Leak_303
L1248,111.48,0.00428,0,L1248,111.48,Leak_304
L1248,261.66,0.00419,1,L1248_1,150.18,Leak_305
L1249,3.54,0.00038,0,L1249,3.54,Leak_306
L125,42.31,0.00113,0,L125,42.31,Leak_307
L1252,20.34,0.0003,0,L1252,20.34,Leak_308
L1252,22.6,0.00029,1,L1252_1,2.26,Leak_309
L1257,17.18,0.00055,0,L1257,17.18,Leak_310
L1258,1.16,0.03652,0,L1258,1.16,Leak_311
L1258,3.3,0.00011,1,L1258_1,2.14,Leak_312
L126,2.68,0.00026,0,L126,2.68,Leak_313
L1260,68.03,0.00232,0,L1260,68.03,Leak_314
L1260,110.89,0.00251,1,L1260_1,42.86,Leak_315
L1260,208.77,0.0134,2,L1260_2,97.88,Leak_316
L1261,80.67,0.00567,0,L1261,80.67,Leak_317
L1261,270.83,0.00531,1,L1261_1,190.16,Leak_318
L1263,1.07,0.00024,0,L1263,1.07,Leak_319
L1263,8.09,0.04292,1,L1263_1,7.02,Leak_320
